<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNT_PE,D,20120926,000000,13.796,13.796,13.796,13.796,0,0
UNT_PE,D,20120927,000000,13.796,13.796,13.059,13.059,0,0
UNT_PE,D,20121008,000000,13.059,13.059,13.059,13.059,0,0
UNT_PE,D,20121009,000000,13.427,13.427,13.427,13.427,0,0
UNT_PE,D,20121010,000000,13.059,13.059,12.542,12.542,0,0
UNT_PE,D,20121011,000000,12.616,12.616,12.173,12.173,0,0
UNT_PE,D,20121012,000000,12.763,15.273,12.763,15.052,0,0
UNT_PE,D,20121015,000000,15.052,15.052,12.248,12.321,0,0
UNT_PE,D,20121016,000000,12.321,12.321,10.551,10.551,0,0
UNT_PE,D,20121017,000000,10.551,10.994,10.551,10.699,0,0
UNT_PE,D,20121018,000000,10.551,10.772,10.551,10.772,0,0
UNT_PE,D,20121019,000000,10.845,11.066,10.551,10.551,0,0
UNT_PE,D,20121022,000000,10.551,10.994,10.551,10.994,0,0
UNT_PE,D,20121023,000000,11.213,13.65,11.213,13.65,0,0
UNT_PE,D,20121024,000000,13.65,13.65,12.248,13.059,0,0
UNT_PE,D,20121025,000000,13.28,13.28,13.28,13.28,0,0
UNT_PE,D,20121029,000000,13.059,13.059,12.616,12.837,0,0
UNT_PE,D,20121030,000000,13.354,13.65,13.354,13.65,0,0
UNT_PE,D,20121031,000000,13.723,14.239,13.723,14.239,0,0
UNT_PE,D,20121105,000000,14.165,14.165,14.165,14.165,0,0
UNT_PE,D,20121106,000000,14.165,14.165,14.165,14.165,0,0
UNT_PE,D,20121107,000000,14.165,14.165,13.28,13.28,0,0
UNT_PE,D,20121108,000000,13.502,13.502,11.435,12.616,0,0
UNT_PE,D,20121109,000000,12.616,12.616,12.616,12.616,0,0
UNT_PE,D,20121112,000000,12.837,14.165,12.837,14.165,0,0
UNT_PE,D,20121113,000000,14.165,14.165,12.616,12.616,0,0
UNT_PE,D,20121114,000000,12.837,14.165,12.837,14.165,0,0
UNT_PE,D,20121115,000000,14.165,14.239,14.165,14.239,0,0
UNT_PE,D,20121116,000000,14.314,14.314,12.616,12.837,0,0
UNT_PE,D,20121119,000000,12.616,12.616,12.395,12.395,0,0
UNT_PE,D,20121120,000000,12.173,14.314,11.731,14.314,0,0
UNT_PE,D,20121122,000000,14.239,14.314,14.239,14.314,0,0
UNT_PE,D,20121123,000000,14.314,14.314,13.28,13.28,0,0
UNT_PE,D,20121130,000000,13.059,13.059,12.616,12.616,0,0
UNT_PE,D,20121203,000000,12.691,12.691,12.691,12.691,0,0
UNT_PE,D,20121206,000000,12.691,12.691,12.469,12.469,0,0
UNT_PE,D,20121207,000000,12.616,12.616,12.616,12.616,0,0
UNT_PE,D,20121210,000000,12.616,12.616,12.469,12.469,0,0
UNT_PE,D,20121214,000000,4.7956,4.7956,4.7956,4.7956,0,0
UNT_PE,D,20121221,000000,4.7956,5.0908,4.7956,5.0908,0,0
UNT_PE,D,20121227,000000,5.1646,5.2383,5.1646,5.1646,0,0
UNT_PE,D,20121228,000000,5.1646,5.2383,5.1646,5.2383,0,0
UNT_PE,D,20130107,000000,5.1646,5.1646,4.7956,5.017,0,0
UNT_PE,D,20130108,000000,5.1646,5.5334,5.1646,5.5334,0,0
UNT_PE,D,20130109,000000,5.5334,5.5334,5.5334,5.5334,0,0
UNT_PE,D,20130110,000000,5.5334,5.5334,5.5334,5.5334,0,0
UNT_PE,D,20130111,000000,5.5334,5.5334,5.3121,5.3121,0,0
UNT_PE,D,20130114,000000,5.4596,5.5334,5.4596,5.5334,0,0
UNT_PE,D,20130115,000000,5.5334,5.5334,5.5334,5.5334,0,0
UNT_PE,D,20130117,000000,5.5334,5.5334,5.5334,5.5334,0,0
UNT_PE,D,20130118,000000,5.2383,5.2383,5.2383,5.2383,0,0
UNT_PE,D,20130123,000000,5.2383,5.2383,5.2383,5.2383,0,0
UNT_PE,D,20130124,000000,5.2383,5.2383,5.2383,5.2383,0,0
UNT_PE,D,20130125,000000,5.2383,5.2383,5.2383,5.2383,0,0
UNT_PE,D,20130129,000000,5.4596,5.5334,5.4596,5.5334,0,0
UNT_PE,D,20130130,000000,5.5334,5.5334,5.5334,5.5334,0,0
