<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VOX_PE,D,20111011,000000,47.485,47.485,47.485,47.485,0,0
VOX_PE,D,20111012,000000,47.485,47.485,44.88,46.79,0,0
VOX_PE,D,20111013,000000,46.79,48.7,46.53,48.7,0,0
VOX_PE,D,20111014,000000,49.221,50.697,48.526,49.134,0,0
VOX_PE,D,20111017,000000,49.134,49.134,45.836,48.179,0,0
VOX_PE,D,20111018,000000,48.005,48.005,42.623,45.923,0,0
VOX_PE,D,20111019,000000,46.27,46.27,45.923,45.923,0,0
VOX_PE,D,20111020,000000,45.923,45.923,45.054,45.054,0,0
VOX_PE,D,20111021,000000,45.054,48.526,44.099,48.526,0,0
VOX_PE,D,20111024,000000,47.485,47.485,47.485,47.485,0,0
VOX_PE,D,20111025,000000,47.485,47.485,47.051,47.485,0,0
VOX_PE,D,20111026,000000,47.485,47.485,47.051,47.051,0,0
VOX_PE,D,20111027,000000,47.051,47.051,46.53,46.53,0,0
VOX_PE,D,20111028,000000,46.53,46.53,45.923,45.923,0,0
VOX_PE,D,20111031,000000,45.923,45.923,45.923,45.923,0,0
VOX_PE,D,20111102,000000,45.054,45.054,42.623,43.057,0,0
VOX_PE,D,20111103,000000,44.186,45.315,44.186,45.228,0,0
VOX_PE,D,20111104,000000,45.402,45.923,45.228,45.228,0,0
VOX_PE,D,20111107,000000,45.228,45.488,45.228,45.488,0,0
VOX_PE,D,20111108,000000,45.575,45.575,43.232,43.232,0,0
VOX_PE,D,20111109,000000,44.186,44.273,44.186,44.273,0,0
VOX_PE,D,20111110,000000,44.273,46.097,44.273,46.01,0,0
VOX_PE,D,20111114,000000,46.01,46.01,45.315,45.315,0,0
VOX_PE,D,20111115,000000,44.88,44.88,44.36,44.446,0,0
VOX_PE,D,20111116,000000,44.446,44.446,44.273,44.273,0,0
VOX_PE,D,20111117,000000,44.273,44.273,32.814,36.027,0,0
VOX_PE,D,20111118,000000,39.238,39.238,32.119,32.814,0,0
VOX_PE,D,20111121,000000,32.814,32.814,32.814,32.814,0,0
VOX_PE,D,20111122,000000,32.728,33.769,32.728,33.769,0,0
VOX_PE,D,20120215,000000,27.172,27.172,27.172,27.172,0,0
VOX_PE,D,20120216,000000,27.172,27.172,25.608,25.782,0,0
VOX_PE,D,20120217,000000,25.782,28.387,25.782,28.387,0,0
VOX_PE,D,20120220,000000,29.775,29.775,27.172,29.601,0,0
VOX_PE,D,20120221,000000,28.3,28.3,28.3,28.3,0,0
VOX_PE,D,20120222,000000,28.387,28.908,28.387,28.735,0,0
VOX_PE,D,20120223,000000,28.648,28.648,28.04,28.126,0,0
VOX_PE,D,20120224,000000,28.3,28.387,26.303,26.303,0,0
VOX_PE,D,20120227,000000,26.303,27.519,26.303,27.519,0,0
VOX_PE,D,20120228,000000,27.519,27.519,27.259,27.519,0,0
VOX_PE,D,20120229,000000,27.519,27.519,25.522,25.782,0,0
VOX_PE,D,20120301,000000,26.217,26.217,24.567,25.002,0,0
