<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WAS_PE,D,20070813,000000,22.224,22.224,22.224,22.224,0,0
WAS_PE,D,20070814,000000,22.385,22.385,22.385,22.385,0,0
WAS_PE,D,20070816,000000,17.895,17.895,17.895,17.895,0,0
WAS_PE,D,20070817,000000,18.806,18.806,18.806,18.806,0,0
WAS_PE,D,20070820,000000,19.728,19.728,19.728,19.728,0,0
WAS_PE,D,20070821,000000,18.892,18.892,18.892,18.892,0,0
WAS_PE,D,20070822,000000,20.638,20.638,20.638,20.638,0,0
WAS_PE,D,20070823,000000,21.551,21.551,21.551,21.551,0,0
WAS_PE,D,20070824,000000,23.638,23.638,23.638,23.638,0,0
WAS_PE,D,20070827,000000,23.799,23.799,23.799,23.799,0,0
WAS_PE,D,20070828,000000,23.638,23.638,23.638,23.638,0,0
WAS_PE,D,20070829,000000,23.049,23.049,23.049,23.049,0,0
WAS_PE,D,20070830,000000,20.638,20.638,20.638,20.638,0,0
WAS_PE,D,20070831,000000,20.553,20.553,20.553,20.553,0,0
WAS_PE,D,20070903,000000,20.724,20.724,20.724,20.724,0,0
WAS_PE,D,20070904,000000,20.809,20.809,20.809,20.809,0,0
WAS_PE,D,20070905,000000,20.135,20.135,20.135,20.135,0,0
WAS_PE,D,20070906,000000,20.306,20.306,20.306,20.306,0,0
WAS_PE,D,20070907,000000,19.471,19.471,19.471,19.471,0,0
WAS_PE,D,20070910,000000,19.803,19.803,19.803,19.803,0,0
WAS_PE,D,20070911,000000,19.974,19.974,19.974,19.974,0,0
WAS_PE,D,20070912,000000,19.974,19.974,19.974,19.974,0,0
WAS_PE,D,20070913,000000,19.888,19.888,19.888,19.888,0,0
WAS_PE,D,20070914,000000,19.803,19.803,19.803,19.803,0,0
WAS_PE,D,20070917,000000,19.803,19.803,19.803,19.803,0,0
WAS_PE,D,20070918,000000,19.728,19.728,19.728,19.728,0,0
WAS_PE,D,20070919,000000,20.306,20.306,20.306,20.306,0,0
WAS_PE,D,20070920,000000,19.974,19.974,19.974,19.974,0,0
WAS_PE,D,20070921,000000,20.135,20.135,20.135,20.135,0,0
WAS_PE,D,20070924,000000,19.974,19.974,19.974,19.974,0,0
WAS_PE,D,20070925,000000,19.974,19.974,19.974,19.974,0,0
WAS_PE,D,20070926,000000,20.306,20.306,20.306,20.306,0,0
WAS_PE,D,20070927,000000,20.392,20.392,20.392,20.392,0,0
WAS_PE,D,20070928,000000,19.556,19.556,19.556,19.556,0,0
WAS_PE,D,20071001,000000,19.556,19.556,19.556,19.556,0,0
WAS_PE,D,20071002,000000,22.385,22.385,22.385,22.385,0,0
WAS_PE,D,20071003,000000,24.797,24.797,24.797,24.797,0,0
WAS_PE,D,20071004,000000,25.3,25.3,25.3,25.3,0,0
WAS_PE,D,20071005,000000,25.385,25.385,25.385,25.385,0,0
WAS_PE,D,20071008,000000,24.464,24.464,24.464,24.464,0,0
WAS_PE,D,20071009,000000,23.638,23.638,23.638,23.638,0,0
WAS_PE,D,20071010,000000,23.049,23.049,23.049,23.049,0,0
WAS_PE,D,20071011,000000,23.135,23.135,23.135,23.135,0,0
WAS_PE,D,20071012,000000,24.883,24.883,24.883,24.883,0,0
WAS_PE,D,20071015,000000,29.211,29.211,29.211,29.211,0,0
WAS_PE,D,20071016,000000,26.715,26.715,26.715,26.715,0,0
WAS_PE,D,20071017,000000,26.629,26.629,26.629,26.629,0,0
WAS_PE,D,20071018,000000,28.13,28.13,28.13,28.13,0,0
WAS_PE,D,20071019,000000,28.13,28.13,28.13,28.13,0,0
WAS_PE,D,20071022,000000,27.217,27.217,27.217,27.217,0,0
WAS_PE,D,20071023,000000,27.217,27.217,27.217,27.217,0,0
WAS_PE,D,20071024,000000,27.047,27.047,27.047,27.047,0,0
WAS_PE,D,20071025,000000,27.293,27.293,27.293,27.293,0,0
WAS_PE,D,20071026,000000,26.715,26.715,26.715,26.715,0,0
WAS_PE,D,20071029,000000,27.217,27.217,27.217,27.217,0,0
WAS_PE,D,20071030,000000,27.217,27.217,27.217,27.217,0,0
WAS_PE,D,20071031,000000,28.13,28.13,28.13,28.13,0,0
WAS_PE,D,20071102,000000,28.214,28.214,28.214,28.214,0,0
WAS_PE,D,20071105,000000,27.959,27.959,27.959,27.959,0,0
WAS_PE,D,20071106,000000,28.794,28.794,28.794,28.794,0,0
WAS_PE,D,20071107,000000,27.959,27.959,27.959,27.959,0,0
WAS_PE,D,20071108,000000,27.711,27.711,27.711,27.711,0,0
WAS_PE,D,20071109,000000,27.797,27.797,27.217,27.217,0,0
WAS_PE,D,20071112,000000,26.629,28.214,26.629,27.959,0,0
WAS_PE,D,20071113,000000,28.214,28.794,27.881,28.794,0,0
WAS_PE,D,20071114,000000,29.211,29.459,28.879,28.879,0,0
WAS_PE,D,20071115,000000,29.296,29.296,27.217,27.217,0,0
WAS_PE,D,20071116,000000,27.132,28.045,26.382,27.959,0,0
WAS_PE,D,20071119,000000,27.959,28.461,27.293,28.461,0,0
WAS_PE,D,20071120,000000,28.708,28.708,18.806,18.806,0,0
WAS_PE,D,20071121,000000,18.057,18.057,18.057,18.057,0,0
WAS_PE,D,20071122,000000,18.057,18.228,15.398,18.141,0,0
WAS_PE,D,20071123,000000,18.141,19.556,17.563,18.978,0,0
WAS_PE,D,20071126,000000,19.138,19.138,18.389,18.892,0,0
WAS_PE,D,20071127,000000,19.138,19.138,17.895,19.053,0,0
WAS_PE,D,20071128,000000,19.053,19.31,18.978,19.31,0,0
WAS_PE,D,20071129,000000,19.31,19.556,18.978,18.978,0,0
WAS_PE,D,20071130,000000,18.806,19.223,18.721,19.223,0,0
WAS_PE,D,20071203,000000,19.394,19.394,18.721,18.978,0,0
WAS_PE,D,20071204,000000,18.978,18.978,18.892,18.978,0,0
WAS_PE,D,20071205,000000,19.053,19.728,19.053,19.471,0,0
WAS_PE,D,20071206,000000,19.471,19.728,19.138,19.31,0,0
