<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WLT_PE,D,20080207,000000,15.722,15.722,15.722,15.722,0,0
WLT_PE,D,20080208,000000,15.722,15.926,15.722,15.926,0,0
WLT_PE,D,20080211,000000,16.059,16.265,16.059,16.193,0,0
WLT_PE,D,20080212,000000,16.193,18.179,16.193,18.179,0,0
WLT_PE,D,20080213,000000,18.658,19.889,18.658,19.616,0,0
WLT_PE,D,20080214,000000,19.889,20.297,18.792,18.932,0,0
WLT_PE,D,20080215,000000,18.792,21.593,10.251,10.251,0,0
WLT_PE,D,20080218,000000,11.004,11.342,10.8,10.864,0,0
WLT_PE,D,20080219,000000,10.864,10.864,10.454,10.66,0,0
WLT_PE,D,20080220,000000,10.386,10.526,10.179,10.179,0,0
WLT_PE,D,20080221,000000,10.526,10.526,10.179,10.386,0,0
WLT_PE,D,20080222,000000,10.454,10.454,10.046,10.179,0,0
WLT_PE,D,20080225,000000,10.386,10.386,9.4969,9.638,0,0
WLT_PE,D,20080226,000000,9.701,10.118,9.4342,9.4342,0,0
WLT_PE,D,20080227,000000,9.3638,9.701,9.3638,9.701,0,0
WLT_PE,D,20080228,000000,9.844,9.844,9.2935,9.3638,0,0
WLT_PE,D,20080229,000000,9.2221,9.2935,9.0894,9.1595,0,0
WLT_PE,D,20080303,000000,8.9553,8.9553,8.5398,8.681,0,0
WLT_PE,D,20080304,000000,8.4766,8.681,8.4766,8.4766,0,0
WLT_PE,D,20080305,000000,8.4766,9.0894,8.4766,8.8853,0,0
WLT_PE,D,20080306,000000,9.0193,9.1595,8.8141,9.0193,0,0
WLT_PE,D,20080307,000000,8.681,9.1595,8.6108,9.1595,0,0
WLT_PE,D,20080310,000000,9.0894,9.4969,8.8853,9.1595,0,0
WLT_PE,D,20080311,000000,9.1595,9.1595,9.0894,9.0894,0,0
WLT_PE,D,20080312,000000,9.2935,9.2935,9.0894,9.1595,0,0
WLT_PE,D,20080313,000000,9.0894,9.1595,9.0193,9.0193,0,0
WLT_PE,D,20080314,000000,9.1595,9.3638,8.9553,9.0894,0,0
WLT_PE,D,20080317,000000,8.681,8.9553,8.681,8.9553,0,0
WLT_PE,D,20080318,000000,8.9553,9.0193,8.681,8.9553,0,0
WLT_PE,D,20080319,000000,9.0894,9.0894,8.7443,9.0193,0,0
WLT_PE,D,20080320,000000,8.7443,8.9553,8.7443,8.9553,0,0
WLT_PE,D,20080325,000000,9.2221,9.2221,9.0193,9.0894,0,0
WLT_PE,D,20080326,000000,9.0894,9.0894,8.9553,8.9553,0,0
WLT_PE,D,20080327,000000,8.9553,9.1595,8.9553,9.0894,0,0
WLT_PE,D,20080328,000000,9.0894,9.1595,8.9553,9.1595,0,0
WLT_PE,D,20080331,000000,9.1595,9.1595,9.1595,9.1595,0,0
WLT_PE,D,20080401,000000,9.1595,9.1595,8.9553,8.9553,0,0
WLT_PE,D,20080402,000000,9.568,9.568,9.0193,9.0894,0,0
WLT_PE,D,20080403,000000,9.1595,9.1595,9.0193,9.0193,0,0
WLT_PE,D,20080404,000000,9.4342,9.4342,9.0193,9.1595,0,0
WLT_PE,D,20080407,000000,9.0894,9.2221,9.0894,9.1595,0,0
WLT_PE,D,20080408,000000,9.1595,9.1595,8.9553,8.9553,0,0
WLT_PE,D,20080409,000000,8.9553,9.0193,8.8853,8.9553,0,0
WLT_PE,D,20080410,000000,8.8853,8.9553,8.8853,8.9553,0,0
WLT_PE,D,20080411,000000,8.9553,8.9553,8.7443,8.9553,0,0
WLT_PE,D,20080414,000000,8.7443,8.8853,8.681,8.8853,0,0
WLT_PE,D,20080415,000000,8.681,8.7443,8.681,8.7443,0,0
WLT_PE,D,20080416,000000,8.7443,8.7443,8.5398,8.7443,0,0
WLT_PE,D,20080417,000000,8.7443,8.7443,8.681,8.7443,0,0
WLT_PE,D,20080418,000000,8.7443,8.8141,8.681,8.8141,0,0
WLT_PE,D,20080421,000000,8.5398,8.8141,8.5398,8.681,0,0
WLT_PE,D,20080422,000000,8.5398,8.5398,8.2023,8.3362,0,0
WLT_PE,D,20080423,000000,8.2023,8.2023,7.7939,8.061,0,0
WLT_PE,D,20080424,000000,7.9979,8.4064,7.9979,7.9979,0,0
WLT_PE,D,20080425,000000,8.061,8.2023,8.061,8.2023,0,0
WLT_PE,D,20080428,000000,8.3362,8.4064,8.2023,8.4064,0,0
WLT_PE,D,20080429,000000,8.3362,8.681,8.3362,8.681,0,0
WLT_PE,D,20080430,000000,8.7443,8.8141,8.7443,8.7443,0,0
WLT_PE,D,20080505,000000,8.8141,9.773,8.8141,9.568,0,0
WLT_PE,D,20080506,000000,9.638,9.638,9.2935,9.4342,0,0
WLT_PE,D,20080507,000000,9.3638,9.4342,7.9276,7.9276,0,0
WLT_PE,D,20080508,000000,7.8571,7.9276,7.8571,7.9276,0,0
