<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WPL_PE,D,20150507,000000,216.86,216.86,216.86,216.86,0,0
WPL_PE,D,20150508,000000,218.93,219.02,215.63,217.7,0,0
WPL_PE,D,20150511,000000,219.96,219.96,216.86,216.86,0,0
WPL_PE,D,20150512,000000,217.5,217.5,216.29,216.29,0,0
WPL_PE,D,20150513,000000,215.72,216.56,212.51,212.51,0,0
WPL_PE,D,20150514,000000,213.17,216.01,211.01,216.01,0,0
WPL_PE,D,20150515,000000,213.83,218.17,213.83,218.17,0,0
WPL_PE,D,20150518,000000,219.11,219.96,215.81,215.81,0,0
WPL_PE,D,20150519,000000,215.06,215.72,215.06,215.63,0,0
WPL_PE,D,20150520,000000,215.34,219.4,215.34,215.63,0,0
WPL_PE,D,20150521,000000,219.96,219.96,216.95,216.95,0,0
WPL_PE,D,20150522,000000,215.16,219.87,139.51,139.51,0,0
WPL_PE,D,20150525,000000,141.77,141.77,141.77,141.77,0,0
WPL_PE,D,20150526,000000,139.6,139.6,139.6,139.6,0,0
WPL_PE,D,20150527,000000,138.19,157.9,138.19,157.9,0,0
WPL_PE,D,20150528,000000,157.62,158.28,156.96,157.9,0,0
WPL_PE,D,20150529,000000,156.39,158.56,156.39,158.09,0,0
WPL_PE,D,20150601,000000,157.62,158.37,156.96,157.9,0,0
WPL_PE,D,20150602,000000,157.62,157.9,156.77,157.9,0,0
WPL_PE,D,20150603,000000,156.77,158.09,156.77,157.52,0,0
WPL_PE,D,20150605,000000,157.33,157.33,157.14,157.14,0,0
WPL_PE,D,20150608,000000,157.05,158.09,157.05,158.09,0,0
WPL_PE,D,20150609,000000,157.24,157.24,157.14,157.14,0,0
WPL_PE,D,20150610,000000,157.14,157.62,156.77,157.05,0,0
WPL_PE,D,20150611,000000,157.62,157.62,156.86,156.96,0,0
WPL_PE,D,20150612,000000,157.43,157.43,156.96,156.96,0,0
WPL_PE,D,20150615,000000,158.09,158.09,157.14,157.14,0,0
WPL_PE,D,20150616,000000,157.14,157.9,156.57,157.9,0,0
WPL_PE,D,20150617,000000,158.09,158.09,157.43,157.62,0,0
WPL_PE,D,20150618,000000,157.8,158.28,157.8,157.99,0,0
WPL_PE,D,20150619,000000,157.9,158.56,156.67,156.67,0,0
WPL_PE,D,20150622,000000,156.77,157.62,156.77,157.14,0,0
WPL_PE,D,20150623,000000,157.99,157.99,157.14,157.14,0,0
WPL_PE,D,20150624,000000,157.14,158.46,157.14,157.99,0,0
WPL_PE,D,20150625,000000,157.62,158.09,157.62,157.62,0,0
WPL_PE,D,20150626,000000,157.14,157.14,156.86,157.05,0,0
WPL_PE,D,20150629,000000,154.4,154.4,146.02,153.09,0,0
WPL_PE,D,20150630,000000,152.24,153.09,152.24,152.99,0,0
WPL_PE,D,20150701,000000,152.99,158.46,152.99,158.37,0,0
WPL_PE,D,20150702,000000,158.46,158.66,155.36,158.37,0,0
WPL_PE,D,20150703,000000,158.37,158.66,155.36,156.77,0,0
WPL_PE,D,20150706,000000,155.64,158.56,154.7,158.56,0,0
WPL_PE,D,20150707,000000,156.77,157.62,156.77,156.77,0,0
WPL_PE,D,20150708,000000,158.09,158.09,156.77,156.77,0,0
WPL_PE,D,20150709,000000,157.24,157.24,155.36,156.77,0,0
WPL_PE,D,20150710,000000,156.77,158.09,156.49,156.77,0,0
WPL_PE,D,20150713,000000,157.62,157.62,154.5,155.73,0,0
WPL_PE,D,20150714,000000,156.01,156.2,154.5,155.64,0,0
WPL_PE,D,20150715,000000,155.64,157.24,155.64,157.14,0,0
WPL_PE,D,20150716,000000,157.62,163.09,157.14,162.15,0,0
WPL_PE,D,20150717,000000,161.29,166.39,161.29,166.39,0,0
WPL_PE,D,20150720,000000,165.82,165.82,164.5,165.82,0,0
WPL_PE,D,20150721,000000,165.82,167.52,164.5,167.52,0,0
WPL_PE,D,20150722,000000,167.61,167.61,166.66,167.61,0,0
WPL_PE,D,20150723,000000,167.14,167.61,166.29,166.76,0,0
WPL_PE,D,20150724,000000,167.61,168.08,167.23,168.08,0,0
WPL_PE,D,20150727,000000,168.75,168.75,167.23,167.23,0,0
WPL_PE,D,20150728,000000,167.33,168.93,167.33,168.08,0,0
WPL_PE,D,20150729,000000,168.08,168.75,167.99,167.99,0,0
WPL_PE,D,20150730,000000,167.99,168.08,167.99,168.08,0,0
WPL_PE,D,20150731,000000,168.08,170.82,168.08,170.82,0,0
WPL_PE,D,20150803,000000,170.82,172.61,170.82,172.61,0,0
WPL_PE,D,20150804,000000,172.61,172.61,167.99,168.08,0,0
WPL_PE,D,20150805,000000,168.08,171.29,168.08,170.63,0,0
WPL_PE,D,20150806,000000,170.63,171.49,168.56,170.16,0,0
WPL_PE,D,20150807,000000,170.16,170.16,168.08,168.75,0,0
WPL_PE,D,20150810,000000,168.75,168.75,167.99,168.08,0,0
WPL_PE,D,20150811,000000,168.08,168.56,167.23,168.08,0,0
WPL_PE,D,20150812,000000,168.08,168.08,167.23,167.43,0,0
WPL_PE,D,20150813,000000,167.43,168.46,167.43,168.08,0,0
WPL_PE,D,20150814,000000,167.61,168.08,167.23,167.43,0,0
WPL_PE,D,20150817,000000,167.14,167.99,167.14,167.9,0,0
WPL_PE,D,20150818,000000,167.9,168.56,167.9,168.56,0,0
WPL_PE,D,20150819,000000,169.03,169.03,167.9,168.28,0,0
WPL_PE,D,20150820,000000,168.28,168.28,167.9,168.28,0,0
WPL_PE,D,20150821,000000,167.9,169.59,167.61,168.28,0,0
WPL_PE,D,20150824,000000,167.99,167.99,161.2,163.56,0,0
WPL_PE,D,20150825,000000,163.56,166.58,163.56,165.82,0,0
WPL_PE,D,20150826,000000,165.82,166.11,164.97,165.82,0,0
WPL_PE,D,20150827,000000,167.14,167.14,166.49,166.76,0,0
WPL_PE,D,20150828,000000,168.08,170.82,168.08,170.82,0,0
WPL_PE,D,20150831,000000,170.35,171.29,170.16,170.82,0,0
WPL_PE,D,20150901,000000,170.82,171.76,168.28,171.76,0,0
WPL_PE,D,20150902,000000,170.82,172.24,168.65,170.82,0,0
WPL_PE,D,20150903,000000,171.76,177.61,170.35,177.61,0,0
WPL_PE,D,20150904,000000,177.61,179.4,177.24,178.46,0,0
WPL_PE,D,20150907,000000,177.34,178.46,175.72,176.29,0,0
WPL_PE,D,20150908,000000,174.97,175.82,78.007,78.007,0,0
WPL_PE,D,20150909,000000,78.007,79.515,78.007,78.383,0,0
WPL_PE,D,20150910,000000,78.383,79.421,78.383,79.421,0,0
WPL_PE,D,20150911,000000,80.081,80.081,78.101,78.101,0,0
WPL_PE,D,20150914,000000,77.63,78.007,75.554,78.007,0,0
WPL_PE,D,20150915,000000,78.007,78.007,76.968,77.063,0,0
WPL_PE,D,20150916,000000,77.251,78.195,77.157,78.195,0,0
WPL_PE,D,20150917,000000,77.346,77.346,75.46,75.742,0,0
WPL_PE,D,20150918,000000,76.968,76.968,76.214,76.781,0,0
WPL_PE,D,20150921,000000,77.346,78.007,77.346,78.007,0,0
WPL_PE,D,20150922,000000,78.195,78.761,77.63,78.478,0,0
WPL_PE,D,20150923,000000,78.478,78.761,78.478,78.761,0,0
WPL_PE,D,20150924,000000,78.761,79.892,78.761,79.892,0,0
WPL_PE,D,20150925,000000,78.666,81.873,78.666,80.93,0,0
WPL_PE,D,20150928,000000,80.93,81.213,79.421,80.459,0,0
WPL_PE,D,20150929,000000,78.666,80.647,78.383,80.459,0,0
WPL_PE,D,20150930,000000,80.93,81.497,80.459,81.497,0,0
WPL_PE,D,20151001,000000,81.686,81.686,81.119,81.497,0,0
WPL_PE,D,20151002,000000,80.459,81.497,80.459,81.497,0,0
WPL_PE,D,20151005,000000,81.497,81.497,80.459,81.497,0,0
WPL_PE,D,20151006,000000,81.968,81.968,81.307,81.968,0,0
WPL_PE,D,20151007,000000,81.968,82.062,80.741,81.968,0,0
WPL_PE,D,20151008,000000,81.968,81.968,81.591,81.968,0,0
WPL_PE,D,20151009,000000,81.873,82.818,80.741,82.251,0,0
WPL_PE,D,20151012,000000,82.345,82.345,82.062,82.062,0,0
WPL_PE,D,20151013,000000,81.968,81.968,80.93,81.402,0,0
WPL_PE,D,20151014,000000,82.062,82.062,81.024,81.119,0,0
WPL_PE,D,20151015,000000,81.024,81.402,81.024,81.402,0,0
WPL_PE,D,20151016,000000,81.402,81.873,81.119,81.873,0,0
WPL_PE,D,20151019,000000,81.307,81.873,81.307,81.591,0,0
WPL_PE,D,20151020,000000,81.78,81.873,81.307,81.78,0,0
WPL_PE,D,20151021,000000,81.119,81.78,81.119,81.78,0,0
WPL_PE,D,20151022,000000,81.686,81.873,81.686,81.78,0,0
WPL_PE,D,20151023,000000,81.497,82.062,81.497,82.062,0,0
WPL_PE,D,20151026,000000,82.062,83.477,82.062,83.288,0,0
WPL_PE,D,20151027,000000,83.288,84.515,83.288,83.854,0,0
WPL_PE,D,20151028,000000,83.76,84.42,83.571,84.233,0,0
WPL_PE,D,20151029,000000,84.233,84.327,82.818,84.233,0,0
WPL_PE,D,20151030,000000,84.138,84.138,83.571,84.138,0,0
WPL_PE,D,20151102,000000,83.101,84.138,83.101,84.138,0,0
WPL_PE,D,20151103,000000,84.138,84.797,84.138,84.797,0,0
WPL_PE,D,20151104,000000,84.609,85.363,84.609,84.609,0,0
WPL_PE,D,20151105,000000,84.609,84.986,84.609,84.892,0,0
WPL_PE,D,20151106,000000,84.892,85.363,84.138,84.515,0,0
WPL_PE,D,20151109,000000,85.363,85.363,83.477,84.327,0,0
WPL_PE,D,20151110,000000,84.138,84.138,83.288,83.76,0,0
WPL_PE,D,20151112,000000,84.42,84.609,84.138,84.138,0,0
WPL_PE,D,20151113,000000,83.666,84.138,83.666,83.949,0,0
WPL_PE,D,20151116,000000,82.439,123.38,81.402,123.38,0,0
WPL_PE,D,20151117,000000,123.66,123.66,123.38,123.38,0,0
WPL_PE,D,20151118,000000,123.38,123.56,122.53,123.38,0,0
WPL_PE,D,20151119,000000,123.38,123.66,123.19,123.38,0,0
WPL_PE,D,20151120,000000,123.28,124.04,123.19,123.47,0,0
WPL_PE,D,20151123,000000,123.38,123.38,123,123.38,0,0
WPL_PE,D,20151124,000000,123.38,123.66,120.83,123.38,0,0
WPL_PE,D,20151125,000000,123.38,123.38,122.24,123.38,0,0
WPL_PE,D,20151126,000000,123.38,124.41,123.38,123.38,0,0
WPL_PE,D,20151127,000000,123.38,123.38,123.28,123.38,0,0
WPL_PE,D,20151130,000000,123.38,123.47,122.53,123.38,0,0
WPL_PE,D,20151201,000000,122.62,123.38,122.62,122.81,0,0
WPL_PE,D,20151202,000000,120.83,123.28,120.83,123,0,0
WPL_PE,D,20151203,000000,123,123.38,122.06,123.19,0,0
WPL_PE,D,20151204,000000,123.28,123.28,119.61,121.5,0,0
WPL_PE,D,20151207,000000,120.36,123.66,120.36,122.44,0,0
WPL_PE,D,20151208,000000,120.64,123.38,120.64,121.4,0,0
WPL_PE,D,20151209,000000,121.2,121.77,119.31,120.83,0,0
WPL_PE,D,20151210,000000,118.1,119.88,118.1,118.57,0,0
WPL_PE,D,20151211,000000,118.38,118.38,108.47,111.39,0,0
WPL_PE,D,20151214,000000,112.81,112.81,107.15,108.19,0,0
WPL_PE,D,20151215,000000,107.82,111.78,107.82,111.78,0,0
WPL_PE,D,20151216,000000,111.78,116.12,111.78,114.41,0,0
WPL_PE,D,20151217,000000,116.49,117.53,114.78,117.44,0,0
WPL_PE,D,20151218,000000,114.71,118.94,114.71,118.66,0,0
WPL_PE,D,20151221,000000,118.66,119.98,118.28,119.31,0,0
WPL_PE,D,20151222,000000,119.98,120.55,119.31,120.26,0,0
WPL_PE,D,20151223,000000,119.98,123.47,119.98,122.06,0,0
WPL_PE,D,20151228,000000,123.09,123.66,121.3,123.66,0,0
WPL_PE,D,20151229,000000,123.66,123.66,120.93,120.93,0,0
WPL_PE,D,20151230,000000,121.77,123.47,121.77,123.38,0,0
WPL_PE,D,20160104,000000,122.14,122.14,119.79,120.55,0,0
WPL_PE,D,20160105,000000,121.2,121.2,121.2,121.2,0,0
WPL_PE,D,20160107,000000,120.55,120.55,119.04,120.55,0,0
WPL_PE,D,20160108,000000,120.55,120.55,118.38,120.55,0,0
WPL_PE,D,20160111,000000,120.55,120.55,117.53,118.38,0,0
WPL_PE,D,20160112,000000,117.44,119.04,117.44,119.04,0,0
WPL_PE,D,20160113,000000,119.04,119.31,117.62,119.31,0,0
WPL_PE,D,20160114,000000,117.53,117.53,116.4,117.44,0,0
WPL_PE,D,20160115,000000,117.44,118.57,114.31,117.91,0,0
WPL_PE,D,20160118,000000,117.44,117.44,113.76,116.12,0,0
WPL_PE,D,20160119,000000,115.65,115.65,113,114.98,0,0
WPL_PE,D,20160120,000000,114.88,115.92,111.68,115.92,0,0
WPL_PE,D,20160121,000000,115.92,115.92,111.31,111.31,0,0
WPL_PE,D,20160122,000000,111.31,112.81,110.08,110.08,0,0
WPL_PE,D,20160125,000000,115.55,115.55,111.31,114.41,0,0
WPL_PE,D,20160126,000000,110.65,112.81,110.65,112.81,0,0
WPL_PE,D,20160127,000000,110.65,112.52,109.88,112.44,0,0
WPL_PE,D,20160128,000000,112.81,119.04,112.81,118.38,0,0
WPL_PE,D,20160129,000000,115.35,119.79,115.35,119.79,0,0
WPL_PE,D,20160201,000000,116.87,118.84,116.87,118.84,0,0
WPL_PE,D,20160202,000000,117.44,118.94,117.44,118.38,0,0
WPL_PE,D,20160203,000000,119.04,119.04,119.04,119.04,0,0
WPL_PE,D,20160204,000000,119.31,120.26,119.31,119.61,0,0
WPL_PE,D,20160205,000000,120.08,120.26,119.88,120.08,0,0
WPL_PE,D,20160208,000000,120.55,120.55,117.34,120.55,0,0
