<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WTN_PE,D,20151109,000000,8.9476,8.9476,8.9476,8.9476,0,0
WTN_PE,D,20151110,000000,8.7007,9.029,8.3726,8.7007,0,0
WTN_PE,D,20151112,000000,9.1113,9.1113,8.7007,8.783,0,0
WTN_PE,D,20151113,000000,8.8643,8.8643,8.783,8.8643,0,0
WTN_PE,D,20151116,000000,8.8643,8.8643,8.7007,8.7007,0,0
WTN_PE,D,20151117,000000,8.783,8.783,8.7007,8.7007,0,0
WTN_PE,D,20151118,000000,8.783,8.783,8.6184,8.7007,0,0
WTN_PE,D,20151119,000000,8.7007,8.783,8.7007,8.7007,0,0
WTN_PE,D,20151120,000000,8.783,8.783,8.7007,8.7007,0,0
WTN_PE,D,20151123,000000,8.7007,8.7007,8.3726,8.3726,0,0
WTN_PE,D,20151124,000000,8.6184,8.6184,8.6184,8.6184,0,0
WTN_PE,D,20151125,000000,8.5361,8.5361,8.5361,8.5361,0,0
WTN_PE,D,20151126,000000,8.6184,8.6184,8.6184,8.6184,0,0
WTN_PE,D,20151127,000000,8.6184,8.6184,8.6184,8.6184,0,0
WTN_PE,D,20151130,000000,8.5361,8.783,8.5361,8.783,0,0
WTN_PE,D,20151201,000000,8.3726,9.3572,7.9619,9.3572,0,0
WTN_PE,D,20151202,000000,9.3572,9.3572,9.1926,9.1926,0,0
WTN_PE,D,20151203,000000,8.7007,8.783,8.7007,8.783,0,0
WTN_PE,D,20151204,000000,8.7007,9.1926,8.1262,9.1926,0,0
WTN_PE,D,20151207,000000,9.1926,9.1926,8.7007,8.7007,0,0
WTN_PE,D,20151208,000000,8.783,9.2758,8.783,9.1926,0,0
WTN_PE,D,20151209,000000,8.7007,9.1926,8.7007,9.1926,0,0
WTN_PE,D,20151210,000000,9.1926,9.1926,9.1926,9.1926,0,0
WTN_PE,D,20151211,000000,9.1926,9.1926,9.1926,9.1926,0,0
WTN_PE,D,20151214,000000,9.1926,9.1926,8.6184,8.7007,0,0
WTN_PE,D,20151215,000000,8.3726,8.8643,8.3726,8.6184,0,0
WTN_PE,D,20151216,000000,8.6184,8.8643,8.3726,8.6184,0,0
WTN_PE,D,20151217,000000,8.3726,8.6184,8.3726,8.3726,0,0
WTN_PE,D,20151218,000000,8.1262,8.3726,8.1262,8.2898,0,0
WTN_PE,D,20151221,000000,8.1262,8.1262,8.1262,8.1262,0,0
WTN_PE,D,20151222,000000,8.208,8.208,8.1262,8.1262,0,0
WTN_PE,D,20151223,000000,7.8798,8.208,7.8798,8.1262,0,0
WTN_PE,D,20151228,000000,8.1262,8.6184,8.1262,8.6184,0,0
WTN_PE,D,20151229,000000,8.3726,8.3726,8.1262,8.3726,0,0
WTN_PE,D,20151230,000000,8.3726,9.1926,8.3726,9.1926,0,0
WTN_PE,D,20160104,000000,9.1926,9.1926,8.9476,8.9476,0,0
WTN_PE,D,20160105,000000,8.3726,9.1926,8.3726,8.7007,0,0
WTN_PE,D,20160107,000000,8.7007,8.783,8.7007,8.7007,0,0
WTN_PE,D,20160108,000000,8.7007,8.7007,8.1262,8.3726,0,0
WTN_PE,D,20160111,000000,8.1262,8.6184,8.1262,8.6184,0,0
WTN_PE,D,20160113,000000,8.1262,8.1262,8.1262,8.1262,0,0
WTN_PE,D,20160114,000000,8.1262,8.208,8.1262,8.1262,0,0
WTN_PE,D,20160115,000000,8.044,8.4544,7.8798,7.8798,0,0
WTN_PE,D,20160118,000000,7.8798,7.8798,7.8798,7.8798,0,0
WTN_PE,D,20160119,000000,8.1262,8.2898,7.8798,7.8798,0,0
WTN_PE,D,20160120,000000,7.7156,7.7977,7.5514,7.7977,0,0
WTN_PE,D,20160121,000000,7.5514,7.8798,7.5514,7.8798,0,0
WTN_PE,D,20160122,000000,7.8798,7.8798,7.7977,7.7977,0,0
