<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WWL_PE,D,20070813,000000,9.612,9.612,9.612,9.612,0,0
WWL_PE,D,20070814,000000,9.612,9.612,9.612,9.612,0,0
WWL_PE,D,20070816,000000,8.6298,8.6298,8.6298,8.6298,0,0
WWL_PE,D,20070817,000000,8.9827,8.9827,8.9827,8.9827,0,0
WWL_PE,D,20070820,000000,9.0476,9.0476,9.0476,9.0476,0,0
WWL_PE,D,20070821,000000,9.0476,9.0476,9.0476,9.0476,0,0
WWL_PE,D,20070822,000000,9.1209,9.1209,9.1209,9.1209,0,0
WWL_PE,D,20070823,000000,9.3989,9.3989,9.3989,9.3989,0,0
WWL_PE,D,20070824,000000,9.1856,9.1856,9.1856,9.1856,0,0
WWL_PE,D,20070827,000000,8.5556,8.5556,8.5556,8.5556,0,0
WWL_PE,D,20070828,000000,8.4834,8.4834,8.4834,8.4834,0,0
WWL_PE,D,20070829,000000,8.6298,8.6298,8.6298,8.6298,0,0
WWL_PE,D,20070830,000000,7.7138,7.7138,7.7138,7.7138,0,0
WWL_PE,D,20070831,000000,7.7872,7.7872,7.7872,7.7872,0,0
WWL_PE,D,20070903,000000,8.344,8.344,8.344,8.344,0,0
WWL_PE,D,20070904,000000,8.344,8.344,8.344,8.344,0,0
WWL_PE,D,20070905,000000,8.2782,8.2782,8.2782,8.2782,0,0
WWL_PE,D,20070906,000000,8.2782,8.2782,8.2782,8.2782,0,0
WWL_PE,D,20070907,000000,8.0649,8.0649,8.0649,8.0649,0,0
WWL_PE,D,20070910,000000,7.9263,7.9263,7.9263,7.9263,0,0
WWL_PE,D,20070911,000000,7.9263,7.9263,7.9263,7.9263,0,0
WWL_PE,D,20070912,000000,7.9263,7.9263,7.9263,7.9263,0,0
WWL_PE,D,20070913,000000,7.7872,7.7872,7.7872,7.7872,0,0
WWL_PE,D,20070914,000000,7.7872,7.7872,7.7872,7.7872,0,0
WWL_PE,D,20070917,000000,7.7138,7.7138,7.7138,7.7138,0,0
WWL_PE,D,20070918,000000,7.6479,7.6479,7.6479,7.6479,0,0
WWL_PE,D,20070919,000000,7.7872,7.7872,7.7872,7.7872,0,0
WWL_PE,D,20070920,000000,7.6479,7.6479,7.6479,7.6479,0,0
WWL_PE,D,20070921,000000,7.7138,7.7138,7.7138,7.7138,0,0
WWL_PE,D,20070924,000000,7.7138,7.7138,7.7138,7.7138,0,0
WWL_PE,D,20070925,000000,7.4355,7.4355,7.4355,7.4355,0,0
WWL_PE,D,20070926,000000,7.7138,7.7138,7.7138,7.7138,0,0
WWL_PE,D,20070927,000000,7.5013,7.5013,7.5013,7.5013,0,0
WWL_PE,D,20070928,000000,7.7138,7.7138,7.7138,7.7138,0,0
WWL_PE,D,20071001,000000,7.5013,7.5013,7.5013,7.5013,0,0
WWL_PE,D,20071002,000000,7.223,7.223,7.223,7.223,0,0
WWL_PE,D,20071003,000000,7.0107,7.0107,7.0107,7.0107,0,0
WWL_PE,D,20071004,000000,7.084,7.084,7.084,7.084,0,0
WWL_PE,D,20071005,000000,7.157,7.157,7.157,7.157,0,0
WWL_PE,D,20071008,000000,7.2962,7.2962,7.2962,7.2962,0,0
WWL_PE,D,20071009,000000,6.9447,6.9447,6.9447,6.9447,0,0
WWL_PE,D,20071010,000000,7.0107,7.0107,7.0107,7.0107,0,0
WWL_PE,D,20071011,000000,6.9447,6.9447,6.9447,6.9447,0,0
WWL_PE,D,20071012,000000,6.9447,6.9447,6.9447,6.9447,0,0
WWL_PE,D,20071015,000000,7.084,7.084,7.084,7.084,0,0
WWL_PE,D,20071016,000000,6.9447,6.9447,6.9447,6.9447,0,0
WWL_PE,D,20071017,000000,7.084,7.084,7.084,7.084,0,0
WWL_PE,D,20071018,000000,6.9447,6.9447,6.9447,6.9447,0,0
WWL_PE,D,20071019,000000,7.084,7.084,7.084,7.084,0,0
WWL_PE,D,20071022,000000,7.0107,7.0107,7.0107,7.0107,0,0
WWL_PE,D,20071023,000000,6.9447,6.9447,6.9447,6.9447,0,0
WWL_PE,D,20071024,000000,6.9447,6.9447,6.9447,6.9447,0,0
WWL_PE,D,20071025,000000,6.9447,6.9447,6.9447,6.9447,0,0
WWL_PE,D,20071026,000000,6.8714,6.8714,6.8714,6.8714,0,0
WWL_PE,D,20071029,000000,6.9447,6.9447,6.9447,6.9447,0,0
WWL_PE,D,20071030,000000,6.9447,6.9447,6.9447,6.9447,0,0
WWL_PE,D,20071031,000000,6.7323,6.7323,6.7323,6.7323,0,0
WWL_PE,D,20071102,000000,6.8056,6.8056,6.8056,6.8056,0,0
WWL_PE,D,20071105,000000,12.065,12.065,12.065,12.065,0,0
WWL_PE,D,20071106,000000,12.065,12.065,12.065,12.065,0,0
WWL_PE,D,20071107,000000,12.065,12.065,12.065,12.065,0,0
WWL_PE,D,20071108,000000,11.926,11.926,11.926,11.926,0,0
WWL_PE,D,20071109,000000,11.854,12.065,11.289,11.779,0,0
WWL_PE,D,20071112,000000,11.714,11.779,11.15,11.575,0,0
WWL_PE,D,20071113,000000,11.501,11.714,11.501,11.714,0,0
WWL_PE,D,20071114,000000,11.992,11.992,11.501,11.714,0,0
WWL_PE,D,20071115,000000,11.714,11.714,11.501,11.575,0,0
WWL_PE,D,20071116,000000,11.575,11.575,11.575,11.575,0,0
WWL_PE,D,20071119,000000,11.575,11.779,11.289,11.289,0,0
WWL_PE,D,20071121,000000,10.798,11.575,10.798,11.575,0,0
WWL_PE,D,20071122,000000,11.15,11.992,10.594,11.992,0,0
WWL_PE,D,20071123,000000,12.555,12.835,11.992,12.555,0,0
WWL_PE,D,20071126,000000,14.168,14.168,12.065,13.047,0,0
WWL_PE,D,20071127,000000,13.047,13.325,12.623,13.113,0,0
WWL_PE,D,20071128,000000,13.047,13.538,12.908,13.538,0,0
WWL_PE,D,20071129,000000,13.466,13.817,13.26,13.817,0,0
WWL_PE,D,20071130,000000,13.186,13.956,13.186,13.956,0,0
WWL_PE,D,20071203,000000,13.817,13.817,13.817,13.817,0,0
WWL_PE,D,20071204,000000,13.538,13.538,13.466,13.466,0,0
WWL_PE,D,20071205,000000,13.186,13.956,13.113,13.956,0,0
WWL_PE,D,20071206,000000,13.956,13.956,13.538,13.817,0,0
WWL_PE,D,20071207,000000,13.466,14.029,13.399,14.029,0,0
WWL_PE,D,20071210,000000,13.677,13.751,13.399,13.399,0,0
WWL_PE,D,20071211,000000,13.325,13.89,13.047,13.89,0,0
WWL_PE,D,20071212,000000,13.538,13.604,13.26,13.604,0,0
