<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XTB_PE,D,20160506,000000,9.909,9.909,9.909,9.909,0,0
XTB_PE,D,20160509,000000,10.324,10.324,9.825,9.825,0,0
XTB_PE,D,20160510,000000,9.825,9.825,9.657,9.825,0,0
XTB_PE,D,20160511,000000,9.741,9.909,9.657,9.909,0,0
XTB_PE,D,20160512,000000,9.909,10.074,9.909,9.991,0,0
XTB_PE,D,20160513,000000,10.074,10.157,9.991,10.157,0,0
XTB_PE,D,20160516,000000,10.157,10.823,10.074,10.656,0,0
XTB_PE,D,20160517,000000,10.656,10.656,10.656,10.656,0,0
XTB_PE,D,20160518,000000,10.656,11.156,10.656,11.156,0,0
XTB_PE,D,20160519,000000,10.907,11.406,10.823,11.406,0,0
XTB_PE,D,20160520,000000,11.406,11.739,11.323,11.739,0,0
XTB_PE,D,20160523,000000,11.739,11.739,11.239,11.489,0,0
XTB_PE,D,20160524,000000,11.406,13.738,11.239,13.738,0,0
XTB_PE,D,20160525,000000,13.738,14.487,13.405,14.487,0,0
XTB_PE,D,20160527,000000,14.487,14.487,13.987,14.403,0,0
XTB_PE,D,20160530,000000,14.238,14.487,13.987,14.403,0,0
XTB_PE,D,20160531,000000,14.487,14.487,13.987,14.238,0,0
XTB_PE,D,20160601,000000,14.238,14.238,13.487,13.904,0,0
XTB_PE,D,20160602,000000,13.82,13.82,13.405,13.487,0,0
XTB_PE,D,20160603,000000,13.405,13.57,12.904,13.57,0,0
XTB_PE,D,20160606,000000,13.904,13.904,13.238,13.57,0,0
XTB_PE,D,20160607,000000,13.405,13.57,13.238,13.57,0,0
XTB_PE,D,20160608,000000,13.57,13.57,13.238,13.238,0,0
XTB_PE,D,20160609,000000,13.072,13.321,13.072,13.238,0,0
XTB_PE,D,20160610,000000,13.155,13.321,12.987,13.321,0,0
XTB_PE,D,20160613,000000,13.321,13.321,13.072,13.238,0,0
XTB_PE,D,20160614,000000,13.072,13.238,12.904,13.238,0,0
XTB_PE,D,20160615,000000,12.987,13.155,12.987,13.155,0,0
XTB_PE,D,20160616,000000,12.987,13.072,12.904,13.072,0,0
XTB_PE,D,20160617,000000,12.904,13.238,12.904,13.238,0,0
