<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZAP_PE,D,20070813,000000,8.732,8.732,8.732,8.732,0,0
ZAP_PE,D,20070814,000000,8.5715,8.5715,8.5715,8.5715,0,0
ZAP_PE,D,20070816,000000,8.5715,8.5715,8.5715,8.5715,0,0
ZAP_PE,D,20070817,000000,8.625,8.625,8.625,8.625,0,0
ZAP_PE,D,20070820,000000,8.5715,8.5715,8.5715,8.5715,0,0
ZAP_PE,D,20070821,000000,8.5189,8.5189,8.5189,8.5189,0,0
ZAP_PE,D,20070822,000000,9.2156,9.2156,9.2156,9.2156,0,0
ZAP_PE,D,20070823,000000,9.2156,9.2156,9.2156,9.2156,0,0
ZAP_PE,D,20070824,000000,8.3076,8.3076,8.3076,8.3076,0,0
ZAP_PE,D,20070827,000000,8.3076,8.3076,8.3076,8.3076,0,0
ZAP_PE,D,20070828,000000,8.195,8.195,8.195,8.195,0,0
ZAP_PE,D,20070829,000000,8.195,8.195,8.195,8.195,0,0
ZAP_PE,D,20070830,000000,8.195,8.195,8.195,8.195,0,0
ZAP_PE,D,20070831,000000,8.195,8.195,8.195,8.195,0,0
ZAP_PE,D,20070903,000000,8.361,8.361,8.361,8.361,0,0
ZAP_PE,D,20070904,000000,8.361,8.361,8.361,8.361,0,0
ZAP_PE,D,20070905,000000,8.361,8.361,8.361,8.361,0,0
ZAP_PE,D,20070906,000000,8.4659,8.4659,8.4659,8.4659,0,0
ZAP_PE,D,20070907,000000,8.5189,8.5189,8.5189,8.5189,0,0
ZAP_PE,D,20070910,000000,8.361,8.361,8.361,8.361,0,0
ZAP_PE,D,20070911,000000,8.361,8.361,8.361,8.361,0,0
ZAP_PE,D,20070912,000000,8.361,8.361,8.361,8.361,0,0
ZAP_PE,D,20070913,000000,8.5715,8.5715,8.5715,8.5715,0,0
ZAP_PE,D,20070914,000000,8.5715,8.5715,8.5715,8.5715,0,0
ZAP_PE,D,20070917,000000,8.5189,8.5189,8.5189,8.5189,0,0
ZAP_PE,D,20070918,000000,8.4135,8.4135,8.4135,8.4135,0,0
ZAP_PE,D,20070919,000000,8.5715,8.5715,8.5715,8.5715,0,0
ZAP_PE,D,20070920,000000,8.6785,8.6785,8.6785,8.6785,0,0
ZAP_PE,D,20070921,000000,8.8966,8.8966,8.8966,8.8966,0,0
ZAP_PE,D,20070924,000000,9.2685,9.2685,9.2685,9.2685,0,0
ZAP_PE,D,20070925,000000,9.432,9.432,9.432,9.432,0,0
ZAP_PE,D,20070926,000000,9.591,9.591,9.591,9.591,0,0
ZAP_PE,D,20070927,000000,9.591,9.591,9.591,9.591,0,0
ZAP_PE,D,20070928,000000,9.055,9.055,9.055,9.055,0,0
ZAP_PE,D,20071001,000000,9.055,9.055,9.055,9.055,0,0
ZAP_PE,D,20071002,000000,9.1088,9.1088,9.1088,9.1088,0,0
ZAP_PE,D,20071003,000000,9.1617,9.1617,9.1617,9.1617,0,0
ZAP_PE,D,20071004,000000,9.1088,9.1088,9.1088,9.1088,0,0
ZAP_PE,D,20071005,000000,9.3791,9.3791,9.3791,9.3791,0,0
ZAP_PE,D,20071008,000000,9.697,9.697,9.697,9.697,0,0
ZAP_PE,D,20071009,000000,9.751,9.751,9.751,9.751,0,0
ZAP_PE,D,20071010,000000,9.804,9.804,9.804,9.804,0,0
ZAP_PE,D,20071011,000000,9.857,9.857,9.857,9.857,0,0
ZAP_PE,D,20071012,000000,9.916,9.916,9.916,9.916,0,0
ZAP_PE,D,20071015,000000,10.18,10.18,10.18,10.18,0,0
ZAP_PE,D,20071016,000000,9.969,9.969,9.969,9.969,0,0
ZAP_PE,D,20071017,000000,10.022,10.022,10.022,10.022,0,0
