<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZUE_PE,D,20101103,000000,37.126,37.126,37.126,37.126,0,0
ZUE_PE,D,20101104,000000,36.741,37.03,36.741,36.741,0,0
ZUE_PE,D,20101105,000000,36.933,36.933,36.741,36.933,0,0
ZUE_PE,D,20101108,000000,36.741,36.933,36.645,36.741,0,0
ZUE_PE,D,20101109,000000,36.741,36.741,36.645,36.741,0,0
ZUE_PE,D,20101110,000000,36.741,36.741,36.741,36.741,0,0
ZUE_PE,D,20101112,000000,36.741,36.741,36.741,36.741,0,0
ZUE_PE,D,20101115,000000,36.741,36.741,36.741,36.741,0,0
ZUE_PE,D,20101116,000000,36.741,36.741,35.972,35.972,0,0
ZUE_PE,D,20101117,000000,36.356,36.356,35.202,35.779,0,0
ZUE_PE,D,20101118,000000,35.587,36.741,35.587,36.549,0,0
ZUE_PE,D,20101119,000000,36.741,36.741,35.875,35.875,0,0
ZUE_PE,D,20110324,000000,17.313,17.313,17.313,17.313,0,0
ZUE_PE,D,20110325,000000,17.216,17.313,17.12,17.12,0,0
ZUE_PE,D,20110328,000000,17.024,17.12,16.928,17.024,0,0
ZUE_PE,D,20110329,000000,17.12,17.12,17.024,17.12,0,0
ZUE_PE,D,20110330,000000,17.12,17.12,17.12,17.12,0,0
ZUE_PE,D,20110331,000000,17.024,17.024,16.639,16.639,0,0
ZUE_PE,D,20110401,000000,17.12,17.12,16.543,16.639,0,0
ZUE_PE,D,20110404,000000,16.735,16.735,16.639,16.735,0,0
ZUE_PE,D,20110405,000000,16.735,16.735,16.447,16.447,0,0
ZUE_PE,D,20110406,000000,16.351,16.351,16.255,16.351,0,0
ZUE_PE,D,20110407,000000,16.158,16.351,16.062,16.062,0,0
ZUE_PE,D,20110408,000000,16.062,16.062,15.87,16.062,0,0
ZUE_PE,D,20110411,000000,15.87,15.87,15.774,15.774,0,0
ZUE_PE,D,20110412,000000,16.735,16.735,15.774,16.255,0,0
ZUE_PE,D,20110413,000000,16.351,16.351,15.87,15.87,0,0
ZUE_PE,D,20110414,000000,15.87,16.255,15.87,16.158,0,0
ZUE_PE,D,20110415,000000,16.062,16.158,15.774,15.774,0,0
ZUE_PE,D,20110418,000000,15.774,15.774,15.774,15.774,0,0
ZUE_PE,D,20110419,000000,15.677,15.774,15.389,15.389,0,0
ZUE_PE,D,20110420,000000,15.677,15.677,15.293,15.293,0,0
ZUE_PE,D,20110421,000000,15.197,15.293,15.004,15.293,0,0
ZUE_PE,D,20110426,000000,15.293,16.158,15.197,16.158,0,0
ZUE_PE,D,20110427,000000,15.87,16.158,15.485,16.158,0,0
ZUE_PE,D,20110428,000000,15.774,15.774,15.389,15.774,0,0
ZUE_PE,D,20110429,000000,15.87,15.87,15.774,15.774,0,0
ZUE_PE,D,20110502,000000,16.158,16.158,15.774,16.158,0,0
ZUE_PE,D,20110504,000000,16.158,16.158,15.677,15.966,0,0
ZUE_PE,D,20110505,000000,15.677,16.062,15.581,16.062,0,0
ZUE_PE,D,20110506,000000,15.966,16.062,15.966,15.966,0,0
ZUE_PE,D,20110510,000000,15.774,15.774,15.677,15.774,0,0
ZUE_PE,D,20110511,000000,15.389,15.774,15.293,15.677,0,0
ZUE_PE,D,20110512,000000,15.677,15.774,15.677,15.774,0,0
ZUE_PE,D,20110513,000000,15.774,15.774,15.389,15.774,0,0
ZUE_PE,D,20110516,000000,15.389,15.774,15.1,15.1,0,0
ZUE_PE,D,20110517,000000,15.1,15.1,14.427,14.716,0,0
ZUE_PE,D,20110518,000000,14.331,14.716,13.946,14.427,0,0
ZUE_PE,D,20110519,000000,14.619,14.619,13.465,13.465,0,0
ZUE_PE,D,20110520,000000,12.984,13.465,12.984,13.369,0,0
ZUE_PE,D,20110523,000000,13.177,13.177,12.888,12.984,0,0
ZUE_PE,D,20110524,000000,12.023,12.984,12.023,12.503,0,0
ZUE_PE,D,20110525,000000,12.503,12.696,12.503,12.696,0,0
ZUE_PE,D,20110526,000000,12.984,12.984,12.696,12.984,0,0
ZUE_PE,D,20110527,000000,12.792,13.561,12.503,13.177,0,0
ZUE_PE,D,20110530,000000,13.177,13.369,13.177,13.369,0,0
ZUE_PE,D,20110531,000000,13.369,13.369,13.081,13.273,0,0
ZUE_PE,D,20110601,000000,13.273,13.273,13.177,13.177,0,0
ZUE_PE,D,20110602,000000,13.081,13.081,12.888,13.081,0,0
ZUE_PE,D,20110603,000000,12.792,13.081,12.696,13.081,0,0
ZUE_PE,D,20110606,000000,12.792,12.792,12.503,12.503,0,0
ZUE_PE,D,20110607,000000,12.503,12.792,12.503,12.6,0,0
ZUE_PE,D,20110608,000000,12.888,12.888,12.696,12.696,0,0
ZUE_PE,D,20110609,000000,12.792,12.792,12.407,12.792,0,0
ZUE_PE,D,20110613,000000,12.792,13.177,12.792,12.792,0,0
ZUE_PE,D,20110615,000000,12.792,13.081,12.792,12.792,0,0
ZUE_PE,D,20110616,000000,12.792,12.792,12.792,12.792,0,0
ZUE_PE,D,20110620,000000,12.503,12.792,12.503,12.503,0,0
ZUE_PE,D,20110621,000000,12.503,12.696,12.503,12.696,0,0
ZUE_PE,D,20110622,000000,11.83,12.696,11.638,11.926,0,0
ZUE_PE,D,20110624,000000,12.119,12.215,11.926,12.215,0,0
ZUE_PE,D,20110627,000000,12.215,12.215,11.638,11.83,0,0
ZUE_PE,D,20110629,000000,12.119,12.119,11.445,11.926,0,0
ZUE_PE,D,20110630,000000,11.926,11.926,11.926,11.926,0,0
ZUE_PE,D,20110701,000000,11.734,11.734,11.734,11.734,0,0
ZUE_PE,D,20110704,000000,11.734,11.83,11.542,11.542,0,0
ZUE_PE,D,20110705,000000,11.638,11.83,11.542,11.542,0,0
ZUE_PE,D,20110706,000000,11.253,11.83,11.253,11.734,0,0
ZUE_PE,D,20110707,000000,12.023,12.023,11.734,11.926,0,0
ZUE_PE,D,20110708,000000,12.119,12.119,12.023,12.023,0,0
ZUE_PE,D,20110711,000000,12.023,12.023,11.734,11.926,0,0
ZUE_PE,D,20110712,000000,11.638,12.119,11.638,12.119,0,0
ZUE_PE,D,20110713,000000,12.215,12.311,12.215,12.311,0,0
ZUE_PE,D,20110714,000000,12.6,13.273,12.6,12.792,0,0
ZUE_PE,D,20110715,000000,13.081,13.273,12.888,12.888,0,0
ZUE_PE,D,20110718,000000,12.6,13.081,12.6,13.081,0,0
ZUE_PE,D,20110719,000000,12.792,13.273,12.792,13.081,0,0
ZUE_PE,D,20110720,000000,13.081,13.081,12.696,12.792,0,0
ZUE_PE,D,20110721,000000,12.503,12.792,12.119,12.792,0,0
ZUE_PE,D,20110722,000000,12.792,12.792,12.792,12.792,0,0
ZUE_PE,D,20110725,000000,12.503,12.503,11.83,12.407,0,0
ZUE_PE,D,20110726,000000,11.83,12.792,11.734,12.792,0,0
ZUE_PE,D,20110727,000000,12.407,12.792,12.407,12.407,0,0
