<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZWC_PE,D,20070813,000000,6.9992,6.9992,6.9992,6.9992,0,0
ZWC_PE,D,20070814,000000,5.9289,5.9289,5.9289,5.9289,0,0
ZWC_PE,D,20070816,000000,5.6599,5.6599,5.6599,5.6599,0,0
ZWC_PE,D,20070817,000000,5.8865,5.8865,5.8865,5.8865,0,0
ZWC_PE,D,20070820,000000,5.9289,5.9289,5.9289,5.9289,0,0
ZWC_PE,D,20070821,000000,5.9289,5.9289,5.9289,5.9289,0,0
ZWC_PE,D,20070822,000000,5.7969,5.7969,5.7969,5.7969,0,0
ZWC_PE,D,20070823,000000,5.9289,5.9289,5.9289,5.9289,0,0
ZWC_PE,D,20070824,000000,5.9761,5.9761,5.9761,5.9761,0,0
ZWC_PE,D,20070827,000000,6.3297,6.3297,6.3297,6.3297,0,0
ZWC_PE,D,20070828,000000,6.2403,6.2403,6.2403,6.2403,0,0
ZWC_PE,D,20070829,000000,6.3769,6.3769,6.3769,6.3769,0,0
ZWC_PE,D,20070830,000000,6.8202,6.8202,6.8202,6.8202,0,0
ZWC_PE,D,20070831,000000,7.3585,7.3585,7.3585,7.3585,0,0
ZWC_PE,D,20070903,000000,7.8001,7.8001,7.8001,7.8001,0,0
ZWC_PE,D,20070904,000000,7.9798,7.9798,7.9798,7.9798,0,0
ZWC_PE,D,20070905,000000,7.3585,7.3585,7.3585,7.3585,0,0
ZWC_PE,D,20070906,000000,7.1792,7.1792,7.1792,7.1792,0,0
ZWC_PE,D,20070907,000000,7.1311,7.1311,7.1311,7.1311,0,0
ZWC_PE,D,20070910,000000,7.0887,7.0887,7.0887,7.0887,0,0
ZWC_PE,D,20070911,000000,7.2676,7.2676,7.2676,7.2676,0,0
ZWC_PE,D,20070912,000000,7.1311,7.1311,7.1311,7.1311,0,0
ZWC_PE,D,20070913,000000,7.1311,7.1311,7.1311,7.1311,0,0
ZWC_PE,D,20070914,000000,6.9992,6.9992,6.9992,6.9992,0,0
ZWC_PE,D,20070917,000000,6.9523,6.9523,6.9523,6.9523,0,0
ZWC_PE,D,20070918,000000,6.9097,6.9097,6.9097,6.9097,0,0
ZWC_PE,D,20070919,000000,6.9523,6.9523,6.9523,6.9523,0,0
ZWC_PE,D,20070920,000000,7.1311,7.1311,7.1311,7.1311,0,0
ZWC_PE,D,20070921,000000,7.3585,7.3585,7.3585,7.3585,0,0
ZWC_PE,D,20070924,000000,7.3585,7.3585,7.3585,7.3585,0,0
ZWC_PE,D,20070925,000000,7.4009,7.4009,7.4009,7.4009,0,0
ZWC_PE,D,20070926,000000,7.5323,7.5323,7.5323,7.5323,0,0
ZWC_PE,D,20070927,000000,7.4009,7.4009,7.4009,7.4009,0,0
ZWC_PE,D,20070928,000000,7.2676,7.2676,7.2676,7.2676,0,0
ZWC_PE,D,20071001,000000,7.0887,7.0887,7.0887,7.0887,0,0
ZWC_PE,D,20071002,000000,7.1792,7.1792,7.1792,7.1792,0,0
ZWC_PE,D,20071003,000000,7.4009,7.4009,7.4009,7.4009,0,0
ZWC_PE,D,20071004,000000,7.4009,7.4009,7.4009,7.4009,0,0
ZWC_PE,D,20071005,000000,7.3104,7.3104,7.3104,7.3104,0,0
ZWC_PE,D,20071008,000000,7.1792,7.1792,7.1792,7.1792,0,0
ZWC_PE,D,20071009,000000,7.3104,7.3104,7.3104,7.3104,0,0
ZWC_PE,D,20071010,000000,7.0887,7.0887,7.0887,7.0887,0,0
ZWC_PE,D,20071011,000000,7.1792,7.1792,7.1792,7.1792,0,0
ZWC_PE,D,20071012,000000,7.1311,7.1311,7.1311,7.1311,0,0
ZWC_PE,D,20071015,000000,7.1792,7.1792,7.1792,7.1792,0,0
ZWC_PE,D,20071016,000000,7.0887,7.0887,7.0887,7.0887,0,0
ZWC_PE,D,20071017,000000,7.1792,7.1792,7.1792,7.1792,0,0
ZWC_PE,D,20071018,000000,7.1311,7.1311,7.1311,7.1311,0,0
ZWC_PE,D,20071019,000000,7.0887,7.0887,7.0887,7.0887,0,0
ZWC_PE,D,20071022,000000,7.1311,7.1311,7.1311,7.1311,0,0
ZWC_PE,D,20071023,000000,7.0419,7.0419,7.0419,7.0419,0,0
ZWC_PE,D,20071024,000000,7.0419,7.0419,7.0419,7.0419,0,0
ZWC_PE,D,20071025,000000,7.0887,7.0887,7.0887,7.0887,0,0
ZWC_PE,D,20071026,000000,7.0419,7.0419,7.0419,7.0419,0,0
ZWC_PE,D,20071029,000000,7.0887,7.0887,7.0887,7.0887,0,0
ZWC_PE,D,20071030,000000,7.0419,7.0419,7.0419,7.0419,0,0
ZWC_PE,D,20071031,000000,7.0419,7.0419,7.0419,7.0419,0,0
ZWC_PE,D,20071102,000000,7.0887,7.0887,7.0887,7.0887,0,0
ZWC_PE,D,20071105,000000,7.0419,7.0419,7.0419,7.0419,0,0
ZWC_PE,D,20071106,000000,7.0419,7.0419,7.0419,7.0419,0,0
ZWC_PE,D,20071107,000000,6.9097,6.9097,6.9097,6.9097,0,0
ZWC_PE,D,20071108,000000,6.867,6.867,6.867,6.867,0,0
