<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APN,D,20090525,000000,5.8283,5.8283,5.3242,5.4055,271179,0
APN,D,20090526,000000,5.6087,5.6087,5.064,5.186,52958,0
APN,D,20090527,000000,5.1941,5.1941,4.7959,4.8771,43103,0
APN,D,20090528,000000,4.8853,4.8853,4.7064,4.7552,22600,0
APN,D,20090529,000000,4.7145,5.0397,4.5925,4.9016,39927,0
APN,D,20090601,000000,5.0723,5.0723,4.8771,4.9747,9738,0
APN,D,20090602,000000,4.8771,5.0316,4.812,5.0153,27308,0
APN,D,20090603,000000,4.999,4.999,4.8771,4.9503,4190,0
APN,D,20090604,000000,4.9503,5.064,4.9259,4.9259,7685,0
APN,D,20090605,000000,4.9259,4.9747,4.9016,4.9747,1632,0
APN,D,20090608,000000,4.9665,4.999,4.8771,4.9747,7090,0
APN,D,20090609,000000,4.9747,4.9747,4.8934,4.9584,2250,0
APN,D,20090610,000000,4.9584,5.056,4.9584,4.999,8536,0
APN,D,20090612,000000,4.9908,5.0479,4.9828,4.9828,2926,0
APN,D,20090615,000000,4.9421,5.0804,4.9421,5.0804,1184,0
APN,D,20090616,000000,4.9421,5.0397,4.9179,5.0397,2165,0
APN,D,20090617,000000,5.0235,5.0479,4.999,4.999,8404,0
APN,D,20090618,000000,4.9421,5.0153,4.9421,5.0153,360,0
APN,D,20090619,000000,4.9421,5.0397,4.934,4.9584,3641,0
APN,D,20090622,000000,4.9096,4.999,4.812,4.8771,12343,0
APN,D,20090623,000000,4.8771,4.934,4.812,4.934,440,0
APN,D,20090624,000000,4.999,4.999,4.9908,4.999,4922,0
APN,D,20090625,000000,5.0153,5.0153,4.8771,4.8771,2309,0
APN,D,20090626,000000,4.9747,4.9747,4.8771,4.8771,216,0
APN,D,20090629,000000,4.934,4.934,4.934,4.934,248,0
APN,D,20090630,000000,4.8934,4.8934,4.8934,4.8934,862,0
APN,D,20090701,000000,4.8203,4.9259,4.7309,4.8771,5175,0
APN,D,20090702,000000,4.9259,4.9584,4.7959,4.7959,13143,0
APN,D,20090703,000000,4.861,4.861,4.861,4.861,368,0
APN,D,20090706,000000,4.8771,4.8771,4.8771,4.8771,1845,0
APN,D,20090707,000000,4.8366,4.8771,4.8366,4.8771,811,0
APN,D,20090709,000000,4.7796,4.869,4.7145,4.7145,10769,0
APN,D,20090710,000000,4.7145,4.869,4.7145,4.869,2809,0
APN,D,20090713,000000,4.869,4.869,4.7145,4.869,1556,0
APN,D,20090715,000000,4.869,4.869,4.6496,4.7959,2193,0
APN,D,20090716,000000,4.8285,4.8285,4.7552,4.8285,4280,0
APN,D,20090717,000000,4.7634,4.869,4.7634,4.869,513,0
APN,D,20090720,000000,4.7227,4.7227,4.7227,4.7227,1607,0
APN,D,20090721,000000,4.7796,4.869,4.7796,4.7876,3104,0
APN,D,20090722,000000,4.7876,4.9503,4.7876,4.9503,513,0
APN,D,20090723,000000,4.9179,4.934,4.9179,4.9179,2461,0
APN,D,20090724,000000,4.9503,5.007,4.9179,4.9179,4510,0
APN,D,20090727,000000,4.9503,4.9503,4.8447,4.8447,2247,0
APN,D,20090728,000000,4.8447,4.8853,4.8447,4.8853,230,0
APN,D,20090729,000000,4.8447,4.8771,4.8366,4.8447,2063,0
APN,D,20090730,000000,4.9096,4.9421,4.8447,4.8529,8191,0
APN,D,20090731,000000,4.9179,4.9179,4.861,4.8771,3722,0
