<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APT,D,19970424,000000,1.5698,1.5698,1.5698,1.5698,2019729,0
APT,D,19970425,000000,1.5053,1.5053,1.5053,1.5053,948991,0
APT,D,19970428,000000,1.3688,1.3688,1.3688,1.3688,456602,0
APT,D,19970429,000000,1.2585,1.2585,1.2585,1.2585,1884421,0
APT,D,19970430,000000,1.3298,1.3298,1.3298,1.3298,799438,0
APT,D,19970505,000000,1.3169,1.3169,1.3169,1.3169,1554440,0
APT,D,19970506,000000,1.4015,1.4015,1.4015,1.4015,1892098,0
APT,D,19970507,000000,1.3949,1.3949,1.3949,1.3949,940608,0
APT,D,19970508,000000,1.4402,1.4402,1.4402,1.4402,836289,0
APT,D,19970509,000000,1.5179,1.5179,1.5179,1.5179,814163,0
APT,D,19970512,000000,1.557,1.557,1.557,1.557,1126292,0
APT,D,19970513,000000,1.5635,1.5635,1.5635,1.5635,765385,0
APT,D,19970514,000000,1.4662,1.4662,1.4662,1.4662,400059,0
APT,D,19970515,000000,1.5179,1.5179,1.5179,1.5179,368316,0
APT,D,19970516,000000,1.5053,1.5053,1.5053,1.5053,301050,0
APT,D,19970519,000000,1.5312,1.5312,1.5312,1.5312,246276,0
APT,D,19970520,000000,1.5312,1.5312,1.5312,1.5312,148476,0
APT,D,19970521,000000,1.4857,1.4857,1.4857,1.4857,432290,0
APT,D,19970522,000000,1.4662,1.4662,1.4662,1.4662,478124,0
APT,D,19970523,000000,1.3169,1.3169,1.3169,1.3169,408894,0
APT,D,19970526,000000,1.3298,1.3298,1.3298,1.3298,351716,0
APT,D,19970527,000000,1.2976,1.2976,1.2976,1.2976,424596,0
APT,D,19970528,000000,1.2976,1.2976,1.2976,1.2976,339636,0
APT,D,19970530,000000,1.3622,1.3622,1.3622,1.3622,253434,0
APT,D,19970602,000000,1.3169,1.3169,1.3169,1.3169,135301,0
APT,D,19970603,000000,1.3429,1.3429,1.3429,1.3429,283126,0
APT,D,19970604,000000,1.3169,1.3169,1.3169,1.3169,394873,0
APT,D,19970605,000000,1.3039,1.3039,1.3039,1.3039,252958,0
APT,D,19970606,000000,1.3298,1.3298,1.3298,1.3298,110704,0
APT,D,19970609,000000,1.3559,1.3559,1.3559,1.3559,144408,0
APT,D,19970610,000000,1.3235,1.3235,1.3235,1.3235,321195,0
APT,D,19970611,000000,1.3039,1.3039,1.3039,1.3039,153038,0
APT,D,19970612,000000,1.4142,1.4142,1.4142,1.4142,459753,0
APT,D,19970613,000000,1.4467,1.4467,1.4467,1.4467,488042,0
APT,D,19970616,000000,1.4207,1.4207,1.4207,1.4207,167572,0
APT,D,19970617,000000,1.4015,1.4015,1.4015,1.4015,150086,0
APT,D,19970618,000000,1.4015,1.4015,1.4015,1.4015,568796,0
APT,D,19970619,000000,1.4207,1.4207,1.4207,1.4207,969346,0
APT,D,19970620,000000,1.4662,1.4662,1.4662,1.4662,445412,0
APT,D,19970623,000000,1.4207,1.4207,1.4207,1.4207,281235,0
APT,D,19970624,000000,1.4207,1.4207,1.4207,1.4207,538929,0
APT,D,19970625,000000,1.4857,1.4857,1.4857,1.4857,535326,0
APT,D,19970626,000000,1.4662,1.4662,1.4662,1.4662,1125635,0
APT,D,19970627,000000,1.4857,1.4857,1.4857,1.4857,446858,0
APT,D,19970630,000000,1.4857,1.4857,1.4857,1.4857,314650,0
APT,D,19970701,000000,1.4596,1.4596,1.4596,1.4596,222740,0
APT,D,19970702,000000,1.4596,1.4596,1.4596,1.4596,171743,0
APT,D,19970703,000000,1.4727,1.4727,1.4727,1.4727,236110,0
APT,D,19970704,000000,1.5312,1.5312,1.5312,1.5312,343400,0
APT,D,19970707,000000,1.5312,1.5312,1.5312,1.5312,267847,0
