<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATD,D,20120528,000000,1.6368,1.6368,1.2786,1.3404,157248,0
ATD,D,20120529,000000,1.3404,1.3898,1.0872,1.2354,27134,0
ATD,D,20120530,000000,1.1735,1.1983,1.1428,1.1983,174752,0
ATD,D,20120531,000000,1.1514,1.1708,0.9896,1.0802,443323,0
ATD,D,20120601,000000,1.1057,1.1057,1.0563,1.0563,79661,0
ATD,D,20120604,000000,1.0439,1.0439,0.9513,1.0252,303351,0
ATD,D,20120605,000000,0.9896,1.0479,0.925,0.9379,95732,0
ATD,D,20120606,000000,0.9185,0.9896,0.9185,0.9574,44336,0
ATD,D,20120608,000000,0.9327,0.9327,0.8648,0.8648,39340,0
ATD,D,20120611,000000,0.8708,0.8708,0.834,0.8648,517137,0
ATD,D,20120612,000000,0.8648,0.8771,0.834,0.8648,564692,0
ATD,D,20120613,000000,0.8771,0.8771,0.8401,0.8585,84673,0
ATD,D,20120614,000000,0.8648,0.8648,0.8401,0.8401,175338,0
ATD,D,20120615,000000,0.8668,0.8797,0.8474,0.8797,152876,0
ATD,D,20120618,000000,0.8957,0.914,0.8833,0.8895,360137,0
ATD,D,20120619,000000,0.9079,0.9079,0.9018,0.9018,38371,0
ATD,D,20120620,000000,0.9265,0.9574,0.9265,0.9265,16647,0
ATD,D,20120621,000000,0.9574,0.982,0.9574,0.9697,208918,0
ATD,D,20120622,000000,0.9896,0.9896,0.925,0.9832,517089,0
ATD,D,20120625,000000,1.0129,1.0129,0.9327,0.9327,150743,0
ATD,D,20120626,000000,0.9203,1.0006,0.9203,0.9265,76959,0
ATD,D,20120627,000000,0.9121,0.925,0.8927,0.8927,302105,0
ATD,D,20120628,000000,0.925,0.9508,0.8927,0.9508,15387,0
ATD,D,20120629,000000,0.9767,0.9767,0.9767,0.9767,59126,0
ATD,D,20120703,000000,0.9185,0.9832,0.9185,0.925,3643,0
ATD,D,20120704,000000,0.925,0.9574,0.925,0.9574,114335,0
ATD,D,20120705,000000,0.9313,0.9896,0.9121,0.9703,565625,0
ATD,D,20120706,000000,0.9638,0.9703,0.9574,0.9574,35314,0
ATD,D,20120709,000000,0.9703,0.9703,0.9638,0.9703,4458,0
ATD,D,20120710,000000,0.9638,0.9638,0.9055,0.9055,3217,0
ATD,D,20120711,000000,0.9121,0.9379,0.9055,0.9313,10663,0
ATD,D,20120712,000000,0.9313,0.9313,0.9121,0.9121,1858,0
ATD,D,20120713,000000,0.9121,0.9121,0.9121,0.9121,3399,0
ATD,D,20120716,000000,0.9121,0.9121,0.9121,0.9121,1390,0
ATD,D,20120717,000000,0.9121,0.9121,0.8668,0.8668,487781,0
ATD,D,20120718,000000,0.8797,0.8797,0.8797,0.8797,2474,0
ATD,D,20120719,000000,0.8539,0.8539,0.8539,0.8539,1,0
ATD,D,20120720,000000,0.8732,0.8732,0.8603,0.8603,40254,0
ATD,D,20120723,000000,0.8539,0.8539,0.8539,0.8539,8921,0
ATD,D,20120724,000000,0.8409,0.8862,0.8409,0.8862,224797,0
ATD,D,20120725,000000,0.8539,0.8732,0.8539,0.8732,309182,0
ATD,D,20120726,000000,0.8927,0.8927,0.8409,0.8732,12941,0
ATD,D,20120727,000000,0.8797,0.8927,0.8797,0.8927,9584,0
ATD,D,20120730,000000,0.8927,0.8927,0.8927,0.8927,25245,0
ATD,D,20120731,000000,0.8732,0.9055,0.8732,0.9055,14152,0
ATD,D,20120801,000000,0.8797,0.9185,0.8797,0.9185,300922,0
ATD,D,20120802,000000,0.925,1.0091,0.925,1.0091,121143,0
ATD,D,20120803,000000,1.0284,1.0284,1.0027,1.0155,1856,0
ATD,D,20120808,000000,0.9961,0.9961,0.9379,0.9703,36611,0
ATD,D,20120809,000000,1.0091,1.0091,0.9703,0.9703,169,0
ATD,D,20120810,000000,0.9638,0.9638,0.9638,0.9638,1,0
ATD,D,20120813,000000,0.8991,0.8991,0.8991,0.8991,342,0
ATD,D,20120814,000000,0.8927,0.9638,0.8927,0.9638,618,0
ATD,D,20120816,000000,0.8927,0.9574,0.8927,0.9574,8793,0
ATD,D,20120817,000000,0.9055,0.9508,0.9055,0.9508,698,0
ATD,D,20120820,000000,0.8927,0.8927,0.8603,0.8603,8966,0
ATD,D,20120821,000000,0.8603,0.9379,0.8603,0.9379,109,0
ATD,D,20120822,000000,0.925,0.925,0.9185,0.9185,18,0
ATD,D,20120823,000000,0.9313,0.9313,0.9313,0.9313,78,0
ATD,D,20120824,000000,0.9313,0.9313,0.9055,0.9313,7913,0
ATD,D,20120827,000000,0.9313,0.9379,0.9313,0.9379,156,0
ATD,D,20120828,000000,0.8732,0.9379,0.8732,0.9379,808,0
ATD,D,20120829,000000,0.8732,0.9379,0.8732,0.9313,5331,0
ATD,D,20120831,000000,0.9055,0.9055,0.9055,0.9055,78,0
ATD,D,20120903,000000,0.8732,0.8991,0.8732,0.8991,12444,0
ATD,D,20120904,000000,0.8732,0.8732,0.8474,0.8732,33316,0
ATD,D,20120905,000000,0.8474,0.8732,0.8474,0.8732,21409,0
ATD,D,20120907,000000,0.8409,0.8732,0.8085,0.8668,18706,0
ATD,D,20120910,000000,0.8991,0.9055,0.8991,0.9055,1546,0
ATD,D,20120911,000000,0.8085,0.8927,0.8085,0.8603,26897,0
ATD,D,20120912,000000,0.815,0.8409,0.8085,0.8409,11819,0
ATD,D,20120913,000000,0.8409,0.8409,0.7826,0.8409,26745,0
ATD,D,20120914,000000,0.8279,0.8732,0.8279,0.8732,35648,0
ATD,D,20120917,000000,0.7891,0.8732,0.7891,0.8603,39755,0
ATD,D,20120918,000000,0.8021,0.8409,0.7891,0.8409,4544,0
ATD,D,20120919,000000,0.8085,0.8409,0.8085,0.8409,8643,0
ATD,D,20120920,000000,0.8215,0.8344,0.8215,0.8344,3401,0
ATD,D,20120921,000000,0.8215,0.8603,0.8215,0.8603,686,0
ATD,D,20120924,000000,0.8409,0.8409,0.8085,0.8085,15573,0
ATD,D,20120925,000000,0.8085,0.8344,0.8085,0.8344,9177,0
ATD,D,20120927,000000,0.8085,0.8344,0.8085,0.8279,4261,0
ATD,D,20120928,000000,0.8085,0.8279,0.7891,0.8279,10844,0
ATD,D,20121001,000000,0.7762,0.8085,0.7762,0.8021,71660,0
ATD,D,20121002,000000,0.8021,0.8021,0.7439,0.7568,108904,0
ATD,D,20121003,000000,0.7439,0.7503,0.7309,0.7439,41798,0
ATD,D,20121004,000000,0.7633,0.7633,0.7633,0.7633,772,0
ATD,D,20121005,000000,0.7503,0.7568,0.7375,0.7503,126764,0
ATD,D,20121008,000000,0.7439,0.7503,0.7439,0.7503,51349,0
ATD,D,20121009,000000,0.7503,0.7503,0.7375,0.7503,181704,0
ATD,D,20121011,000000,0.7439,0.7503,0.7439,0.7503,108368,0
ATD,D,20121012,000000,0.7439,0.7568,0.7375,0.7503,80418,0
ATD,D,20121015,000000,0.7439,0.7568,0.7439,0.7568,17955,0
ATD,D,20121016,000000,0.7568,0.7698,0.7568,0.7568,66393,0
ATD,D,20121017,000000,0.7698,0.7698,0.7698,0.7698,3478,0
ATD,D,20121018,000000,0.7698,0.7762,0.7698,0.7698,169101,0
ATD,D,20121019,000000,0.7568,0.7762,0.7503,0.7698,36148,0
ATD,D,20121022,000000,0.7503,0.7698,0.7503,0.7698,4937,0
ATD,D,20121023,000000,0.7503,0.7503,0.7503,0.7503,3270,0
ATD,D,20121024,000000,0.7503,0.7503,0.7375,0.7375,8946,0
ATD,D,20121025,000000,0.7375,0.7503,0.7375,0.7503,5190,0
ATD,D,20121026,000000,0.7568,0.7568,0.7503,0.7568,2235,0
ATD,D,20121029,000000,0.7568,0.7633,0.6921,0.7503,33995,0
ATD,D,20121105,000000,0.6921,0.7051,0.6921,0.6985,3791,0
ATD,D,20121106,000000,0.6985,0.7309,0.6985,0.7309,545,0
ATD,D,20121107,000000,0.7309,0.7375,0.7309,0.7375,2641,0
ATD,D,20121109,000000,0.6921,0.7375,0.6921,0.7309,1821,0
ATD,D,20121112,000000,0.6921,0.7244,0.6921,0.6921,2676,0
ATD,D,20121113,000000,0.7244,0.7309,0.7244,0.7309,2480,0
ATD,D,20121114,000000,0.7115,0.7115,0.6921,0.7115,8254,0
ATD,D,20121115,000000,0.6921,0.7051,0.6728,0.7051,52966,0
ATD,D,20121119,000000,0.6856,0.6985,0.6856,0.6985,1560,0
ATD,D,20121120,000000,0.6856,0.6985,0.6791,0.6985,23961,0
ATD,D,20121121,000000,0.6856,0.6985,0.6856,0.6985,12769,0
ATD,D,20121122,000000,0.6985,0.7115,0.6921,0.7115,15254,0
ATD,D,20121123,000000,0.7115,0.7503,0.6728,0.7503,29643,0
ATD,D,20121127,000000,0.7115,0.7375,0.7115,0.7115,3091,0
ATD,D,20121128,000000,0.7439,0.7439,0.7115,0.7439,3103,0
ATD,D,20121129,000000,0.7439,0.7568,0.7439,0.7568,10822,0
ATD,D,20121130,000000,0.7568,0.7633,0.7503,0.7633,77145,0
ATD,D,20121203,000000,0.7762,0.8085,0.7633,0.8085,5897,0
ATD,D,20121204,000000,0.7309,0.7762,0.7309,0.7762,4901,0
ATD,D,20121207,000000,0.7115,0.7439,0.7115,0.7439,17005,0
ATD,D,20121210,000000,0.718,0.7439,0.718,0.7439,3224,0
ATD,D,20121211,000000,0.718,0.7439,0.7115,0.7439,1625,0
ATD,D,20121213,000000,0.7115,0.7309,0.7115,0.7309,30186,0
ATD,D,20121214,000000,0.7051,0.7309,0.7051,0.7309,41506,0
ATD,D,20121217,000000,0.6985,0.7439,0.6985,0.7439,30600,0
ATD,D,20121218,000000,0.7115,0.7633,0.7115,0.7633,8845,0
ATD,D,20121219,000000,0.7439,0.7956,0.718,0.718,38854,0
ATD,D,20121220,000000,0.718,0.7568,0.718,0.7309,39092,0
ATD,D,20121221,000000,0.7762,0.7762,0.7439,0.7762,6654,0
ATD,D,20121227,000000,0.7698,0.7956,0.7698,0.7956,25226,0
ATD,D,20121228,000000,0.7439,0.7956,0.7439,0.7956,479,0
ATD,D,20130102,000000,0.7762,0.8085,0.7762,0.8085,40262,0
ATD,D,20130103,000000,0.8085,0.8215,0.8085,0.8215,13295,0
ATD,D,20130104,000000,0.8215,0.8215,0.7762,0.8085,50392,0
ATD,D,20130107,000000,0.8085,0.8732,0.8085,0.8668,62486,0
ATD,D,20130108,000000,0.8539,0.8732,0.8344,0.8732,55433,0
ATD,D,20130109,000000,0.8732,0.8991,0.8732,0.8991,23261,0
ATD,D,20130110,000000,0.8991,0.9313,0.8927,0.9313,29725,0
ATD,D,20130111,000000,0.9313,0.9638,0.8862,0.9638,67109,0
ATD,D,20130114,000000,0.9638,1.0542,0.9638,1.0542,70905,0
ATD,D,20130115,000000,1.0542,1.0542,0.9896,1.0479,16054,0
ATD,D,20130116,000000,0.9961,1.0479,0.9896,1.0414,12189,0
ATD,D,20130117,000000,0.9961,1.0349,0.9703,1.0349,29083,0
ATD,D,20130118,000000,1.0349,1.0349,0.9444,1.0349,3555,0
ATD,D,20130121,000000,1.0349,1.0349,0.9832,1.0349,19480,0
ATD,D,20130122,000000,1.0284,1.0349,0.9767,1.022,11393,0
ATD,D,20130123,000000,0.9832,1.0027,0.9574,1.0027,20716,0
ATD,D,20130124,000000,1.0027,1.0414,0.9767,0.9896,57354,0
