<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATG,D,20040109,000000,1.1835,1.2557,1.1778,1.2278,10527769,0
ATG,D,20040112,000000,1.2224,1.2224,1.1499,1.1835,830386,0
ATG,D,20040113,000000,1.1778,1.2056,1.1556,1.2,1323019,0
ATG,D,20040114,000000,1.1778,1.1835,1.1668,1.1668,121012,0
ATG,D,20040115,000000,1.1556,1.1722,1.1556,1.1722,173513,0
ATG,D,20040116,000000,1.1722,1.1722,1.1333,1.139,252826,0
ATG,D,20040119,000000,1.139,1.139,1.0943,1.0943,436656,0
ATG,D,20040120,000000,1.1001,1.1222,1.1001,1.1001,220361,0
ATG,D,20040121,000000,1.1001,1.1279,1.1001,1.1222,411846,0
ATG,D,20040122,000000,1.1111,1.1333,1.1111,1.1333,78677,0
ATG,D,20040123,000000,1.139,1.1946,1.1333,1.1556,270611,0
ATG,D,20040126,000000,1.1778,1.1778,1.1668,1.1722,79937,0
ATG,D,20040127,000000,1.1889,1.1946,1.1444,1.1444,528239,0
ATG,D,20040128,000000,1.1499,1.1499,1.1222,1.1279,58714,0
ATG,D,20040129,000000,1.1111,1.1222,1.1111,1.1166,207830,0
ATG,D,20040130,000000,1.1111,1.1279,1.1111,1.1279,214262,0
ATG,D,20040202,000000,1.1333,1.139,1.1279,1.139,116393,0
ATG,D,20040203,000000,1.139,1.1499,1.1279,1.1279,75389,0
ATG,D,20040204,000000,1.1279,1.1444,1.1222,1.1444,94173,0
ATG,D,20040205,000000,1.1556,1.1556,1.1111,1.1222,136949,0
ATG,D,20040206,000000,1.1111,1.1279,1.1111,1.1111,57641,0
ATG,D,20040209,000000,1.1499,1.1499,1.1279,1.1444,139501,0
ATG,D,20040210,000000,1.1444,1.1556,1.1444,1.1556,158062,0
ATG,D,20040211,000000,1.139,1.1556,1.139,1.1499,118017,0
ATG,D,20040212,000000,1.1556,1.1556,1.1444,1.1499,16673,0
ATG,D,20040213,000000,1.1499,1.1668,1.139,1.1444,108847,0
ATG,D,20040216,000000,1.1279,1.1444,1.1279,1.1444,8875,0
ATG,D,20040217,000000,1.1499,1.1778,1.1499,1.1778,114839,0
ATG,D,20040218,000000,1.1778,1.1946,1.1778,1.1946,195034,0
ATG,D,20040219,000000,1.1778,1.1889,1.1668,1.1778,138947,0
ATG,D,20040220,000000,1.1556,1.2056,1.1556,1.2056,129037,0
ATG,D,20040223,000000,1.1889,1.2224,1.1889,1.2056,87851,0
ATG,D,20040224,000000,1.2112,1.2224,1.1946,1.2167,370879,0
ATG,D,20040225,000000,1.2167,1.2667,1.2167,1.2667,179616,0
ATG,D,20040226,000000,1.2611,1.3778,1.2611,1.3612,565914,0
ATG,D,20040227,000000,1.3723,1.3723,1.3168,1.3723,388256,0
ATG,D,20040301,000000,1.3943,1.4056,1.3111,1.3889,482909,0
ATG,D,20040302,000000,1.3889,1.3889,1.3612,1.3833,414804,0
ATG,D,20040303,000000,1.3723,1.3778,1.3612,1.3612,95540,0
ATG,D,20040304,000000,1.3501,1.3501,1.3278,1.3389,182094,0
ATG,D,20040305,000000,1.3222,1.3389,1.3222,1.3335,259627,0
ATG,D,20040308,000000,1.3335,1.3445,1.2833,1.3445,411809,0
ATG,D,20040309,000000,1.3222,1.3335,1.3111,1.3111,27062,0
ATG,D,20040310,000000,1.2833,1.3111,1.2833,1.2999,163422,0
ATG,D,20040311,000000,1.2944,1.2944,1.2944,1.2944,133435,0
ATG,D,20040312,000000,1.2779,1.3111,1.2779,1.3111,33829,0
ATG,D,20040315,000000,1.3111,1.3111,1.2112,1.2611,80271,0
ATG,D,20040316,000000,1.2278,1.2889,1.2278,1.2833,15308,0
ATG,D,20040317,000000,1.2889,1.3111,1.2889,1.3111,62153,0
ATG,D,20040318,000000,1.3222,1.3222,1.2944,1.2944,13607,0
ATG,D,20040319,000000,1.2944,1.2944,1.2557,1.2722,50172,0
ATG,D,20040322,000000,1.2833,1.2889,1.2722,1.2722,51392,0
ATG,D,20040323,000000,1.2667,1.2722,1.2667,1.2722,110551,0
ATG,D,20040324,000000,1.2722,1.2722,1.239,1.2557,19817,0
ATG,D,20040325,000000,1.239,1.2833,1.239,1.2833,19965,0
ATG,D,20040326,000000,1.2944,1.2944,1.2444,1.2944,22699,0
ATG,D,20040329,000000,1.2944,1.2944,1.2557,1.2833,88294,0
ATG,D,20040330,000000,1.2557,1.2833,1.2557,1.2722,32574,0
ATG,D,20040331,000000,1.2722,1.2722,1.2444,1.2557,58566,0
ATG,D,20040401,000000,1.2557,1.2667,1.2557,1.2667,9355,0
ATG,D,20040402,000000,1.2722,1.2833,1.2722,1.2833,23109,0
ATG,D,20040405,000000,1.2611,1.2722,1.2557,1.2557,74354,0
ATG,D,20040406,000000,1.2611,1.2779,1.2611,1.2779,57161,0
ATG,D,20040407,000000,1.2557,1.2722,1.2557,1.2722,1629,0
ATG,D,20040408,000000,1.2779,1.2779,1.2557,1.2722,116502,0
ATG,D,20040413,000000,1.2944,1.2944,1.2557,1.2722,108406,0
ATG,D,20040414,000000,1.2833,1.2889,1.2833,1.2889,5952,0
ATG,D,20040415,000000,1.2889,1.2889,1.2557,1.2889,19636,0
ATG,D,20040416,000000,1.2833,1.2889,1.2722,1.2779,35790,0
ATG,D,20040419,000000,1.2833,1.2833,1.2557,1.2833,42851,0
ATG,D,20040420,000000,1.2833,1.2833,1.2557,1.2779,52355,0
ATG,D,20040421,000000,1.239,1.2722,1.239,1.2667,179653,0
ATG,D,20040422,000000,1.2501,1.2833,1.2501,1.2722,217698,0
ATG,D,20040423,000000,1.2833,1.3057,1.2833,1.2833,62779,0
ATG,D,20040426,000000,1.2889,1.3057,1.2667,1.3057,30317,0
ATG,D,20040427,000000,1.3057,1.3501,1.3057,1.3445,87480,0
ATG,D,20040428,000000,1.3501,1.3612,1.3335,1.3335,127080,0
ATG,D,20040429,000000,1.3111,1.3111,1.2444,1.2833,19077,0
ATG,D,20040430,000000,1.2833,1.2833,1.2444,1.2611,115984,0
ATG,D,20040504,000000,1.2444,1.2833,1.2444,1.2611,107966,0
