<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DEL,D,20090918,000000,8.2435,8.9427,7.9621,8.252,255485,0
DEL,D,20090921,000000,8.354,8.7231,8.1101,8.2205,61326,0
DEL,D,20090922,000000,8.1584,8.3072,7.9226,8.2366,48595,0
DEL,D,20090923,000000,8.2289,8.2289,8.0487,8.2205,23288,0
DEL,D,20090924,000000,8.0803,8.1269,7.9696,8.0718,9574,0
DEL,D,20090925,000000,8.0718,8.0718,7.7268,7.8443,23294,0
DEL,D,20090928,000000,7.8361,7.8361,7.6477,7.7268,8435,0
DEL,D,20090929,000000,7.4912,7.6948,7.4912,7.6876,10887,0
DEL,D,20090930,000000,7.5934,7.6717,7.4912,7.5304,11325,0
DEL,D,20091001,000000,7.6406,7.6477,7.5383,7.6477,3322,0
DEL,D,20091002,000000,7.6406,7.6406,7.3734,7.6406,4591,0
DEL,D,20091005,000000,7.5697,7.6085,7.4285,7.6085,512,0
DEL,D,20091006,000000,7.4598,7.5854,7.4521,7.5854,695,0
DEL,D,20091007,000000,7.6085,7.6085,7.4598,7.6085,6729,0
DEL,D,20091008,000000,7.6085,7.6085,7.4285,7.5148,3044,0
DEL,D,20091009,000000,7.5148,7.6325,7.4912,7.4991,11036,0
DEL,D,20091012,000000,7.5226,7.5618,7.3892,7.5304,6014,0
DEL,D,20091013,000000,7.3656,7.4991,7.3656,7.4128,11604,0
DEL,D,20091014,000000,7.4521,7.4521,7.3343,7.4128,4126,0
DEL,D,20091015,000000,7.4128,7.5069,7.4128,7.4128,2033,0
DEL,D,20091016,000000,7.4128,7.4442,7.2951,7.4442,5550,0
DEL,D,20091019,000000,7.2325,7.4049,7.2325,7.2638,5958,0
DEL,D,20091020,000000,7.3734,7.3734,7.1539,7.2558,8010,0
DEL,D,20091021,000000,7.2168,7.2558,7.0675,7.2558,4650,0
DEL,D,20091022,000000,7.0911,7.2481,7.0911,7.2481,2324,0
DEL,D,20091023,000000,7.2558,7.4049,7.2168,7.4049,4582,0
DEL,D,20091026,000000,7.2325,7.3971,7.2168,7.3892,2545,0
DEL,D,20091027,000000,7.3578,7.3892,7.1382,7.1382,130,0
DEL,D,20091028,000000,7.4049,7.4049,7.2168,7.3656,2662,0
DEL,D,20091029,000000,7.3656,7.3892,7.3578,7.3892,6204,0
DEL,D,20091030,000000,7.3734,7.4128,7.2558,7.2558,3841,0
DEL,D,20091102,000000,7.2246,7.4521,7.2246,7.4442,382,0
DEL,D,20091103,000000,7.4442,7.4442,7.2558,7.4049,3547,0
DEL,D,20091104,000000,7.4049,7.4049,7.3421,7.3734,1177,0
DEL,D,20091105,000000,7.4285,7.8361,7.3578,7.8279,10387,0
DEL,D,20091106,000000,7.8279,7.8279,7.6245,7.6876,3924,0
DEL,D,20091109,000000,7.7028,7.9852,7.7028,7.9621,7957,0
