<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GIF,D,20200724,000000,34.9,34.9,26,31.3,530983,0
GIF,D,20200727,000000,35,40,31.5,40,220342,0
GIF,D,20200728,000000,45,49.5,36.45,36.45,295546,0
GIF,D,20200729,000000,36.4,36.4,30,33.8,74482,0
GIF,D,20200730,000000,34.5,34.5,27,27.6,54361,0
GIF,D,20200804,000000,33,33.55,29.7,31,86802,0
GIF,D,20200805,000000,32.2,32.495,29.5,29.65,25757,0
GIF,D,20200806,000000,30.5,30.5,26.5,27.5,17696,0
GIF,D,20200807,000000,28.4,28.4,24.805,26.3,19132,0
GIF,D,20200810,000000,27.6,27.6,25.8,26,11636,0
GIF,D,20200811,000000,25.85,25.85,22,23.51,20000,0
GIF,D,20200812,000000,23.105,23.105,20.8,22.095,23316,0
GIF,D,20200813,000000,22.095,25.485,22.095,24.5,15921,0
GIF,D,20200814,000000,25.5,26.1,25,25.3,15690,0
GIF,D,20200817,000000,26.3,26.3,23.67,25,7760,0
GIF,D,20200818,000000,26.25,26.25,24.01,24.4,6231,0
GIF,D,20200819,000000,23.5,25.8,23.1,25,6121,0
GIF,D,20200820,000000,25.28,25.9,24.005,24.7,6764,0
GIF,D,20200821,000000,24.7,24.95,24.015,24.5,3433,0
