<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GIFA,D,20200724,000000,28,29,23.2,28.9,680524,0
GIFA,D,20200727,000000,30,37.5,27.52,37.4,341238,0
GIFA,D,20200728,000000,39,42.9,30,30,354563,0
GIFA,D,20200729,000000,30,30,24.84,26.9,107467,0
GIFA,D,20200730,000000,26,28.6,23.6,23.7,74565,0
GIFA,D,20200804,000000,27,27.8,25,25.8,68648,0
GIFA,D,20200805,000000,25.9,26.66,24.3,25.485,23429,0
GIFA,D,20200806,000000,25.455,25.455,23.005,23.96,16189,0
GIFA,D,20200807,000000,23.505,23.895,22,22.5,24732,0
GIFA,D,20200810,000000,22.75,23.35,20.475,21.945,23331,0
GIFA,D,20200811,000000,21.9,21.9,19.714,20,41958,0
GIFA,D,20200812,000000,19.98,20.46,18,19.77,37007,0
GIFA,D,20200813,000000,20.02,21.7,19.998,21.3,23313,0
GIFA,D,20200814,000000,21.5,22.995,21.48,22.35,11065,0
GIFA,D,20200817,000000,22.445,22.445,21.02,21.855,9002,0
GIFA,D,20200818,000000,21.07,22.485,21.07,21.355,5015,0
GIFA,D,20200819,000000,21.01,21.355,20.32,21.35,18035,0
GIFA,D,20200820,000000,21.3,22.44,21.3,21.945,5374,0
GIFA,D,20200821,000000,21.945,21.945,21.5,21.5,3219,0
