<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPW,D,20101109,000000,30.543,32.499,30.39,32.499,18423357,0
GPW,D,20101110,000000,32.499,32.499,31.294,31.294,2221208,0
GPW,D,20101112,000000,30.753,32.258,30.09,32.258,2733963,0
GPW,D,20101115,000000,32.137,32.378,31.294,31.655,629747,0
GPW,D,20101116,000000,31.474,31.596,30.813,30.813,584042,0
GPW,D,20101117,000000,30.783,31.294,30.513,30.513,700334,0
GPW,D,20101118,000000,30.994,31.355,30.722,30.722,427960,0
GPW,D,20101119,000000,30.994,31.054,30.662,30.813,600169,0
GPW,D,20101122,000000,30.813,30.994,30.722,30.842,571587,0
GPW,D,20101123,000000,30.813,30.813,30.181,30.181,492476,0
GPW,D,20101124,000000,30.39,30.693,30.181,30.693,582836,0
GPW,D,20101125,000000,30.783,30.842,30.272,30.632,135137,0
GPW,D,20101126,000000,30.632,30.632,30.036,30.452,656943,0
GPW,D,20101129,000000,30.211,30.242,29.935,30.001,264327,0
GPW,D,20101130,000000,29.79,30.39,29.79,30.39,163242,0
GPW,D,20101201,000000,30.39,31.416,30.211,31.355,361045,0
GPW,D,20101202,000000,31.355,31.506,31.114,31.325,382921,0
GPW,D,20101203,000000,31.294,31.355,30.994,31.114,95066,0
GPW,D,20101206,000000,31.084,31.114,30.632,30.753,84179,0
GPW,D,20101207,000000,30.513,30.693,30.332,30.543,135655,0
GPW,D,20101208,000000,30.422,30.753,30.332,30.753,529677,0
GPW,D,20101209,000000,30.693,30.813,30.452,30.693,216742,0
GPW,D,20101210,000000,30.693,30.753,30.513,30.603,82166,0
GPW,D,20101213,000000,30.632,30.994,30.632,30.994,128150,0
GPW,D,20101214,000000,30.753,30.933,30.452,30.452,112139,0
GPW,D,20101215,000000,30.422,30.513,30.361,30.481,164496,0
GPW,D,20101216,000000,30.452,30.481,30.242,30.452,115627,0
GPW,D,20101217,000000,30.332,30.39,30.211,30.242,89047,0
GPW,D,20101220,000000,30.242,30.39,30.031,30.39,297773,0
GPW,D,20101221,000000,30.181,30.242,30.09,30.211,149138,0
GPW,D,20101222,000000,30.09,30.272,30.083,30.152,538995,0
GPW,D,20101223,000000,30.09,30.152,30.036,30.036,185060,0
GPW,D,20101227,000000,30.047,30.083,29.676,29.701,184741,0
GPW,D,20101228,000000,29.668,29.79,29.369,29.61,394833,0
GPW,D,20101229,000000,29.489,30.08,29.489,30.08,181703,0
GPW,D,20101230,000000,30.09,30.09,29.849,29.881,84741,0
GPW,D,20101231,000000,29.883,29.999,29.305,29.492,137673,0
GPW,D,20110103,000000,29.548,29.73,29.381,29.668,187156,0
GPW,D,20110104,000000,29.668,30.12,29.668,29.958,220324,0
GPW,D,20110105,000000,29.935,29.958,29.386,29.79,189599,0
GPW,D,20110107,000000,29.61,29.639,29.236,29.261,330095,0
GPW,D,20110110,000000,29.188,29.205,28.056,28.376,250376,0
GPW,D,20110111,000000,28.255,28.846,28.255,28.766,255429,0
GPW,D,20110112,000000,28.888,29.603,28.857,29.603,263486,0
GPW,D,20110113,000000,29.489,29.548,29.188,29.188,604470,0
GPW,D,20110114,000000,29.188,29.61,29.068,29.61,166518,0
GPW,D,20110117,000000,29.489,29.489,28.888,29.109,110347,0
GPW,D,20110118,000000,29.068,29.278,28.827,29.241,134820,0
GPW,D,20110119,000000,29.109,29.127,28.888,29.068,220273,0
GPW,D,20110120,000000,28.888,29.037,28.827,28.888,175178,0
GPW,D,20110121,000000,28.888,29.127,28.888,29.127,83826,0
GPW,D,20110124,000000,28.917,29.037,28.623,28.851,199772,0
GPW,D,20110125,000000,28.766,28.978,28.737,28.978,172800,0
GPW,D,20110126,000000,28.947,29.361,28.851,29.188,149307,0
GPW,D,20110127,000000,29.199,29.489,29.188,29.369,98169,0
GPW,D,20110128,000000,29.369,29.688,29.188,29.369,111038,0
GPW,D,20110131,000000,29.134,29.14,28.891,28.993,124985,0
GPW,D,20110201,000000,28.893,29.037,28.893,29.001,128849,0
GPW,D,20110202,000000,29.007,29.055,28.935,29.055,133568,0
GPW,D,20110203,000000,29.015,29.469,29.007,29.469,117242,0
GPW,D,20110204,000000,29.489,29.631,29.218,29.631,167345,0
GPW,D,20110207,000000,29.489,29.537,29.007,29.188,314722,0
GPW,D,20110208,000000,29.127,29.17,29.007,29.055,155630,0
GPW,D,20110209,000000,29.007,29.098,28.888,28.888,195409,0
GPW,D,20110210,000000,29.007,29.007,28.888,28.947,125104,0
GPW,D,20110211,000000,28.888,29.369,28.888,29.225,132954,0
GPW,D,20110214,000000,29.007,29.339,28.947,29.249,110098,0
GPW,D,20110215,000000,29.159,29.333,28.978,28.978,128183,0
GPW,D,20110216,000000,28.947,29.307,28.929,29.249,240101,0
GPW,D,20110217,000000,29.188,29.218,29.007,29.037,71401,0
GPW,D,20110218,000000,28.978,29.068,28.888,28.917,205958,0
GPW,D,20110221,000000,28.888,28.899,28.737,28.766,133483,0
GPW,D,20110222,000000,28.647,28.707,28.623,28.676,92173,0
GPW,D,20110223,000000,28.617,28.647,28.585,28.599,81960,0
GPW,D,20110224,000000,28.339,28.459,28.286,28.328,115199,0
GPW,D,20110225,000000,28.304,28.465,28.304,28.454,43035,0
GPW,D,20110228,000000,28.357,28.436,28.188,28.436,123703,0
GPW,D,20110301,000000,28.376,28.465,28.286,28.465,139779,0
GPW,D,20110302,000000,28.321,28.412,28.195,28.286,219167,0
GPW,D,20110303,000000,28.291,28.405,28.195,28.346,248620,0
GPW,D,20110304,000000,28.351,28.465,28.297,28.405,174821,0
GPW,D,20110307,000000,28.369,28.419,28.315,28.351,297923,0
GPW,D,20110308,000000,28.309,28.346,28.224,28.243,111295,0
GPW,D,20110309,000000,28.243,28.243,27.502,27.725,228332,0
GPW,D,20110310,000000,27.683,27.683,27.262,27.262,327446,0
GPW,D,20110311,000000,27.148,27.202,26.75,26.75,262299,0
GPW,D,20110314,000000,26.6,27.376,26.419,27.376,175984,0
GPW,D,20110315,000000,26.992,27.58,26.841,27.245,481191,0
GPW,D,20110316,000000,27.245,27.677,27.232,27.647,76454,0
GPW,D,20110317,000000,27.502,27.785,27.502,27.767,76388,0
GPW,D,20110318,000000,27.713,28.532,27.713,28.532,169098,0
GPW,D,20110321,000000,28.105,28.737,28.051,28.617,123589,0
GPW,D,20110322,000000,28.556,28.827,28.539,28.766,83649,0
GPW,D,20110323,000000,28.737,28.827,28.585,28.707,49517,0
GPW,D,20110324,000000,28.762,29.596,28.707,29.573,195056,0
GPW,D,20110325,000000,29.489,29.754,29.188,29.398,80501,0
GPW,D,20110328,000000,29.369,29.369,28.947,29.218,157120,0
GPW,D,20110329,000000,29.188,29.307,29.032,29.194,102691,0
GPW,D,20110330,000000,29.159,29.459,29.134,29.429,67703,0
GPW,D,20110331,000000,29.428,29.671,29.345,29.345,81260,0
GPW,D,20110401,000000,29.278,29.568,29.278,29.489,53787,0
GPW,D,20110404,000000,29.307,29.579,29.188,29.369,196102,0
GPW,D,20110405,000000,29.398,29.596,29.398,29.417,33772,0
GPW,D,20110406,000000,29.381,29.519,29.369,29.489,50558,0
GPW,D,20110407,000000,29.489,29.579,29.375,29.398,63515,0
GPW,D,20110408,000000,29.375,29.429,28.972,29.068,78812,0
GPW,D,20110411,000000,28.888,29.061,28.888,29.037,144335,0
GPW,D,20110412,000000,29.489,29.668,29.411,29.668,363326,0
GPW,D,20110413,000000,29.639,30.211,29.519,30.211,468471,0
GPW,D,20110414,000000,30.12,30.964,30.12,30.662,370213,0
GPW,D,20110415,000000,30.693,31.474,30.662,31.416,1177382,0
GPW,D,20110418,000000,31.416,31.416,29.971,30.152,363991,0
GPW,D,20110419,000000,30.001,31.114,30.001,30.693,150079,0
GPW,D,20110420,000000,30.722,31.114,30.662,30.693,258561,0
GPW,D,20110421,000000,30.693,30.693,30.181,30.332,74194,0
GPW,D,20110426,000000,30.181,30.332,30.09,30.152,82146,0
GPW,D,20110427,000000,30.12,30.152,29.79,29.849,116969,0
GPW,D,20110428,000000,29.79,30.211,29.79,30.09,156333,0
GPW,D,20110429,000000,30.088,30.332,30.062,30.243,57426,0
GPW,D,20110502,000000,30.09,30.39,30.061,30.301,26773,0
GPW,D,20110504,000000,30.332,30.39,30.12,30.211,168418,0
GPW,D,20110505,000000,30.12,30.181,30.001,30.181,55687,0
GPW,D,20110506,000000,30.001,30.211,29.91,30.211,62626,0
GPW,D,20110509,000000,29.868,30.422,29.857,30.422,89345,0
GPW,D,20110510,000000,30.361,30.693,30.361,30.572,235876,0
GPW,D,20110511,000000,30.452,30.513,30.332,30.361,158159,0
GPW,D,20110512,000000,30.361,31.294,30.272,31.294,431486,0
GPW,D,20110513,000000,31.174,31.655,31.084,31.294,368775,0
GPW,D,20110516,000000,31.234,32.016,31.234,31.836,532775,0
GPW,D,20110517,000000,31.776,31.805,31.685,31.685,256989,0
GPW,D,20110518,000000,31.294,31.717,31.234,31.717,299999,0
GPW,D,20110519,000000,31.717,31.896,31.625,31.896,286932,0
GPW,D,20110520,000000,31.717,31.867,31.564,31.655,148652,0
GPW,D,20110523,000000,31.655,31.745,31.355,31.564,283013,0
GPW,D,20110524,000000,31.445,31.745,31.294,31.564,300379,0
GPW,D,20110525,000000,31.474,31.535,31.023,31.023,54031,0
GPW,D,20110526,000000,31.114,31.294,31.054,31.294,99557,0
GPW,D,20110527,000000,31.174,31.596,31.174,31.596,83535,0
GPW,D,20110530,000000,31.474,31.625,31.294,31.596,57703,0
GPW,D,20110531,000000,31.625,32.618,31.536,32.618,604583,0
GPW,D,20110601,000000,32.076,32.499,31.957,32.378,123579,0
GPW,D,20110602,000000,31.896,32.167,31.805,31.836,86878,0
GPW,D,20110603,000000,31.836,31.836,31.685,31.805,125161,0
GPW,D,20110606,000000,31.685,31.776,31.596,31.655,18543,0
GPW,D,20110607,000000,31.594,31.836,31.415,31.683,150438,0
GPW,D,20110608,000000,31.658,31.78,31.504,31.625,29002,0
GPW,D,20110609,000000,31.658,32.497,31.446,32.106,196596,0
GPW,D,20110610,000000,31.896,31.957,31.776,31.776,62185,0
GPW,D,20110613,000000,31.685,31.685,31.474,31.564,18658,0
GPW,D,20110614,000000,31.506,31.717,31.474,31.596,32016,0
GPW,D,20110615,000000,31.564,31.655,31.474,31.535,47111,0
GPW,D,20110616,000000,31.478,31.658,31.293,31.478,78231,0
GPW,D,20110617,000000,31.293,31.446,31.203,31.203,82921,0
GPW,D,20110620,000000,31.054,31.145,30.753,30.933,54310,0
GPW,D,20110621,000000,30.875,30.933,30.39,30.632,76765,0
GPW,D,20110622,000000,30.693,30.875,30.513,30.813,520453,0
GPW,D,20110624,000000,30.632,30.877,30.632,30.811,44529,0
GPW,D,20110627,000000,30.811,30.877,30.51,30.51,63700,0
GPW,D,20110628,000000,30.689,31.293,30.689,31.08,52585,0
GPW,D,20110629,000000,31.08,31.293,30.842,31.08,82870,0
GPW,D,20110630,000000,31.176,31.293,31.08,31.293,57435,0
GPW,D,20110701,000000,31.293,31.293,31.176,31.293,23220,0
GPW,D,20110704,000000,31.293,31.504,31.293,31.504,33090,0
GPW,D,20110705,000000,31.504,31.594,31.504,31.567,37960,0
GPW,D,20110706,000000,31.567,31.594,30.689,31.176,131775,0
GPW,D,20110707,000000,31.176,32.049,31.176,31.926,303571,0
GPW,D,20110708,000000,32.637,32.668,32.348,32.668,152310,0
GPW,D,20110711,000000,32.733,32.893,32.478,32.733,106250,0
GPW,D,20110712,000000,32.414,32.414,31.517,31.836,143413,0
GPW,D,20110713,000000,31.836,32.541,31.772,32.317,53966,0
GPW,D,20110714,000000,32.158,32.22,31.997,32.029,27775,0
GPW,D,20110715,000000,32.029,32.092,31.908,31.964,254840,0
GPW,D,20110718,000000,31.708,31.708,30.811,31.068,153464,0
GPW,D,20110719,000000,31.068,31.369,31.036,31.068,78545,0
GPW,D,20110720,000000,31.131,31.189,31.068,31.068,27701,0
GPW,D,20110721,000000,31.068,31.375,31.068,31.375,100479,0
GPW,D,20110722,000000,31.446,31.901,31.387,31.861,50293,0
GPW,D,20110725,000000,31.873,31.901,31.483,31.672,31870,0
GPW,D,20110726,000000,31.708,31.843,31.645,31.741,71604,0
GPW,D,20110727,000000,31.708,31.741,31.094,31.196,20857,0
GPW,D,20110728,000000,31.131,32.029,30.792,31.672,86244,0
GPW,D,20110729,000000,31.068,31.675,31.068,31.259,69347,0
GPW,D,20110801,000000,31.259,31.625,31.196,31.387,32455,0
GPW,D,20110802,000000,31.387,31.387,31.08,31.196,13848,0
GPW,D,20110803,000000,30.747,30.877,30.426,30.432,175648,0
GPW,D,20110804,000000,30.133,30.395,29.466,29.466,235293,0
GPW,D,20110805,000000,28.249,28.954,27.064,28.659,470083,0
GPW,D,20110808,000000,27.864,28.505,27.545,27.577,316898,0
GPW,D,20110809,000000,26.975,27.224,25.303,26.007,372368,0
GPW,D,20110810,000000,26.833,27.545,24.918,26.264,307897,0
GPW,D,20110811,000000,26.2,27.864,25.623,27.705,227344,0
GPW,D,20110812,000000,28.659,29.241,28.186,28.954,245331,0
GPW,D,20110816,000000,29.627,29.818,29.537,29.716,354698,0
GPW,D,20110817,000000,29.748,29.78,29.594,29.659,238424,0
GPW,D,20110818,000000,29.787,29.787,27.32,27.352,292921,0
GPW,D,20110819,000000,27.257,27.257,25.943,27.083,79391,0
GPW,D,20110822,000000,27.096,27.519,27.064,27.385,41825,0
GPW,D,20110823,000000,27.423,27.833,27.391,27.735,96175,0
GPW,D,20110824,000000,27.807,28.051,27.551,27.674,66754,0
GPW,D,20110825,000000,27.769,27.916,26.904,27.224,61913,0
GPW,D,20110826,000000,27.289,27.537,26.713,26.904,73532,0
GPW,D,20110829,000000,26.969,27.352,26.917,27.333,22094,0
GPW,D,20110830,000000,27.416,28.505,27.416,28.178,323180,0
GPW,D,20110831,000000,28.232,30.426,28.232,30.364,291509,0
GPW,D,20110901,000000,30.106,30.234,29.088,29.408,282807,0
GPW,D,20110902,000000,29.21,29.395,28.32,28.441,31687,0
GPW,D,20110905,000000,28.121,28.121,27.674,27.674,43093,0
GPW,D,20110906,000000,27.674,27.864,27.545,27.705,45844,0
GPW,D,20110907,000000,27.84,27.992,27.763,27.93,54414,0
GPW,D,20110908,000000,27.93,27.93,27.166,27.352,47733,0
GPW,D,20110909,000000,27.449,27.474,26.455,26.584,287698,0
GPW,D,20110912,000000,26.494,26.494,26.014,26.136,327626,0
GPW,D,20110913,000000,26.264,26.833,26.264,26.327,63100,0
GPW,D,20110914,000000,26.393,26.687,26.238,26.584,89444,0
GPW,D,20110915,000000,26.687,27.609,26.468,27.23,54653,0
GPW,D,20110916,000000,27.32,27.545,27.289,27.525,48206,0
GPW,D,20110919,000000,27.352,27.352,26.941,27.224,64123,0
GPW,D,20110920,000000,26.904,28.602,26.904,27.705,78215,0
GPW,D,20110921,000000,27.864,28.186,27.769,28.186,27289,0
GPW,D,20110922,000000,27.237,27.674,27.224,27.545,121630,0
GPW,D,20110923,000000,27.289,27.93,26.68,27.224,179501,0
GPW,D,20110926,000000,26.969,27.705,26.904,27.339,53299,0
GPW,D,20110927,000000,27.654,27.916,27.616,27.813,207387,0
GPW,D,20110928,000000,28.069,28.147,27.449,27.449,110365,0
GPW,D,20110929,000000,27.449,27.545,27.166,27.359,38439,0
GPW,D,20110930,000000,27.224,27.385,27.032,27.224,267983,0
GPW,D,20111003,000000,27.108,27.224,26.789,27.224,78117,0
GPW,D,20111004,000000,27.224,27.224,26.393,26.52,128315,0
GPW,D,20111005,000000,26.653,27.09,26.649,26.969,130775,0
GPW,D,20111006,000000,26.941,28.505,26.941,28.505,180723,0
GPW,D,20111007,000000,27.802,28.186,27.674,27.674,43586,0
GPW,D,20111010,000000,28.186,28.377,27.735,28.28,28436,0
GPW,D,20111011,000000,28.314,28.346,28.191,28.218,35117,0
GPW,D,20111012,000000,28.121,28.121,27.756,27.864,197016,0
GPW,D,20111013,000000,27.992,27.992,27.416,27.423,73589,0
GPW,D,20111014,000000,27.423,27.674,27.224,27.545,438571,0
GPW,D,20111017,000000,27.545,28.02,27.545,28.02,97973,0
GPW,D,20111018,000000,27.864,28.339,27.802,28.211,56841,0
GPW,D,20111019,000000,28.186,28.891,28.186,28.884,115356,0
GPW,D,20111020,000000,28.538,28.665,28.512,28.569,305427,0
GPW,D,20111021,000000,28.525,29.017,28.525,29.017,310338,0
GPW,D,20111024,000000,28.729,29.453,28.706,29.453,115494,0
GPW,D,20111025,000000,29.404,29.461,28.569,28.762,39514,0
GPW,D,20111026,000000,28.505,28.814,28.198,28.377,39203,0
GPW,D,20111027,000000,28.961,29.274,28.706,29.146,45587,0
GPW,D,20111028,000000,29.146,29.382,29.017,29.332,55659,0
GPW,D,20111031,000000,29.319,29.404,28.762,28.762,277685,0
GPW,D,20111102,000000,27.32,28.186,27.315,27.864,139793,0
GPW,D,20111103,000000,27.749,28.3,27.674,28.038,74555,0
GPW,D,20111104,000000,28.28,28.569,28.069,28.186,129861,0
