<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HDR,D,19980317,000000,11.633,11.633,11.633,11.633,67931,0
HDR,D,19980318,000000,10.481,10.481,10.481,10.481,115169,0
HDR,D,19980319,000000,10.131,10.131,10.131,10.131,75305,0
HDR,D,19980320,000000,10.481,10.481,10.481,10.481,53504,0
HDR,D,19980323,000000,10.379,10.379,10.379,10.379,27581,0
HDR,D,19980324,000000,10.228,10.228,10.228,10.228,37328,0
HDR,D,19980325,000000,10.131,10.131,10.131,10.131,28739,0
HDR,D,19980326,000000,10.131,10.131,10.131,10.131,45352,0
HDR,D,19980327,000000,10.027,10.027,10.027,10.027,42585,0
HDR,D,19980330,000000,10.027,10.027,10.027,10.027,21260,0
HDR,D,19980331,000000,10.027,10.027,10.027,10.027,29122,0
HDR,D,19980401,000000,9.529,9.529,9.529,9.529,15282,0
HDR,D,19980402,000000,9.529,9.529,9.529,9.529,33255,0
HDR,D,19980406,000000,9.3778,9.3778,9.3778,9.3778,24314,0
HDR,D,19980407,000000,9.2754,9.2754,9.2754,9.2754,8638,0
HDR,D,19980408,000000,9.3295,9.3295,9.3295,9.3295,20837,0
HDR,D,19980409,000000,8.9257,8.9257,8.9257,8.9257,14549,0
HDR,D,19980414,000000,8.974,8.974,8.974,8.974,25982,0
HDR,D,19980415,000000,9.0275,9.0275,9.0275,9.0275,14440,0
HDR,D,19980416,000000,9.1249,9.1249,9.1249,9.1249,12759,0
HDR,D,19980417,000000,9.2754,9.2754,9.2754,9.2754,26753,0
HDR,D,19980420,000000,9.4272,9.4272,9.4272,9.4272,35991,0
HDR,D,19980421,000000,10.083,10.083,10.083,10.083,56173,0
HDR,D,19980422,000000,10.027,10.027,10.027,10.027,32099,0
HDR,D,19980423,000000,9.529,9.529,9.529,9.529,31713,0
HDR,D,19980424,000000,9.4272,9.4272,9.4272,9.4272,45868,0
HDR,D,19980427,000000,8.5269,8.5269,8.5269,8.5269,27556,0
HDR,D,19980428,000000,7.9251,7.9251,7.9251,7.9251,14891,0
HDR,D,19980429,000000,8.1247,8.1247,8.1247,8.1247,18756,0
HDR,D,19980430,000000,8.3232,8.3232,8.3232,8.3232,18809,0
HDR,D,19980504,000000,8.7265,8.7265,8.7265,8.7265,5463,0
HDR,D,19980505,000000,9.1249,9.1249,9.1249,9.1249,12646,0
HDR,D,19980506,000000,9.2754,9.2754,9.2754,9.2754,34890,0
HDR,D,19980507,000000,9.0275,9.0275,9.0275,9.0275,3598,0
HDR,D,19980508,000000,8.5269,8.5269,8.5269,8.5269,37341,0
HDR,D,19980511,000000,8.1247,8.1247,8.1247,8.1247,22929,0
HDR,D,19980512,000000,8.2268,8.2268,8.2268,8.2268,12161,0
HDR,D,19980513,000000,8.1247,8.1247,8.1247,8.1247,8800,0
HDR,D,19980514,000000,8.0216,8.0216,8.0216,8.0216,2537,0
HDR,D,19980515,000000,7.9737,7.9737,7.9737,7.9737,18640,0
HDR,D,19980518,000000,7.5698,7.5698,7.5698,7.5698,2090,0
HDR,D,19980519,000000,7.1236,7.1236,7.1236,7.1236,4012,0
HDR,D,19980520,000000,7.323,7.323,7.323,7.323,9420,0
HDR,D,19980521,000000,7.6238,7.6238,7.6238,7.6238,8829,0
HDR,D,19980522,000000,7.6238,7.6238,7.6238,7.6238,2196,0
HDR,D,19980525,000000,7.2739,7.2739,7.2739,7.2739,8856,0
HDR,D,19980526,000000,7.3705,7.3705,7.3705,7.3705,8980,0
HDR,D,19980527,000000,6.6716,6.6716,6.6716,6.6716,4774,0
HDR,D,19980528,000000,6.6179,6.6179,6.6179,6.6179,9620,0
HDR,D,19980529,000000,6.6716,6.6716,6.6716,6.6716,7924,0
HDR,D,19980601,000000,6.0205,6.0205,6.0205,6.0205,14114,0
HDR,D,19980602,000000,5.4179,5.4179,5.4179,5.4179,22392,0
HDR,D,19980603,000000,5.6168,5.6168,5.6168,5.6168,22825,0
HDR,D,19980604,000000,5.6654,5.6654,5.6654,5.6654,12122,0
HDR,D,19980605,000000,5.5686,5.5686,5.5686,5.5686,20984,0
HDR,D,19980608,000000,5.5147,5.5147,5.5147,5.5147,10037,0
HDR,D,19980609,000000,5.2135,5.2135,5.2135,5.2135,14241,0
HDR,D,19980610,000000,4.9659,4.9659,4.9659,4.9659,9824,0
HDR,D,19980615,000000,4.5141,4.5141,4.5141,4.5141,20645,0
HDR,D,19980616,000000,4.6163,4.6163,4.6163,4.6163,25423,0
HDR,D,19980617,000000,5.0627,5.0627,5.0627,5.0627,4305,0
HDR,D,19980618,000000,5.5147,5.5147,5.5147,5.5147,30299,0
HDR,D,19980619,000000,5.5147,5.5147,5.5147,5.5147,23673,0
HDR,D,19980622,000000,5.2672,5.2672,5.2672,5.2672,6759,0
HDR,D,19980623,000000,5.2135,5.2135,5.2135,5.2135,6289,0
HDR,D,19980624,000000,5.0627,5.0627,5.0627,5.0627,13082,0
HDR,D,19980625,000000,5.0627,5.0627,5.0627,5.0627,6161,0
HDR,D,19980626,000000,5.3642,5.3642,5.3642,5.3642,17178,0
HDR,D,19980629,000000,5.2672,5.2672,5.2672,5.2672,6971,0
HDR,D,19980630,000000,5.6654,5.6654,5.6654,5.6654,23069,0
HDR,D,19980701,000000,6.1173,6.1173,6.1173,6.1173,13787,0
HDR,D,19980702,000000,5.9181,5.9181,5.9181,5.9181,24305,0
HDR,D,19980703,000000,6.1173,6.1173,6.1173,6.1173,15597,0
HDR,D,19980706,000000,6.2679,6.2679,6.2679,6.2679,11410,0
HDR,D,19980707,000000,6.2679,6.2679,6.2679,6.2679,13076,0
HDR,D,19980708,000000,5.8697,5.8697,5.8697,5.8697,1989,0
HDR,D,19980709,000000,6.0205,6.0205,6.0205,6.0205,5204,0
HDR,D,19980710,000000,6.1657,6.1657,6.1657,6.1657,4187,0
HDR,D,19980713,000000,5.8159,5.8159,5.8159,5.8159,4488,0
HDR,D,19980714,000000,6.0205,6.0205,6.0205,6.0205,3600,0
HDR,D,19980715,000000,5.7677,5.7677,5.7677,5.7677,4187,0
HDR,D,19980716,000000,5.9181,5.9181,5.9181,5.9181,6092,0
HDR,D,19980717,000000,5.9667,5.9667,5.9667,5.9667,7043,0
