<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMC,D,20110504,000000,8.0867,8.3734,7.9,7.9149,342505,0
IMC,D,20110505,000000,7.9297,7.9297,7.5211,7.7498,62276,0
IMC,D,20110506,000000,7.8433,7.8433,7.6717,7.7433,107432,0
IMC,D,20110509,000000,7.7644,7.8075,7.7286,7.7644,29435,0
IMC,D,20110510,000000,7.7718,7.8214,7.5351,7.7286,14303,0
IMC,D,20110511,000000,7.5709,7.7498,7.5709,7.6643,31491,0
IMC,D,20110512,000000,7.5782,7.7359,7.5635,7.6855,9401,0
IMC,D,20110513,000000,7.6782,7.7359,7.5994,7.7359,57192,0
IMC,D,20110516,000000,7.6067,7.7359,7.6067,7.7359,31428,0
IMC,D,20110517,000000,7.7286,7.7359,7.5782,7.5994,46332,0
IMC,D,20110518,000000,7.5994,7.7286,7.5424,7.7286,32838,0
IMC,D,20110519,000000,7.7286,7.7359,7.7001,7.7075,6397,0
IMC,D,20110520,000000,7.5994,7.7001,7.5994,7.6643,817,0
IMC,D,20110523,000000,7.6067,7.7359,7.5854,7.7359,23600,0
IMC,D,20110524,000000,7.6286,7.7498,7.5211,7.7498,257535,0
IMC,D,20110525,000000,7.6643,7.7359,7.6643,7.7359,5408,0
IMC,D,20110526,000000,7.7359,7.7644,7.7001,7.7644,5530,0
IMC,D,20110527,000000,7.7571,8.2016,7.7571,8.2016,400292,0
IMC,D,20110530,000000,8.1726,8.2371,8.1008,8.1652,18527,0
IMC,D,20110531,000000,8.1082,8.2371,8.1008,8.2297,22440,0
IMC,D,20110601,000000,8.2156,8.2297,8.1512,8.1578,15175,0
IMC,D,20110602,000000,8.1512,8.1652,8.0941,8.0941,19545,0
IMC,D,20110603,000000,8.0223,8.1297,8.0223,8.1297,17601,0
IMC,D,20110606,000000,8.1652,8.1652,8.0149,8.0578,6731,0
IMC,D,20110607,000000,8.1157,8.1652,8.0653,8.0941,4044,0
IMC,D,20110608,000000,8.0578,8.0941,8.0503,8.0503,10409,0
IMC,D,20110609,000000,8.0793,8.0793,7.8793,7.9652,8690,0
IMC,D,20110610,000000,7.8867,7.9793,7.8867,7.9719,325045,0
IMC,D,20110613,000000,7.9652,8.0149,7.8793,7.9504,4296,0
IMC,D,20110614,000000,7.9297,7.9719,7.9223,7.9652,6980,0
IMC,D,20110615,000000,7.9,7.943,7.9,7.9,12672,0
IMC,D,20110616,000000,7.8793,7.8793,7.6643,7.6717,26131,0
IMC,D,20110617,000000,7.7718,7.8075,7.5211,7.8075,10040,0
IMC,D,20110620,000000,7.8075,7.9223,7.6643,7.8867,50822,0
IMC,D,20110621,000000,7.9,8.0149,7.9,7.9149,53424,0
IMC,D,20110622,000000,7.943,7.943,7.7718,7.8793,16420,0
IMC,D,20110624,000000,7.7001,7.8433,7.7001,7.7001,1152,0
IMC,D,20110627,000000,7.7001,7.7075,7.5928,7.6213,9951,0
IMC,D,20110628,000000,7.5424,7.7001,7.5424,7.7001,1775,0
IMC,D,20110629,000000,7.7001,7.8075,7.6643,7.7718,473,0
IMC,D,20110630,000000,7.7718,7.8433,7.7359,7.8433,3875,0
IMC,D,20110701,000000,7.8433,7.8433,7.5782,7.7929,8474,0
IMC,D,20110704,000000,7.5635,7.6424,7.5066,7.557,6031,0
IMC,D,20110705,000000,7.6855,7.6855,7.3058,7.3415,7615,0
IMC,D,20110706,000000,7.3773,7.4277,7.1698,7.1983,31068,0
IMC,D,20110707,000000,7.3707,7.4781,7.1698,7.3415,2057,0
IMC,D,20110708,000000,7.3058,7.3773,7.2056,7.3773,1064,0
IMC,D,20110711,000000,7.413,7.413,7.413,7.413,308,0
IMC,D,20110712,000000,7.2056,7.2056,7.1626,7.1983,1938,0
IMC,D,20110713,000000,7.1983,7.3707,7.1983,7.3707,435,0
IMC,D,20110714,000000,7.1911,7.3058,7.1911,7.3058,136,0
IMC,D,20110715,000000,7.213,7.3058,7.1698,7.1911,2514,0
IMC,D,20110718,000000,7.1626,7.1626,7.1194,7.1194,3390,0
IMC,D,20110719,000000,7.0909,7.1626,6.9478,7.0193,196245,0
IMC,D,20110720,000000,7.0193,7.0193,7.0193,7.0193,596,0
IMC,D,20110721,000000,6.8405,6.8834,6.8405,6.8762,1040,0
IMC,D,20110722,000000,7.0909,7.2992,7.0193,7.2699,9008,0
IMC,D,20110725,000000,7.3488,7.3488,7.2699,7.2992,19,0
IMC,D,20110726,000000,7.2341,7.3277,7.1626,7.2845,2166,0
