<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IZS,D,20110111,000000,5.5651,5.9662,5.5651,5.7861,1085626,0
IZS,D,20110112,000000,5.737,5.8435,5.5651,5.8108,232901,0
IZS,D,20110113,000000,5.7861,5.8108,5.6552,5.737,131070,0
IZS,D,20110114,000000,5.7861,5.7861,5.5735,5.7698,37261,0
IZS,D,20110117,000000,5.7288,5.7616,5.7288,5.7452,15164,0
IZS,D,20110118,000000,5.737,5.8435,5.737,5.8435,42057,0
IZS,D,20110119,000000,5.8435,6.4244,5.827,6.3837,65173,0
IZS,D,20110120,000000,6.3099,6.4572,6.2363,6.3264,8423,0
IZS,D,20110121,000000,6.3264,6.9401,6.2609,6.7764,80526,0
IZS,D,20110124,000000,6.85,6.8666,6.7354,6.7929,16475,0
IZS,D,20110125,000000,6.7929,6.7929,6.6046,6.67,35394,0
IZS,D,20110126,000000,6.7519,6.973,6.6292,6.8254,53636,0
IZS,D,20110127,000000,6.6946,6.973,6.6046,6.7764,183020,0
IZS,D,20110128,000000,6.85,6.85,6.7111,6.7519,63277,0
IZS,D,20110131,000000,6.7111,6.7111,6.5637,6.6863,9308,0
IZS,D,20110201,000000,6.7519,6.7519,6.5064,6.5637,12455,0
IZS,D,20110202,000000,6.4736,6.5637,6.2117,6.3837,76389,0
IZS,D,20110203,000000,6.3264,6.3346,6.138,6.3181,12509,0
IZS,D,20110204,000000,6.1136,6.2936,6.1136,6.2936,12394,0
IZS,D,20110207,000000,6.3018,6.5474,6.3018,6.3018,2682,0
IZS,D,20110208,000000,6.1955,6.4654,6.0561,6.3018,764179,0
IZS,D,20110209,000000,6.2936,6.3753,6.2936,6.3427,343,0
IZS,D,20110210,000000,6.3427,6.4409,6.1872,6.1872,3892,0
IZS,D,20110211,000000,6.179,6.4244,6.0971,6.179,76395,0
IZS,D,20110214,000000,6.1544,6.1544,5.9744,6.0561,35435,0
IZS,D,20110215,000000,6.0399,6.0561,5.7698,5.9171,10535,0
IZS,D,20110216,000000,5.8926,6.0971,5.7288,6.0971,2178,0
IZS,D,20110217,000000,5.9907,6.0889,5.8926,5.9171,3933,0
IZS,D,20110218,000000,5.8926,5.9171,5.8926,5.9171,3589,0
IZS,D,20110221,000000,5.9662,5.9662,5.9088,5.9088,869,0
IZS,D,20110222,000000,5.9662,6.0561,5.737,5.9008,3144,0
IZS,D,20110223,000000,5.9744,6.0561,5.9335,5.9335,23660,0
IZS,D,20110224,000000,5.9662,5.9662,5.8517,5.9335,19086,0
IZS,D,20110225,000000,5.9335,5.9582,5.8926,5.9335,7776,0
IZS,D,20110228,000000,5.9744,6.179,5.9662,6.0317,10195,0
IZS,D,20110301,000000,5.9744,6.138,5.9744,6.0971,1906,0
IZS,D,20110302,000000,6.0561,6.179,6.0561,6.0971,1209,0
IZS,D,20110303,000000,6.2117,6.2117,6.138,6.138,990,0
IZS,D,20110304,000000,6.138,6.138,6.0726,6.138,1378,0
IZS,D,20110307,000000,6.179,6.22,6.0726,6.22,8570,0
IZS,D,20110308,000000,6.2609,6.2854,6.22,6.2854,2579,0
IZS,D,20110309,000000,6.2854,6.2854,6.22,6.2609,3845,0
IZS,D,20110310,000000,6.22,6.6292,6.22,6.621,4486,0
IZS,D,20110311,000000,6.621,6.621,6.4654,6.4736,661,0
IZS,D,20110314,000000,6.4818,6.6863,6.22,6.5474,6670,0
IZS,D,20110315,000000,6.5228,6.5228,6.22,6.3837,4367,0
IZS,D,20110316,000000,6.4572,6.4572,6.22,6.3753,3616,0
IZS,D,20110317,000000,6.2609,6.3018,6.2609,6.3018,1088,0
IZS,D,20110318,000000,6.3018,6.3018,6.179,6.22,1113,0
IZS,D,20110321,000000,6.22,6.3018,5.9744,6.2936,3452,0
IZS,D,20110322,000000,6.2936,6.2936,6.22,6.2854,1034,0
IZS,D,20110323,000000,6.2854,6.2854,6.138,6.2772,1005,0
IZS,D,20110324,000000,6.2772,6.2772,6.179,6.2609,1820,0
IZS,D,20110325,000000,6.2854,6.2854,6.179,6.2854,3141,0
IZS,D,20110328,000000,6.2936,6.2936,6.179,6.22,3455,0
IZS,D,20110329,000000,6.2609,6.2609,6.179,6.22,1040,0
IZS,D,20110330,000000,6.2936,6.2936,6.179,6.2282,6250,0
IZS,D,20110331,000000,6.2936,6.2936,6.1872,6.22,1028,0
IZS,D,20110401,000000,6.22,6.22,6.1955,6.2035,1180,0
IZS,D,20110404,000000,6.171,6.4654,6.171,6.3837,206163,0
IZS,D,20110405,000000,6.3671,6.3837,6.3018,6.3837,39069,0
IZS,D,20110406,000000,6.4654,6.4654,6.3264,6.4244,62892,0
IZS,D,20110407,000000,6.4244,6.4244,6.3837,6.4244,4690,0
IZS,D,20110408,000000,6.4572,6.4572,6.3837,6.4572,1711,0
IZS,D,20110411,000000,6.4572,6.4572,6.3427,6.4244,1013,0
IZS,D,20110412,000000,6.3427,6.4244,6.3018,6.4244,68874,0
IZS,D,20110413,000000,6.4244,6.449,6.3917,6.4409,3496,0
IZS,D,20110414,000000,6.449,6.449,6.3837,6.4164,464,0
