<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRC,D,20080214,000000,8.4376,8.4376,3.6094,3.7312,285656,0
KRC,D,20080215,000000,3.6562,5.5313,3.5344,4.9219,248465,0
KRC,D,20080218,000000,4.9219,7.0782,4.9219,6.5156,291314,0
KRC,D,20080219,000000,6.6094,7.2282,5.7188,5.9532,134663,0
KRC,D,20080220,000000,6.0938,6.5626,5.25,5.6156,59450,0
KRC,D,20080221,000000,5.625,5.8125,5.0344,5.1844,44464,0
KRC,D,20080222,000000,5.0156,5.1469,4.4251,4.95,40105,0
KRC,D,20080225,000000,4.875,5.5313,4.4719,4.6969,90494,0
KRC,D,20080226,000000,4.7813,4.7813,4.0312,4.1251,136195,0
KRC,D,20080227,000000,4.2001,4.6219,4.1438,4.4625,76999,0
KRC,D,20080228,000000,4.5001,5.0438,4.2188,4.3594,56075,0
KRC,D,20080229,000000,4.4156,4.7813,4.1438,4.4438,37742,0
KRC,D,20080303,000000,4.1719,4.2938,3.9375,4.2938,14273,0
KRC,D,20080304,000000,4.0875,5.0625,4.0875,4.6875,58943,0
KRC,D,20080305,000000,4.9125,4.95,4.2938,4.5188,60008,0
KRC,D,20080306,000000,4.4251,4.5375,4.3594,4.4625,15202,0
KRC,D,20080307,000000,4.4813,4.4813,4.3312,4.4532,3343,0
KRC,D,20080310,000000,4.3688,4.3688,4.0782,4.2188,15877,0
KRC,D,20080311,000000,4.2001,4.2001,3.9562,4.0969,12004,0
KRC,D,20080312,000000,4.1719,4.1719,3.9001,3.9844,17913,0
KRC,D,20080313,000000,3.9001,4.875,3.8625,4.3688,104438,0
KRC,D,20080314,000000,4.4532,4.6875,4.1719,4.4156,25894,0
KRC,D,20080317,000000,4.1251,4.1251,3.5344,3.7312,96239,0
KRC,D,20080318,000000,3.6656,3.8906,3.5438,3.8906,15139,0
KRC,D,20080319,000000,3.9844,3.9844,3.7969,3.7969,151,0
KRC,D,20080320,000000,3.8906,3.8906,3.6094,3.6844,3169,0
KRC,D,20080325,000000,3.8438,3.8438,3.6751,3.7875,8345,0
KRC,D,20080326,000000,3.7031,3.8251,3.5719,3.6094,18246,0
KRC,D,20080327,000000,3.6375,3.6375,3.5719,3.6094,2760,0
KRC,D,20080328,000000,3.9375,3.9375,3.5907,3.6094,6186,0
KRC,D,20080331,000000,3.5625,3.6375,3.4781,3.6375,4726,0
KRC,D,20080401,000000,3.5251,3.6375,3.5251,3.5344,1158,0
KRC,D,20080402,000000,3.5438,3.5625,3.4219,3.5625,4183,0
KRC,D,20080403,000000,3.3751,3.5251,3.2344,3.4407,7578,0
KRC,D,20080404,000000,3.4312,3.4312,3.1875,3.3281,12242,0
KRC,D,20080407,000000,3.3281,3.6844,3.3281,3.5907,9316,0
KRC,D,20080408,000000,3.5625,3.5625,3.4125,3.4688,5940,0
KRC,D,20080409,000000,3.3281,3.3657,3.2062,3.2062,11019,0
KRC,D,20080410,000000,3.2907,3.5531,3.2062,3.5531,15111,0
KRC,D,20080411,000000,3.5719,3.7031,3.4688,3.5625,12549,0
KRC,D,20080414,000000,3.4312,3.4688,3.3844,3.3844,2627,0
KRC,D,20080415,000000,3.3844,3.5157,3.3844,3.3844,7663,0
KRC,D,20080416,000000,3.4688,3.4688,3.3281,3.4594,1831,0
KRC,D,20080417,000000,3.4875,3.4875,3.3281,3.3281,321,0
KRC,D,20080418,000000,3.3281,3.4501,3.3001,3.4407,3525,0
KRC,D,20080421,000000,3.2438,3.4594,3.2438,3.4594,1696,0
KRC,D,20080422,000000,3.4501,3.4501,3.0469,3.2812,5062,0
KRC,D,20080423,000000,3.0938,3.2531,2.8407,3.2344,4545,0
KRC,D,20080424,000000,2.9531,3.2251,2.9531,3.1875,2374,0
KRC,D,20080425,000000,3.1875,3.4312,3.1875,3.3751,3225,0
KRC,D,20080428,000000,3.3751,3.3751,2.8125,3.2719,9661,0
KRC,D,20080429,000000,3.2812,3.2812,3.0469,3.2719,645,0
KRC,D,20080430,000000,3.2625,3.5062,3.0938,3.2344,7314,0
KRC,D,20080505,000000,3.4219,3.4594,3.2344,3.2812,6642,0
KRC,D,20080506,000000,3.2531,3.6094,3.2531,3.5812,15699,0
KRC,D,20080507,000000,3.5907,3.9375,3.4594,3.9375,42639,0
KRC,D,20080508,000000,3.6844,4.1532,3.6844,3.7969,15944,0
KRC,D,20080509,000000,3.8344,3.9188,3.7501,3.8812,2588,0
KRC,D,20080512,000000,3.8532,3.8532,3.5625,3.8251,22332,0
KRC,D,20080513,000000,3.5812,3.7501,3.4219,3.7501,12509,0
KRC,D,20080514,000000,3.6094,3.7031,3.6094,3.6094,1242,0
KRC,D,20080515,000000,3.5062,3.6469,3.4312,3.6469,15900,0
KRC,D,20080516,000000,3.4407,3.7501,3.4407,3.7501,13819,0
KRC,D,20080519,000000,3.5625,3.6094,3.5625,3.6094,1280,0
KRC,D,20080520,000000,3.6938,3.7031,3.6938,3.7031,373,0
KRC,D,20080521,000000,3.4688,3.6562,3.4219,3.6562,2241,0
KRC,D,20080523,000000,3.6281,3.6844,3.6281,3.6844,1851,0
KRC,D,20080526,000000,3.6938,3.8344,3.5625,3.7406,8753,0
KRC,D,20080527,000000,3.7406,3.7406,3.5157,3.6562,3454,0
KRC,D,20080528,000000,3.7031,3.7406,3.4688,3.7031,9081,0
KRC,D,20080529,000000,3.5157,3.6938,3.4688,3.4781,3024,0
KRC,D,20080530,000000,3.5625,3.6562,3.4688,3.6281,8159,0
KRC,D,20080602,000000,3.6188,3.7501,3.6094,3.7031,6112,0
KRC,D,20080603,000000,3.7031,3.7031,3.5625,3.5625,691,0
KRC,D,20080604,000000,3.5625,3.6562,3.5625,3.6562,608,0
KRC,D,20080605,000000,3.5157,3.6844,3.4688,3.6844,640,0
KRC,D,20080606,000000,3.6938,3.7125,3.5625,3.7125,5941,0
KRC,D,20080609,000000,3.7125,3.7125,3.4688,3.6469,983,0
KRC,D,20080610,000000,3.4688,3.6094,3.4219,3.5907,3619,0
KRC,D,20080611,000000,3.6094,3.6656,3.6094,3.6562,3290,0
KRC,D,20080612,000000,3.6562,3.6562,3.6469,3.6469,798,0
KRC,D,20080613,000000,3.6469,3.6562,3.6469,3.6562,277,0
KRC,D,20080616,000000,3.6562,3.6656,3.6562,3.6656,330,0
KRC,D,20080617,000000,3.6562,3.6562,3.6562,3.6562,612,0
KRC,D,20080618,000000,3.5344,3.6281,3.4219,3.6281,2880,0
KRC,D,20080619,000000,3.5625,3.5625,3.4219,3.5625,2786,0
KRC,D,20080620,000000,3.5531,3.5531,3.5531,3.5531,1,0
KRC,D,20080623,000000,3.5438,3.5438,3.3751,3.4219,3819,0
KRC,D,20080624,000000,3.5157,3.5157,3.3281,3.3281,1611,0
KRC,D,20080625,000000,3.2812,3.2812,3.1875,3.1875,2773,0
KRC,D,20080626,000000,3.2344,3.4407,3.0938,3.1031,4871,0
KRC,D,20080627,000000,3.3094,3.3094,3.3094,3.3094,1,0
KRC,D,20080630,000000,3.2812,3.2812,3.2812,3.2812,1,0
KRC,D,20080701,000000,3.0938,3.2812,3,3.2812,3351,0
KRC,D,20080702,000000,3.0281,3.0281,3,3,6336,0
KRC,D,20080703,000000,2.9062,2.9157,2.8594,2.8594,1174,0
KRC,D,20080704,000000,2.8594,3.1688,2.8125,2.8219,5600,0
KRC,D,20080707,000000,2.7281,2.7657,2.7188,2.7657,2812,0
KRC,D,20080708,000000,2.6438,2.8125,2.6438,2.8125,14186,0
KRC,D,20080709,000000,2.9531,3.1407,2.9531,3.1407,1557,0
KRC,D,20080710,000000,3.1875,3.2719,3.1407,3.1407,2997,0
KRC,D,20080711,000000,3.0938,3.0938,3.0938,3.0938,533,0
KRC,D,20080714,000000,2.9062,2.9531,2.9062,2.9531,1120,0
KRC,D,20080715,000000,2.7188,2.9531,2.7188,2.9531,268,0
KRC,D,20080716,000000,2.7375,2.7375,2.7375,2.7375,1,0
KRC,D,20080717,000000,2.7657,2.9531,2.7657,2.9531,854,0
KRC,D,20080718,000000,3,3,2.9531,3,1789,0
KRC,D,20080721,000000,2.8594,3.0751,2.8594,3.0751,400,0
KRC,D,20080722,000000,2.8219,2.8219,2.8219,2.8219,1066,0
KRC,D,20080723,000000,3.0657,3.0657,3.0657,3.0657,443,0
KRC,D,20080724,000000,3.0469,3.0469,3.0469,3.0469,5,0
KRC,D,20080725,000000,3.0657,3.0657,2.7281,3.0375,2709,0
KRC,D,20080728,000000,2.8219,2.8219,2.8219,2.8219,213,0
KRC,D,20080729,000000,2.9062,2.9157,2.9062,2.9062,3120,0
KRC,D,20080730,000000,3.0562,3.0562,2.9531,2.9531,3741,0
KRC,D,20080731,000000,3.0375,3.0375,2.9062,3.0375,3389,0
KRC,D,20080801,000000,3.0657,3.0938,3.0657,3.0938,1673,0
KRC,D,20080804,000000,3.0188,3.1407,3.0094,3.0469,4491,0
KRC,D,20080805,000000,3,3.0938,2.9531,2.9531,2890,0
KRC,D,20080806,000000,2.9531,3.0938,2.9531,3.0938,533,0
KRC,D,20080807,000000,3.2625,3.2625,3.2625,3.2625,43,0
KRC,D,20080808,000000,2.9625,3.2719,2.9625,3.2719,1454,0
KRC,D,20080811,000000,3.2719,3.3281,3.2719,3.3281,1325,0
KRC,D,20080812,000000,3.4219,3.5157,3.4219,3.5157,1088,0
KRC,D,20080813,000000,3.4219,3.4219,3.4219,3.4219,3733,0
KRC,D,20080814,000000,3.4219,3.4219,3.4219,3.4219,1,0
KRC,D,20080819,000000,3.3751,3.3751,3.0938,3.0938,1067,0
KRC,D,20080821,000000,3.1781,3.1781,3.1781,3.1781,1,0
KRC,D,20080825,000000,3.1407,3.1407,3.0751,3.0751,1545,0
