<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LAB,D,20140304,000000,2.4179,2.9015,2.4179,2.9015,1218,0
LAB,D,20140305,000000,3.4819,4.1588,3.4819,3.6946,20190,0
LAB,D,20140306,000000,3.83,4.536,3.83,4.1588,6568,0
LAB,D,20140307,000000,4.1975,4.1975,3.385,3.9558,3654,0
LAB,D,20140310,000000,3.6849,3.8687,3.5786,3.8687,2470,0
LAB,D,20140311,000000,3.6753,3.6753,3.6753,3.6753,226,0
LAB,D,20140312,000000,3.6076,3.6462,3.4045,3.6462,2892,0
LAB,D,20140313,000000,3.5786,3.8396,3.5786,3.8396,388,0
LAB,D,20140314,000000,3.7429,3.9654,3.7429,3.772,915,0
LAB,D,20140317,000000,3.8203,3.8203,3.772,3.772,1273,0
LAB,D,20140318,000000,3.772,3.7817,3.772,3.7817,38,0
LAB,D,20140319,000000,3.7429,3.7429,3.7429,3.7429,3,0
LAB,D,20140320,000000,3.8687,4.2459,3.8687,4.2459,1169,0
LAB,D,20140321,000000,4.2556,4.2556,3.8203,4.0621,734,0
LAB,D,20140324,000000,3.8106,3.859,3.8106,3.859,124,0
LAB,D,20140325,000000,3.9074,4.0911,3.8687,3.9654,2165,0
LAB,D,20140326,000000,3.9654,3.9654,3.9654,3.9654,25,0
LAB,D,20140327,000000,3.9654,3.9654,3.9654,3.9654,15,0
LAB,D,20140328,000000,3.9654,4.0621,3.9654,4.0621,20,0
LAB,D,20140331,000000,3.9751,3.9751,3.9751,3.9751,16,0
LAB,D,20140401,000000,3.9847,4.3039,3.7429,4.3039,5013,0
LAB,D,20140402,000000,4.1878,4.3039,4.1878,4.3039,3804,0
LAB,D,20140403,000000,4.536,5.4355,4.4586,5.3388,2249,0
LAB,D,20140404,000000,5.213,6.393,5.213,6.393,2303,0
LAB,D,20140407,000000,6.7605,6.7605,5.4161,6.0932,1774,0
LAB,D,20140408,000000,6.1899,6.2866,5.629,5.629,385,0
LAB,D,20140410,000000,5.8707,6.5574,5.8031,5.8031,1501,0
LAB,D,20140411,000000,5.6579,5.6579,5.6193,5.6193,52,0
LAB,D,20140414,000000,5.6095,5.8224,5.0293,5.8224,1545,0
LAB,D,20140415,000000,6.277,6.277,5.7547,5.7547,31,0
LAB,D,20140416,000000,5.8998,5.9965,5.8998,5.9965,302,0
LAB,D,20140417,000000,6.1125,6.7605,6.1125,6.7605,490,0
LAB,D,20140422,000000,6.7412,6.7412,6.0351,6.0351,1434,0
LAB,D,20140423,000000,5.9965,6.0738,5.5612,6.0738,1620,0
LAB,D,20140424,000000,5.8031,6.3737,5.5612,6.3737,1887,0
