<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LTX,D,19970508,000000,2.3011,2.3011,2.3011,2.3011,1935101,0
LTX,D,19970509,000000,2.5316,2.5316,2.5316,2.5316,2284411,0
LTX,D,19970512,000000,2.6494,2.6494,2.6494,2.6494,2171840,0
LTX,D,19970513,000000,2.5458,2.5458,2.5458,2.5458,318045,0
LTX,D,19970514,000000,2.4331,2.4331,2.4331,2.4331,516295,0
LTX,D,19970515,000000,2.3361,2.3361,2.3361,2.3361,541286,0
LTX,D,19970516,000000,2.3077,2.3077,2.3077,2.3077,781589,0
LTX,D,19970519,000000,2.3711,2.3711,2.3711,2.3711,89405,0
LTX,D,19970520,000000,2.3361,2.3361,2.3361,2.3361,129066,0
LTX,D,19970521,000000,2.2946,2.2946,2.2946,2.2946,280694,0
LTX,D,19970522,000000,2.2313,2.2313,2.2313,2.2313,227925,0
LTX,D,19970523,000000,2.1614,2.1614,2.1614,2.1614,1296647,0
LTX,D,19970526,000000,2.1265,2.1265,2.1265,2.1265,1521044,0
LTX,D,19970527,000000,2.0915,2.0915,2.0915,2.0915,554608,0
LTX,D,19970528,000000,2.0565,2.0565,2.0565,2.0565,171113,0
LTX,D,19970530,000000,2.0915,2.0915,2.0915,2.0915,81259,0
LTX,D,19970602,000000,2.0915,2.0915,2.0915,2.0915,194546,0
LTX,D,19970603,000000,2.0215,2.0215,2.0215,2.0215,366918,0
LTX,D,19970604,000000,1.988,1.988,1.988,1.988,237493,0
LTX,D,19970605,000000,1.966,1.966,1.966,1.966,329018,0
LTX,D,19970606,000000,2.0215,2.0215,2.0215,2.0215,124354,0
LTX,D,19970609,000000,2.0915,2.0915,2.0915,2.0915,545410,0
LTX,D,19970610,000000,2.1614,2.1614,2.1614,2.1614,525299,0
LTX,D,19970611,000000,2.239,2.239,2.239,2.239,212654,0
LTX,D,19970612,000000,2.3361,2.3361,2.3361,2.3361,385055,0
LTX,D,19970613,000000,2.3361,2.3361,2.3361,2.3361,288935,0
LTX,D,19970616,000000,2.3361,2.3361,2.3361,2.3361,199347,0
LTX,D,19970617,000000,2.3219,2.3219,2.3219,2.3219,151695,0
LTX,D,19970618,000000,2.3011,2.3011,2.3011,2.3011,316152,0
LTX,D,19970619,000000,2.3918,2.3918,2.3918,2.3918,297059,0
LTX,D,19970620,000000,2.4124,2.4124,2.4124,2.4124,392287,0
LTX,D,19970623,000000,2.3011,2.3011,2.3011,2.3011,283329,0
LTX,D,19970624,000000,2.2313,2.2313,2.2313,2.2313,126143,0
LTX,D,19970625,000000,2.2662,2.2662,2.2662,2.2662,176055,0
LTX,D,19970626,000000,2.1963,2.1963,2.1963,2.1963,176003,0
LTX,D,19970627,000000,2.1757,2.1757,2.1757,2.1757,41599,0
LTX,D,19970630,000000,2.2598,2.2598,2.2598,2.2598,52194,0
LTX,D,19970701,000000,2.1757,2.1757,2.1757,2.1757,58726,0
LTX,D,19970702,000000,2.1963,2.1963,2.1963,2.1963,141348,0
LTX,D,19970703,000000,2.2105,2.2105,2.2105,2.2105,185532,0
LTX,D,19970704,000000,2.2662,2.2662,2.2662,2.2662,142092,0
LTX,D,19970707,000000,2.3011,2.3011,2.3011,2.3011,322448,0
LTX,D,19970708,000000,2.3568,2.3568,2.3568,2.3568,162078,0
LTX,D,19970709,000000,2.3776,2.3776,2.3776,2.3776,197873,0
LTX,D,19970710,000000,2.3568,2.3568,2.3568,2.3568,118160,0
LTX,D,19970711,000000,2.3646,2.3646,2.3646,2.3646,209396,0
LTX,D,19970714,000000,2.3711,2.3711,2.3711,2.3711,1027241,0
LTX,D,19970715,000000,2.4681,2.4681,2.4681,2.4681,446220,0
LTX,D,19970716,000000,2.5237,2.5237,2.5237,2.5237,323639,0
LTX,D,19970717,000000,2.6429,2.6429,2.6429,2.6429,956063,0
LTX,D,19970718,000000,2.5807,2.5807,2.5807,2.5807,398237,0
LTX,D,19970721,000000,2.5807,2.5807,2.5807,2.5807,354046,0
LTX,D,19970722,000000,2.6221,2.6221,2.6221,2.6221,90568,0
LTX,D,19970723,000000,2.6571,2.6571,2.6571,2.6571,315790,0
LTX,D,19970724,000000,2.6777,2.6777,2.6777,2.6777,729338,0
LTX,D,19970725,000000,2.6842,2.6842,2.6842,2.6842,580690,0
LTX,D,19970728,000000,2.6494,2.6494,2.6494,2.6494,466625,0
LTX,D,19970729,000000,2.6494,2.6494,2.6494,2.6494,484542,0
LTX,D,19970730,000000,2.6429,2.6429,2.6429,2.6429,476367,0
LTX,D,19970731,000000,2.6144,2.6144,2.6144,2.6144,554872,0
LTX,D,19970801,000000,2.6078,2.6078,2.6078,2.6078,438458,0
LTX,D,19970804,000000,2.6144,2.6144,2.6144,2.6144,594653,0
LTX,D,19970805,000000,2.6078,2.6078,2.6078,2.6078,576303,0
LTX,D,19970806,000000,2.6842,2.6842,2.6842,2.6842,289790,0
LTX,D,19970807,000000,2.6777,2.6777,2.6777,2.6777,385209,0
LTX,D,19970808,000000,2.7191,2.7191,2.7191,2.7191,711878,0
LTX,D,19970811,000000,2.7826,2.7826,2.7826,2.7826,860068,0
LTX,D,19970812,000000,2.7542,2.7542,2.7542,2.7542,365822,0
LTX,D,19970813,000000,2.7684,2.7684,2.7684,2.7684,749359,0
LTX,D,19970814,000000,2.7892,2.7892,2.7892,2.7892,673999,0
LTX,D,19970818,000000,2.7684,2.7684,2.7684,2.7684,563319,0
LTX,D,19970819,000000,2.7892,2.7892,2.7892,2.7892,303486,0
LTX,D,19970820,000000,2.8938,2.8938,2.8938,2.8938,241881,0
LTX,D,19970821,000000,2.9224,2.9224,2.9224,2.9224,139295,0
LTX,D,19970822,000000,2.7969,2.7969,2.7969,2.7969,117469,0
LTX,D,19970825,000000,2.824,2.824,2.824,2.824,134347,0
LTX,D,19970826,000000,2.8318,2.8318,2.8318,2.8318,213065,0
LTX,D,19970827,000000,2.859,2.859,2.859,2.859,141504,0
LTX,D,19970828,000000,2.9288,2.9288,2.9288,2.9288,183898,0
LTX,D,19970829,000000,3.0337,3.0337,3.0337,3.0337,311918,0
LTX,D,19970901,000000,2.9988,2.9988,2.9988,2.9988,108050,0
LTX,D,19970902,000000,3.1385,3.1385,3.1385,3.1385,221974,0
LTX,D,19970903,000000,3.2564,3.2564,3.2564,3.2564,141475,0
LTX,D,19970904,000000,3.2564,3.2564,3.2564,3.2564,460307,0
LTX,D,19970905,000000,3.2421,3.2421,3.2421,3.2421,370835,0
LTX,D,19970908,000000,3.1592,3.1592,3.1592,3.1592,108632,0
LTX,D,19970909,000000,3.1735,3.1735,3.1735,3.1735,444718,0
LTX,D,19970910,000000,3.2421,3.2421,3.2421,3.2421,150804,0
LTX,D,19970911,000000,3.3119,3.3119,3.3119,3.3119,214655,0
LTX,D,19970912,000000,3.4025,3.4025,3.4025,3.4025,291204,0
LTX,D,19970915,000000,3.3327,3.3327,3.3327,3.3327,213609,0
LTX,D,19970916,000000,3.3818,3.3818,3.3818,3.3818,99786,0
LTX,D,19970917,000000,3.3818,3.3818,3.3818,3.3818,53984,0
LTX,D,19970918,000000,3.3469,3.3469,3.3469,3.3469,69817,0
LTX,D,19970919,000000,3.4103,3.4103,3.4103,3.4103,87210,0
LTX,D,19970922,000000,3.4866,3.4866,3.4866,3.4866,122505,0
LTX,D,19970923,000000,3.5216,3.5216,3.5216,3.5216,78860,0
LTX,D,19970924,000000,3.4866,3.4866,3.4866,3.4866,84204,0
LTX,D,19970925,000000,3.4804,3.4804,3.4804,3.4804,43844,0
LTX,D,19970926,000000,3.4232,3.4232,3.4232,3.4232,120088,0
LTX,D,19970929,000000,3.3119,3.3119,3.3119,3.3119,39043,0
LTX,D,19970930,000000,3.3198,3.3198,3.3198,3.3198,52821,0
LTX,D,19971001,000000,3.3119,3.3119,3.3119,3.3119,156157,0
LTX,D,19971002,000000,3.3198,3.3198,3.3198,3.3198,124059,0
LTX,D,19971003,000000,3.2771,3.2771,3.2771,3.2771,17371,0
LTX,D,19971006,000000,3.1514,3.1514,3.1514,3.1514,45198,0
LTX,D,19971007,000000,3.2071,3.2071,3.2071,3.2071,201518,0
LTX,D,19971008,000000,3.2771,3.2771,3.2771,3.2771,141048,0
LTX,D,19971009,000000,3.3469,3.3469,3.3469,3.3469,105032,0
LTX,D,19971010,000000,3.3469,3.3469,3.3469,3.3469,188404,0
LTX,D,19971013,000000,3.4168,3.4168,3.4168,3.4168,50258,0
LTX,D,19971014,000000,3.4517,3.4517,3.4517,3.4517,113441,0
LTX,D,19971015,000000,3.4168,3.4168,3.4168,3.4168,133890,0
LTX,D,19971016,000000,3.3469,3.3469,3.3469,3.3469,62925,0
LTX,D,19971017,000000,3.4168,3.4168,3.4168,3.4168,141746,0
LTX,D,19971020,000000,3.4168,3.4168,3.4168,3.4168,123727,0
LTX,D,19971021,000000,3.4866,3.4866,3.4866,3.4866,168955,0
LTX,D,19971022,000000,3.4866,3.4866,3.4866,3.4866,185098,0
LTX,D,19971023,000000,3.4168,3.4168,3.4168,3.4168,108904,0
LTX,D,19971024,000000,3.3469,3.3469,3.3469,3.3469,101688,0
LTX,D,19971027,000000,3.3469,3.3469,3.3469,3.3469,387259,0
LTX,D,19971028,000000,3.013,3.013,3.013,3.013,0,0
LTX,D,19971029,000000,3.2771,3.2771,3.2771,3.2771,466154,0
LTX,D,19971030,000000,3.2421,3.2421,3.2421,3.2421,151540,0
LTX,D,19971031,000000,3.1308,3.1308,3.1308,3.1308,124663,0
LTX,D,19971103,000000,3.3055,3.3055,3.3055,3.3055,126385,0
LTX,D,19971104,000000,3.3404,3.3404,3.3404,3.3404,91018,0
LTX,D,19971105,000000,3.3404,3.3404,3.3404,3.3404,15279,0
LTX,D,19971106,000000,3.2071,3.2071,3.2071,3.2071,11856,0
LTX,D,19971107,000000,3.2071,3.2071,3.2071,3.2071,76599,0
LTX,D,19971112,000000,3.2071,3.2071,3.2071,3.2071,81313,0
LTX,D,19971113,000000,3.1735,3.1735,3.1735,3.1735,128911,0
LTX,D,19971114,000000,3.048,3.048,3.048,3.048,57835,0
LTX,D,19971117,000000,3.2149,3.2149,3.2149,3.2149,47061,0
LTX,D,19971118,000000,3.2706,3.2706,3.2706,3.2706,88601,0
LTX,D,19971119,000000,3.2421,3.2421,3.2421,3.2421,50928,0
LTX,D,19971120,000000,3.2498,3.2498,3.2498,3.2498,63365,0
LTX,D,19971121,000000,3.3469,3.3469,3.3469,3.3469,53548,0
LTX,D,19971124,000000,3.3469,3.3469,3.3469,3.3469,171990,0
LTX,D,19971125,000000,3.3119,3.3119,3.3119,3.3119,212441,0
LTX,D,19971126,000000,3.3469,3.3469,3.3469,3.3469,203403,0
LTX,D,19971127,000000,3.4168,3.4168,3.4168,3.4168,147564,0
LTX,D,19971128,000000,3.4232,3.4232,3.4232,3.4232,55274,0
LTX,D,19971201,000000,3.4517,3.4517,3.4517,3.4517,60803,0
LTX,D,19971202,000000,3.4866,3.4866,3.4866,3.4866,143331,0
LTX,D,19971203,000000,3.5915,3.5915,3.5915,3.5915,121584,0
LTX,D,19971204,000000,3.6265,3.6265,3.6265,3.6265,99899,0
LTX,D,19971205,000000,3.5915,3.5915,3.5915,3.5915,50258,0
