<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LVC,D,20140411,000000,15.275,15.275,14.372,14.65,172725,0
LVC,D,20140414,000000,14.563,14.563,14.135,14.253,46775,0
LVC,D,20140415,000000,14.253,14.388,14.174,14.245,4181,0
LVC,D,20140416,000000,14.245,14.356,14.174,14.174,4114,0
LVC,D,20140417,000000,14.094,14.411,14.094,14.253,4486,0
LVC,D,20140422,000000,14.482,14.722,14.293,14.688,2729,0
LVC,D,20140423,000000,14.65,14.73,14.571,14.688,8863,0
LVC,D,20140424,000000,14.688,14.688,14.681,14.681,1149,0
LVC,D,20140425,000000,14.554,14.65,14.253,14.65,11154,0
LVC,D,20140428,000000,14.688,14.688,14.261,14.642,1033,0
LVC,D,20140429,000000,14.642,14.642,14.253,14.642,1844,0
LVC,D,20140430,000000,14.688,14.688,14.253,14.563,3951,0
LVC,D,20140502,000000,14.634,14.634,14.253,14.253,4531,0
LVC,D,20140505,000000,14.571,14.617,14.334,14.334,872,0
LVC,D,20140506,000000,14.334,14.492,14.253,14.334,1539,0
LVC,D,20140507,000000,14.253,14.261,14.079,14.207,8464,0
LVC,D,20140508,000000,14.207,14.214,14.18,14.18,1941,0
LVC,D,20140509,000000,14.189,14.189,14.015,14.015,910,0
LVC,D,20140512,000000,14.015,14.088,13.239,13.619,73325,0
LVC,D,20140513,000000,13.771,13.771,13.461,13.605,3193,0
LVC,D,20140514,000000,13.477,13.477,13.382,13.477,17584,0
LVC,D,20140515,000000,13.461,13.856,13.461,13.856,384,0
LVC,D,20140516,000000,13.849,13.856,13.461,13.849,2896,0
LVC,D,20140519,000000,13.817,13.817,13.817,13.817,10,0
LVC,D,20140520,000000,13.548,13.581,13.207,13.555,1911,0
LVC,D,20140521,000000,13.548,13.564,13.185,13.501,982,0
LVC,D,20140522,000000,13.572,14.207,13.461,14.207,4025,0
LVC,D,20140523,000000,14.135,14.245,14.135,14.245,1276,0
LVC,D,20140526,000000,14.245,14.293,14.245,14.293,5,0
LVC,D,20140527,000000,14.253,14.253,14.056,14.236,844,0
LVC,D,20140528,000000,14.245,14.245,14.245,14.245,10,0
LVC,D,20140529,000000,14.094,14.094,13.937,14.015,547,0
LVC,D,20140530,000000,13.937,14.642,13.699,14.642,6374,0
LVC,D,20140602,000000,14.609,14.609,14.094,14.207,1458,0
