<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPN,D,20070912,000000,7.6034,8.2948,7.3084,7.3084,514755,0
OPN,D,20070913,000000,7.2809,7.5574,7.2809,7.5574,75710,0
OPN,D,20070914,000000,7.5574,7.5574,7.3269,7.3454,26568,0
OPN,D,20070917,000000,7.4283,7.5112,7.2715,7.3269,18646,0
OPN,D,20070918,000000,7.1887,7.4191,7.0963,7.3731,13513,0
OPN,D,20070919,000000,7.5481,7.7417,7.3361,7.7417,66238,0
OPN,D,20070920,000000,7.7785,7.7785,7.4283,7.6494,69391,0
OPN,D,20070921,000000,7.5574,7.6034,7.4559,7.4559,11113,0
OPN,D,20070924,000000,7.6771,7.6771,7.5112,7.5574,8023,0
OPN,D,20070925,000000,7.5666,7.5666,7.3731,7.5112,19232,0
OPN,D,20070926,000000,7.4929,7.6494,7.4929,7.6494,78524,0
OPN,D,20070927,000000,7.6494,8.2948,7.6034,8.1103,161102,0
OPN,D,20070928,000000,8.0182,8.0182,7.6956,7.9259,69401,0
OPN,D,20071001,000000,8.009,8.0918,7.6863,7.9076,29967,0
OPN,D,20071002,000000,7.9076,8.2948,7.8154,7.9352,39304,0
OPN,D,20071003,000000,8.0641,8.0641,7.5297,7.7785,30019,0
OPN,D,20071004,000000,7.7785,7.7878,7.4742,7.714,23604,0
OPN,D,20071005,000000,7.6956,7.9259,7.6494,7.9259,13005,0
OPN,D,20071008,000000,7.8338,7.9998,7.8338,7.9259,13969,0
OPN,D,20071009,000000,7.9628,7.9628,7.8891,7.9259,7960,0
OPN,D,20071010,000000,7.843,7.8614,7.7509,7.806,6397,0
OPN,D,20071011,000000,7.9167,7.9259,7.8154,7.9259,2979,0
OPN,D,20071012,000000,7.9443,8.0182,7.8338,8.009,5311,0
OPN,D,20071015,000000,8.0828,8.101,7.9812,8.0828,14843,0
OPN,D,20071016,000000,7.9905,8.0828,7.9352,8.009,8478,0
OPN,D,20071017,000000,8.0182,8.0918,7.8338,8.0918,8676,0
OPN,D,20071018,000000,8.0918,8.1103,7.9628,8.0828,5709,0
OPN,D,20071019,000000,8.0273,8.1564,7.9259,8.1564,5847,0
OPN,D,20071022,000000,8.1381,8.1381,7.8521,8.0734,11391,0
OPN,D,20071023,000000,8.0734,8.1103,7.8338,8.1103,19105,0
OPN,D,20071024,000000,8.0734,8.0734,7.8799,7.9628,8815,0
OPN,D,20071025,000000,7.9259,8.1103,7.9259,8.0828,8884,0
OPN,D,20071026,000000,7.843,8.1932,7.843,8.1932,25931,0
OPN,D,20071029,000000,8.1932,8.3868,8.0182,8.3777,21998,0
OPN,D,20071030,000000,8.4606,9.0779,8.4606,8.8015,45109,0
OPN,D,20071031,000000,9.0687,9.1234,8.8752,8.9398,15403,0
OPN,D,20071102,000000,8.9305,9.751,8.5803,9.4001,27402,0
OPN,D,20071105,000000,9.666,9.676,8.2948,8.396,69355,0
OPN,D,20071106,000000,8.6633,8.6633,8.396,8.5435,3986,0
