<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBX,D,20150708,000000,9.1434,9.1434,9.1434,9.1434,591,0
PBX,D,20150709,000000,9.1434,9.1434,9.0993,9.0993,14695,0
PBX,D,20150710,000000,9.3643,9.4188,9.2351,9.2351,5561,0
PBX,D,20150713,000000,9.2351,9.4642,9.2351,9.4642,15550,0
PBX,D,20150714,000000,9.601,9.693,9.4642,9.647,11919,0
PBX,D,20150715,000000,9.693,9.693,9.693,9.693,22746,0
PBX,D,20150716,000000,9.757,9.857,9.757,9.857,28732,0
PBX,D,20150717,000000,9.894,9.967,9.875,9.875,7930,0
PBX,D,20150720,000000,9.921,10.06,9.921,10.06,3304,0
PBX,D,20150721,000000,10.06,10.06,9.802,9.958,2557,0
PBX,D,20150722,000000,9.693,9.693,9.693,9.693,3061,0
PBX,D,20150723,000000,9.784,9.794,9.784,9.794,164,0
PBX,D,20150724,000000,9.592,9.592,9.592,9.592,65,0
PBX,D,20150728,000000,9.784,9.784,9.657,9.657,106,0
PBX,D,20150729,000000,9.657,9.875,9.4366,9.784,621,0
PBX,D,20150730,000000,9.784,9.784,9.784,9.784,16430,0
PBX,D,20150731,000000,9.857,9.857,9.4366,9.4366,5495,0
PBX,D,20150803,000000,9.601,9.601,9.601,9.601,23181,0
PBX,D,20150804,000000,9.784,9.784,9.784,9.784,21927,0
PBX,D,20150805,000000,9.555,9.601,9.555,9.601,14914,0
PBX,D,20150806,000000,9.611,9.611,9.611,9.611,10,0
PBX,D,20150807,000000,9.683,9.784,9.683,9.784,2461,0
PBX,D,20150810,000000,9.83,9.83,9.784,9.784,410,0
PBX,D,20150811,000000,9.711,9.711,9.711,9.711,52,0
PBX,D,20150812,000000,9.693,9.693,9.601,9.601,7545,0
PBX,D,20150813,000000,9.711,9.83,9.711,9.83,156,0
PBX,D,20150818,000000,9.774,9.774,9.774,9.774,547,0
PBX,D,20150819,000000,9.692,9.978,9.682,9.682,377,0
PBX,D,20150820,000000,9.682,9.72,9.682,9.71,2032,0
PBX,D,20150824,000000,9.2313,9.674,9.2036,9.582,23737,0
