<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PGN,D,20050923,000000,2.6865,2.7154,2.5557,2.5631,317871669,0
PGN,D,20050926,000000,2.5411,2.592,2.5049,2.5631,56433133,0
PGN,D,20050927,000000,2.592,2.6865,2.592,2.6719,56246504,0
PGN,D,20050928,000000,2.7227,2.7953,2.6936,2.73,73744750,0
PGN,D,20050929,000000,2.6865,2.7809,2.6574,2.7443,29834662,0
PGN,D,20050930,000000,2.6865,2.6865,2.6136,2.6865,78157133,0
PGN,D,20051003,000000,2.6792,2.6865,2.6429,2.6574,13681073,0
PGN,D,20051004,000000,2.6646,2.6719,2.5776,2.5776,19700879,0
PGN,D,20051005,000000,2.5776,2.592,2.5121,2.592,29880027,0
PGN,D,20051006,000000,2.5557,2.5776,2.5265,2.5557,21839391,0
PGN,D,20051007,000000,2.5411,2.5557,2.5265,2.5557,12360066,0
PGN,D,20051010,000000,2.5557,2.5993,2.5486,2.5486,5366516,0
PGN,D,20051011,000000,2.5557,2.5776,2.534,2.5557,7858077,0
PGN,D,20051012,000000,2.5557,2.5776,2.4977,2.4977,8872274,0
PGN,D,20051013,000000,2.5049,2.5049,2.3452,2.3742,38791906,0
PGN,D,20051014,000000,2.3598,2.425,2.3379,2.4179,21150811,0
PGN,D,20051017,000000,2.454,2.4615,2.3961,2.3961,11223536,0
PGN,D,20051018,000000,2.4179,2.425,2.3524,2.3742,13762887,0
PGN,D,20051019,000000,2.3452,2.3669,2.3235,2.3669,16415738,0
PGN,D,20051020,000000,2.4179,2.425,2.3235,2.3379,9753727,0
PGN,D,20051021,000000,2.3235,2.3306,2.3016,2.3089,17950418,0
PGN,D,20051024,000000,2.28,2.3016,2.2364,2.2944,24172672,0
PGN,D,20051025,000000,2.3162,2.4324,2.3089,2.4324,14107552,0
PGN,D,20051026,000000,2.4469,2.4977,2.3814,2.454,19087331,0
PGN,D,20051027,000000,2.3742,2.4179,2.3598,2.3887,6856637,0
PGN,D,20051028,000000,2.3598,2.4324,2.3452,2.425,10793479,0
PGN,D,20051031,000000,2.4469,2.4469,2.4179,2.425,1995233,0
PGN,D,20051102,000000,2.425,2.4758,2.425,2.4758,7974175,0
PGN,D,20051103,000000,2.4831,2.4903,2.3742,2.3814,13487217,0
PGN,D,20051104,000000,2.4033,2.4106,2.3524,2.3598,7242060,0
PGN,D,20051107,000000,2.3598,2.3598,2.2726,2.287,10318902,0
PGN,D,20051108,000000,2.3162,2.3306,2.3016,2.3016,7463138,0
