<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHN,D,20130213,000000,17.276,17.996,17.276,17.921,798480,0
PHN,D,20130214,000000,17.921,18.217,17.822,18.187,346269,0
PHN,D,20130215,000000,18.187,18.225,17.99,18.058,50989,0
PHN,D,20130218,000000,17.996,17.996,16.327,17.769,74891,0
PHN,D,20130219,000000,17.548,17.844,17.548,17.808,77307,0
PHN,D,20130220,000000,17.769,17.883,17.731,17.852,78243,0
PHN,D,20130221,000000,17.693,17.883,17.505,17.838,76105,0
PHN,D,20130222,000000,17.814,17.953,17.814,17.921,19192,0
PHN,D,20130225,000000,17.921,18.036,17.905,17.929,49087,0
PHN,D,20130226,000000,17.9,18.073,17.883,17.996,29809,0
PHN,D,20130227,000000,18.073,18.286,17.996,18.225,79624,0
PHN,D,20130228,000000,18.225,18.445,18.225,18.375,26992,0
PHN,D,20130301,000000,18.375,18.437,18.073,18.375,23407,0
PHN,D,20130304,000000,18.375,18.375,18.081,18.087,7509,0
PHN,D,20130305,000000,18.126,18.247,18.126,18.225,18134,0
PHN,D,20130306,000000,18.225,18.34,18.187,18.233,17592,0
PHN,D,20130307,000000,18.225,18.324,18.157,18.324,17673,0
PHN,D,20130308,000000,18.225,18.347,18.187,18.331,17679,0
PHN,D,20130311,000000,18.331,18.907,18.195,18.597,63033,0
PHN,D,20130312,000000,18.605,18.833,18.605,18.833,15861,0
PHN,D,20130313,000000,18.849,18.871,18.613,18.841,10598,0
PHN,D,20130314,000000,18.849,19.425,18.849,19.288,63554,0
PHN,D,20130315,000000,19.288,19.895,19.288,19.743,57587,0
PHN,D,20130318,000000,19.386,19.644,18.247,19.584,26973,0
PHN,D,20130319,000000,19.44,19.66,19.311,19.432,7646,0
PHN,D,20130320,000000,19.363,20.116,19.107,19.895,63273,0
PHN,D,20130321,000000,19.932,19.932,18.702,19.137,37991,0
PHN,D,20130322,000000,18.999,19.288,18.719,19.06,72644,0
PHN,D,20130325,000000,18.985,19.651,18.756,19.493,9909,0
PHN,D,20130326,000000,19.363,19.591,19.288,19.522,77726,0
PHN,D,20130327,000000,19.531,19.591,19.522,19.531,26077,0
PHN,D,20130328,000000,19.363,19.743,19.182,19.531,164781,0
PHN,D,20130402,000000,19.531,19.591,19.402,19.591,123192,0
PHN,D,20130403,000000,19.555,19.737,19.555,19.668,100412,0
PHN,D,20130404,000000,19.517,19.591,19.402,19.509,38286,0
PHN,D,20130405,000000,19.517,19.591,19.409,19.447,33212,0
PHN,D,20130408,000000,19.44,19.819,19.44,19.66,21561,0
PHN,D,20130409,000000,19.66,19.66,19.463,19.517,14931,0
PHN,D,20130410,000000,19.668,19.743,19.584,19.737,32591,0
PHN,D,20130411,000000,19.737,19.737,19.517,19.517,5731,0
PHN,D,20130412,000000,19.44,19.591,19.402,19.531,10109,0
PHN,D,20130415,000000,19.44,19.44,18.233,19.402,9275,0
PHN,D,20130417,000000,18.733,19.251,18.733,18.991,18244,0
PHN,D,20130418,000000,18.985,19.211,18.702,19.182,129587,0
PHN,D,20130419,000000,18.991,19.363,18.985,19.098,63103,0
PHN,D,20130422,000000,18.999,19.137,18.999,19.09,2820,0
PHN,D,20130423,000000,18.696,19.098,18.696,18.794,28807,0
PHN,D,20130424,000000,18.764,18.946,18.764,18.901,4980,0
PHN,D,20130425,000000,18.719,18.985,18.719,18.985,22446,0
PHN,D,20130426,000000,18.946,18.985,18.78,18.78,2093,0
PHN,D,20130429,000000,18.78,18.78,18.702,18.756,2483,0
PHN,D,20130430,000000,18.702,18.702,18.46,18.528,6832,0
PHN,D,20130502,000000,18.3,18.3,18.217,18.225,25708,0
PHN,D,20130506,000000,18.225,18.597,18.225,18.597,3181,0
PHN,D,20130507,000000,18.597,18.642,18.597,18.642,223,0
PHN,D,20130508,000000,18.673,18.923,18.642,18.923,16570,0
PHN,D,20130509,000000,18.719,18.985,18.68,18.985,9160,0
PHN,D,20130510,000000,18.247,18.977,18.247,18.977,3,0
PHN,D,20130513,000000,18.392,18.605,18.392,18.536,13574,0
PHN,D,20130514,000000,18.233,19.211,18.233,19.211,10594,0
PHN,D,20130515,000000,19.211,19.211,18.862,19.137,1280,0
PHN,D,20130516,000000,19.175,19.539,19.06,19.211,18994,0
PHN,D,20130517,000000,19.211,19.211,19.06,19.06,6188,0
PHN,D,20130520,000000,18.985,19.06,18.985,19.06,2561,0
PHN,D,20130521,000000,18.946,19.288,18.605,19.281,7125,0
PHN,D,20130522,000000,18.985,18.991,18.841,18.985,43369,0
PHN,D,20130523,000000,18.962,19.09,18.962,19.09,16042,0
PHN,D,20130524,000000,19.022,19.325,19.022,19.325,3514,0
PHN,D,20130527,000000,18.985,19.288,18.985,19.205,754,0
PHN,D,20130528,000000,18.985,19.274,18.985,19.211,19989,0
PHN,D,20130529,000000,18.985,19.205,18.985,19.06,19942,0
PHN,D,20130531,000000,19.06,20.275,19.06,20.275,55109,0
PHN,D,20130603,000000,19.819,20.124,19.743,19.972,4016,0
PHN,D,20130604,000000,19.972,20.275,19.751,20.275,9195,0
PHN,D,20130605,000000,20.275,20.275,19.926,19.926,14995,0
PHN,D,20130606,000000,19.948,20.275,19.917,19.917,22833,0
PHN,D,20130607,000000,19.926,20.124,19.917,20.124,3350,0
PHN,D,20130610,000000,20.124,20.48,20.124,20.412,23161,0
PHN,D,20130611,000000,20.404,20.488,20.291,20.351,21442,0
PHN,D,20130612,000000,20.313,20.313,20.275,20.275,576,0
PHN,D,20130613,000000,20.048,20.048,19.827,19.865,2877,0
PHN,D,20130614,000000,19.872,19.895,19.789,19.865,1991,0
PHN,D,20130617,000000,19.865,19.932,19.835,19.932,1404,0
PHN,D,20130618,000000,20.032,20.222,19.751,19.751,33094,0
PHN,D,20130619,000000,19.743,19.759,19.6,19.607,5849,0
PHN,D,20130620,000000,19.555,19.721,18.991,19.046,11514,0
PHN,D,20130621,000000,19.06,19.211,18.999,19.06,5523,0
PHN,D,20130624,000000,18.985,19.591,18.353,18.985,90831,0
PHN,D,20130625,000000,18.985,19.015,18.931,18.985,8101,0
PHN,D,20130626,000000,18.613,18.985,18.613,18.985,3923,0
PHN,D,20130627,000000,18.985,19.356,18.65,19.356,31716,0
PHN,D,20130628,000000,19.341,19.591,18.985,19.363,1810,0
PHN,D,20130701,000000,18.756,20.116,18.756,20.116,5010,0
PHN,D,20130702,000000,19.743,19.743,19.363,19.432,1534,0
PHN,D,20130703,000000,19.288,19.743,19.189,19.743,2929,0
PHN,D,20130704,000000,19.737,20.009,19.737,19.751,32874,0
PHN,D,20130705,000000,19.751,19.759,19.751,19.759,2124,0
PHN,D,20130708,000000,20.009,20.009,19.38,19.759,2936,0
PHN,D,20130709,000000,19.668,19.668,19.522,19.522,266044,0
PHN,D,20130710,000000,19.44,19.591,19.22,19.363,2086,0
PHN,D,20130711,000000,19.668,19.987,19.44,19.987,130623,0
PHN,D,20130712,000000,20.048,20.124,19.782,20.124,19043,0
PHN,D,20130715,000000,20.124,20.351,19.827,20.351,7665,0
PHN,D,20130716,000000,20.351,20.351,19.743,20.275,2640,0
PHN,D,20130717,000000,19.759,20.426,19.743,20.351,74119,0
PHN,D,20130718,000000,19.978,19.994,19.978,19.994,79,0
PHN,D,20130719,000000,20.42,20.42,19.994,19.994,18244,0
PHN,D,20130722,000000,19.843,19.987,19.743,19.759,897,0
PHN,D,20130723,000000,19.759,20.26,19.759,20.26,6801,0
PHN,D,20130724,000000,20.237,20.237,19.843,20.116,142,0
PHN,D,20130725,000000,19.972,20.116,19.819,20.116,18765,0
PHN,D,20130726,000000,19.759,19.932,19.651,19.651,1672,0
PHN,D,20130729,000000,19.668,20.124,19.668,20.124,12818,0
PHN,D,20130730,000000,19.972,20.124,19.812,20.116,2110,0
PHN,D,20130731,000000,19.743,20.04,19.743,20.04,9303,0
PHN,D,20130801,000000,19.972,20.124,19.767,20.124,3491,0
PHN,D,20130802,000000,19.767,20.183,19.767,20.116,3438,0
PHN,D,20130805,000000,19.782,20.237,19.782,20.237,1573,0
PHN,D,20130806,000000,20.161,20.237,19.804,19.804,5000,0
PHN,D,20130807,000000,19.767,19.835,19.767,19.835,207,0
PHN,D,20130808,000000,19.849,20.116,19.849,20.116,23859,0
PHN,D,20130809,000000,19.782,20.124,19.782,20.048,9306,0
PHN,D,20130812,000000,19.782,20.048,19.782,20.048,6807,0
PHN,D,20130813,000000,19.903,20.124,19.903,20.048,22458,0
PHN,D,20130814,000000,20.192,20.351,20.009,20.161,3600,0
PHN,D,20130816,000000,19.804,20.199,19.804,20.048,840,0
PHN,D,20130819,000000,20.124,20.351,19.843,20.351,5867,0
PHN,D,20130820,000000,19.957,20.237,19.957,20.124,2162,0
PHN,D,20130821,000000,20.336,20.351,20.085,20.124,1167,0
PHN,D,20130822,000000,20.018,20.275,20.018,20.199,1960,0
PHN,D,20130823,000000,20.124,20.199,20.078,20.078,13919,0
PHN,D,20130826,000000,20.199,20.199,20.032,20.199,22705,0
PHN,D,20130827,000000,20.137,20.199,20.116,20.199,14544,0
PHN,D,20130828,000000,20.161,20.199,20.055,20.055,3537,0
PHN,D,20130829,000000,20.048,20.124,19.903,20.124,11758,0
PHN,D,20130830,000000,20.009,20.883,19.917,20.883,26961,0
PHN,D,20130902,000000,20.883,22.63,20.875,22.022,23722,0
PHN,D,20130903,000000,22.022,22.022,21.362,21.475,3075,0
PHN,D,20130904,000000,21.384,21.475,20.578,20.883,10824,0
PHN,D,20130905,000000,20.578,20.867,20.085,20.504,5735,0
PHN,D,20130906,000000,20.085,20.883,20.048,20.883,24746,0
