<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKN,D,19991126,000000,16.042,16.184,15.461,15.965,15091490,0
PKN,D,19991129,000000,15.891,15.965,15.605,15.68,5233718,0
PKN,D,19991130,000000,15.824,16.108,15.824,15.965,3128400,0
PKN,D,19991201,000000,16.108,16.469,15.965,16.469,2929166,0
PKN,D,19991202,000000,16.62,17.124,16.544,16.763,3144510,0
PKN,D,19991203,000000,16.763,17.048,16.62,16.979,2244084,0
PKN,D,19991206,000000,17.124,17.702,17.124,17.627,2859977,0
PKN,D,19991207,000000,17.559,17.627,17.34,17.34,2309117,0
PKN,D,19991208,000000,17.34,17.769,17.34,17.483,3623535,0
PKN,D,19991209,000000,17.483,17.483,17.048,17.34,2392068,0
PKN,D,19991210,000000,17.483,17.483,17.19,17.264,1782655,0
PKN,D,19991213,000000,17.19,17.34,17.048,17.124,1501212,0
PKN,D,19991214,000000,17.34,17.627,17.34,17.627,3008404,0
PKN,D,19991215,000000,17.559,17.559,17.34,17.409,1247514,0
PKN,D,19991216,000000,17.34,17.34,17.124,17.19,1394701,0
PKN,D,19991217,000000,17.19,17.34,17.124,17.124,1283704,0
PKN,D,19991220,000000,17.34,17.559,17.264,17.559,2318888,0
PKN,D,19991221,000000,17.409,17.919,17.409,17.627,1514595,0
PKN,D,19991222,000000,18.064,18.641,18.064,18.491,2725583,0
PKN,D,19991223,000000,18.567,18.784,18.424,18.491,1243772,0
PKN,D,19991227,000000,18.567,19.002,18.567,18.641,1465741,0
PKN,D,19991228,000000,18.567,18.567,18.131,18.205,1066863,0
PKN,D,19991229,000000,18.205,18.86,18.205,18.86,1914943,0
PKN,D,20000103,000000,19.221,19.506,18.928,19.288,1529247,0
PKN,D,20000104,000000,18.784,18.784,18.348,18.491,1877046,0
PKN,D,20000105,000000,17.845,18.424,17.845,18.28,2587663,0
PKN,D,20000106,000000,18.348,18.709,18.131,18.641,1564095,0
PKN,D,20000107,000000,18.928,19.724,18.928,19.506,3985351,0
PKN,D,20000110,000000,19.582,20.519,19.582,19.724,4200324,0
PKN,D,20000111,000000,19.43,19.582,19.002,19.363,1603634,0
