<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RVUA,D,20200731,000000,68,68,68,68,248,0
RVUA,D,20200803,000000,70,70,68,69,1369,0
RVUA,D,20200804,000000,69.8,69.8,67,69.4,1038,0
RVUA,D,20200805,000000,69.4,69.8,67.2,68,42460,0
RVUA,D,20200806,000000,69.8,69.8,64,64.4,5330,0
RVUA,D,20200807,000000,67,67,63.8,64.2,8170,0
RVUA,D,20200810,000000,64,66.8,64,66.8,181,0
RVUA,D,20200812,000000,63,63,61.6,61.6,198,0
RVUA,D,20200814,000000,62.2,62.2,62.2,62.2,5162,0
RVUA,D,20200817,000000,62.2,63,62.2,63,167,0
RVUA,D,20200818,000000,63,63,63,63,363,0
RVUA,D,20200819,000000,63,63,63,63,100,0
