<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SME,D,19981104,000000,2.4408,2.4408,1.5566,1.5566,20354,0
SME,D,19981105,000000,2.0007,2.0007,2.0007,2.0007,47121,0
SME,D,19981106,000000,2.0808,2.0808,1.7327,1.9567,10571,0
SME,D,19981109,000000,1.6006,1.6006,1.6006,1.6006,8773,0
SME,D,19981110,000000,1.6006,1.9767,1.6006,1.6686,8097,0
SME,D,19981112,000000,1.6006,1.6446,1.6006,1.6446,3373,0
SME,D,19981116,000000,1.7327,1.7327,1.6006,1.6006,7937,0
SME,D,19981117,000000,1.6006,1.6006,1.6006,1.6006,3308,0
SME,D,19981119,000000,1.6686,1.7125,1.5566,1.5566,20826,0
SME,D,19981120,000000,1.3326,1.3326,1.3326,1.3326,672,0
SME,D,19981123,000000,1.3326,1.3326,1.3326,1.3326,1126,0
SME,D,19981124,000000,1.3326,1.3326,1.3326,1.3326,337,0
SME,D,19981126,000000,1.3125,1.3125,1.2885,1.2885,1303,0
SME,D,19981127,000000,1.3326,1.3326,1.2885,1.3326,8884,0
SME,D,19981130,000000,1.2685,1.2685,1.2685,1.2685,449,0
SME,D,19981203,000000,1.2685,1.2685,1.2685,1.2685,1126,0
SME,D,19981208,000000,1.2485,1.2485,1.1365,1.2005,21368,0
SME,D,19981209,000000,1.6446,1.6446,1.6446,1.6446,224,0
SME,D,19981210,000000,1.1124,1.1124,1.0244,1.0244,5398,0
SME,D,19981211,000000,0.9123,1.0244,0.8883,1.0244,14688,0
SME,D,19981217,000000,1.1124,1.1124,1.1124,1.1124,337,0
SME,D,19981218,000000,1.1124,1.1124,1.1124,1.1124,1845,0
SME,D,19981222,000000,1.1564,1.1564,1.1564,1.1564,4497,0
SME,D,19981223,000000,1.2005,1.2446,1.1365,1.1365,7219,0
SME,D,19981229,000000,1.1564,1.1564,1.1564,1.1564,1014,0
SME,D,19981231,000000,1.2005,1.2005,1.2005,1.2005,718,0
SME,D,19990105,000000,1.0684,1.0684,1.0684,1.0684,224,0
SME,D,19990107,000000,1.1124,1.1124,1.1124,1.1124,1126,0
SME,D,19990108,000000,0.9883,1.3285,0.9883,1.3285,41498,0
SME,D,19990111,000000,1.3326,1.3326,1.2044,1.2044,55105,0
SME,D,19990112,000000,1.4246,1.4446,1.3326,1.4446,9850,0
SME,D,19990115,000000,1.5526,1.5566,1.4246,1.4686,28115,0
SME,D,19990118,000000,1.4525,1.5205,1.4525,1.4966,12370,0
SME,D,19990119,000000,1.5526,1.5526,1.5526,1.5526,896,0
SME,D,19990120,000000,1.6887,1.6887,1.6887,1.6887,2250,0
SME,D,19990121,000000,1.7768,1.7768,1.7768,1.7768,1126,0
SME,D,19990125,000000,1.6887,1.6887,1.6887,1.6887,45209,0
SME,D,19990126,000000,1.6887,1.7327,1.6887,1.7327,1351,0
SME,D,19990129,000000,1.5566,1.5566,1.5166,1.5166,41498,0
SME,D,19990202,000000,1.7768,1.7768,1.7327,1.7327,2023,0
SME,D,19990204,000000,1.6887,1.7526,1.6887,1.7125,10548,0
SME,D,19990208,000000,1.6887,1.6887,1.6887,1.6887,2250,0
SME,D,19990210,000000,1.6887,1.6887,1.6887,1.6887,224,0
SME,D,19990211,000000,1.6887,1.6887,1.6887,1.6887,1126,0
SME,D,19990212,000000,1.7125,1.7327,1.7125,1.7125,2926,0
SME,D,19990216,000000,1.7125,1.7125,1.6887,1.6887,1530,0
SME,D,19990217,000000,1.7125,1.7125,1.6887,1.6887,4497,0
SME,D,19990218,000000,1.6927,1.6927,1.5366,1.5366,1239,0
SME,D,19990222,000000,1.7047,1.7047,1.6966,1.6966,2697,0
SME,D,19990226,000000,1.7047,1.7047,1.7047,1.7047,672,0
SME,D,19990301,000000,1.7125,1.7125,1.7125,1.7125,2002,0
SME,D,19990302,000000,1.7566,1.7566,1.7125,1.7125,2496,0
SME,D,19990303,000000,1.7125,1.7125,1.7125,1.7125,1057,0
SME,D,19990304,000000,1.6927,1.6927,1.6927,1.6927,2250,0
SME,D,19990310,000000,1.7125,1.7125,1.7125,1.7125,2250,0
SME,D,19990311,000000,1.6446,1.6446,1.6247,1.6446,10120,0
SME,D,19990312,000000,1.6446,1.6446,1.6446,1.6446,2250,0
SME,D,19990315,000000,1.6446,1.7566,1.6446,1.7086,136636,0
SME,D,19990316,000000,1.6446,1.6446,1.6247,1.6247,16420,0
SME,D,19990319,000000,1.6286,1.6286,1.6286,1.6286,1126,0
SME,D,19990322,000000,1.6446,1.6446,1.6446,1.6446,4497,0
SME,D,19990323,000000,1.6446,1.6446,1.6446,1.6446,7197,0
SME,D,19990324,000000,1.6247,1.6446,1.6247,1.6446,41498,0
SME,D,19990330,000000,1.5566,1.5566,1.5566,1.5566,1798,0
SME,D,19990331,000000,1.5566,1.5566,1.5566,1.5566,1126,0
SME,D,19990401,000000,1.5566,1.5566,1.5566,1.5566,7873,0
SME,D,19990407,000000,1.5325,1.5325,1.5325,1.5325,2023,0
SME,D,19990412,000000,1.5566,1.6446,1.5566,1.6446,13494,0
SME,D,19990413,000000,1.5566,1.6446,1.5566,1.6446,24292,0
SME,D,19990414,000000,1.6446,1.6887,1.6366,1.6887,21591,0
SME,D,19990415,000000,1.6847,1.6887,1.6847,1.6887,5736,0
SME,D,19990416,000000,1.7327,1.7768,1.7327,1.7768,5175,0
SME,D,19990419,000000,1.8167,1.8247,1.8167,1.8167,10346,0
SME,D,19990420,000000,1.7768,1.8167,1.7768,1.7768,8365,0
SME,D,19990421,000000,1.8247,1.8247,1.8167,1.8167,4497,0
SME,D,19990422,000000,1.8247,1.8247,1.8247,1.8247,3463,0
SME,D,19990423,000000,1.8247,1.8447,1.7768,1.8447,14463,0
