<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TOR,D,20140708,000000,6.692,6.692,6.3397,6.4179,942482,0
TOR,D,20140709,000000,6.4179,6.4179,6.2302,6.3319,35612,0
TOR,D,20140710,000000,6.3319,6.3788,6.2929,6.3711,99748,0
TOR,D,20140711,000000,6.3946,6.3946,6.3085,6.3711,6211,0
TOR,D,20140714,000000,6.3397,6.6372,6.3397,6.6058,65479,0
TOR,D,20140715,000000,6.6528,6.6528,6.5824,6.5824,56440,0
TOR,D,20140716,000000,6.6294,6.6294,6.5745,6.5745,9734,0
TOR,D,20140717,000000,6.5745,6.5902,6.4179,6.4572,90646,0
TOR,D,20140718,000000,6.5589,6.5589,6.4258,6.5118,7070,0
TOR,D,20140721,000000,6.5118,6.6372,6.5118,6.5589,121285,0
TOR,D,20140722,000000,6.5354,6.6372,6.5118,6.6372,149764,0
TOR,D,20140723,000000,6.6294,6.9189,6.5902,6.9189,33763,0
TOR,D,20140724,000000,6.911,6.9189,6.778,6.786,20901,0
TOR,D,20140725,000000,6.778,6.8876,6.731,6.8328,39920,0
TOR,D,20140728,000000,6.8328,6.8328,6.7076,6.731,8370,0
TOR,D,20140729,000000,6.731,6.8876,6.6763,6.7233,5376,0
TOR,D,20140730,000000,6.8485,6.8485,6.6528,6.6528,6970,0
TOR,D,20140731,000000,6.5745,6.8876,6.3867,6.7624,157110,0
TOR,D,20140801,000000,6.6528,6.6528,6.4963,6.6136,21165,0
TOR,D,20140804,000000,6.6136,6.6136,6.5275,6.5275,6424,0
TOR,D,20140806,000000,6.5745,6.5745,6.3163,6.3867,7070,0
TOR,D,20140807,000000,6.3867,6.4179,6.3319,6.3788,14563,0
TOR,D,20140808,000000,6.4024,6.4415,6.4024,6.4415,726,0
TOR,D,20140811,000000,6.4729,6.5354,6.3475,6.5354,3462,0
TOR,D,20140812,000000,6.5511,6.5666,6.4883,6.4883,7377,0
TOR,D,20140813,000000,6.4024,6.4883,6.4024,6.4883,795,0
TOR,D,20140814,000000,6.4807,6.4883,6.3632,6.3632,1903,0
TOR,D,20140818,000000,6.5354,6.5354,6.3554,6.5354,1529,0
TOR,D,20140819,000000,6.5275,6.5589,6.3788,6.4179,9241,0
TOR,D,20140821,000000,6.5354,6.6136,6.5354,6.5745,54323,0
TOR,D,20140822,000000,6.5745,6.5745,6.5041,6.5745,3367,0
TOR,D,20140825,000000,6.5745,6.5745,6.5041,6.5511,6242,0
TOR,D,20140826,000000,6.5511,6.6294,6.5041,6.6294,5362,0
TOR,D,20140827,000000,6.6372,6.778,6.5981,6.7545,29385,0
TOR,D,20140828,000000,6.7076,7.0206,6.6606,6.8485,65506,0
TOR,D,20140829,000000,6.6528,6.8798,6.6528,6.8485,13306,0
TOR,D,20140901,000000,6.8485,6.911,6.7702,6.911,36400,0
TOR,D,20140902,000000,6.8798,6.8798,6.786,6.825,49859,0
TOR,D,20140903,000000,6.692,6.8798,6.692,6.8328,7409,0
TOR,D,20140904,000000,6.8485,6.8485,6.7076,6.8015,3433,0
TOR,D,20140905,000000,6.7545,6.8093,6.6999,6.6999,20340,0
TOR,D,20140908,000000,6.8093,6.8093,6.4337,6.5354,14196,0
TOR,D,20140909,000000,6.5433,6.8328,6.5433,6.8328,27809,0
TOR,D,20140910,000000,6.8093,6.8485,6.739,6.8485,428217,0
TOR,D,20140911,000000,6.8485,6.958,6.8407,6.9268,179526,0
TOR,D,20140912,000000,6.9032,6.9032,6.8485,6.8876,17876,0
TOR,D,20140915,000000,7.0286,7.0286,6.8876,7.0051,155588,0
TOR,D,20140916,000000,7.0286,7.3181,7.0286,7.1616,205006,0
TOR,D,20140917,000000,7.2398,7.2555,7.1537,7.2321,22806,0
TOR,D,20140918,000000,7.2321,7.2321,7.1694,7.2007,41307,0
TOR,D,20140919,000000,7.2712,7.2712,7.1694,7.2007,9513,0
TOR,D,20140922,000000,7.2712,7.2712,7.1537,7.1537,21895,0
TOR,D,20140923,000000,7.1537,7.1772,6.9268,7.0364,17873,0
TOR,D,20140924,000000,6.9268,7.2321,6.5981,7.1929,219177,0
TOR,D,20140925,000000,7.2085,7.2712,7.1694,7.2241,154001,0
TOR,D,20140926,000000,7.2633,7.6468,7.2163,7.4511,125175,0
TOR,D,20140929,000000,7.6311,7.6311,7.4747,7.592,122412,0
TOR,D,20140930,000000,7.6468,7.6468,7.5528,7.5686,36740,0
TOR,D,20141001,000000,7.6311,7.6311,7.3807,7.5137,18443,0
