<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WAS,D,20010524,000000,3.8449,3.8865,3.6618,3.8032,63942,0
WAS,D,20010525,000000,3.8282,3.8282,3.6867,3.7116,6569,0
WAS,D,20010528,000000,3.7201,3.7201,3.5953,3.7034,12706,0
WAS,D,20010529,000000,3.6368,3.6867,3.5368,3.6368,13432,0
WAS,D,20010530,000000,3.6284,3.6284,3.4703,3.5536,2528,0
WAS,D,20010531,000000,3.5119,3.5119,3.4286,3.4286,12352,0
WAS,D,20010601,000000,3.4205,3.4703,3.3788,3.3788,9734,0
WAS,D,20010604,000000,3.4286,3.4286,3.179,3.179,4015,0
WAS,D,20010605,000000,3.1292,3.1375,2.7131,2.8462,22002,0
WAS,D,20010606,000000,2.8131,2.8378,2.7879,2.8295,3416,0
WAS,D,20010607,000000,2.7629,2.8212,2.7297,2.8045,1651,0
WAS,D,20010608,000000,2.7879,2.8045,2.7297,2.8045,1239,0
WAS,D,20010612,000000,2.6465,2.7547,2.5631,2.5631,12247,0
WAS,D,20010613,000000,2.5799,2.5799,2.5466,2.5466,3773,0
WAS,D,20010615,000000,2.5631,2.5966,2.4801,2.4801,8419,0
WAS,D,20010618,000000,2.4801,2.4801,2.3136,2.3136,4624,0
WAS,D,20010619,000000,2.297,2.297,1.8974,2.014,25251,0
WAS,D,20010620,000000,1.9891,1.9891,1.8642,1.8642,12556,0
WAS,D,20010621,000000,1.8642,1.8974,1.8475,1.8974,3149,0
WAS,D,20010622,000000,1.8725,1.914,1.8558,1.8558,16513,0
WAS,D,20010625,000000,1.914,2.0058,1.8892,2.0058,59068,0
WAS,D,20010626,000000,2.0555,2.0555,1.9806,1.9806,2199,0
WAS,D,20010627,000000,1.9806,1.9806,1.9806,1.9806,212,0
WAS,D,20010628,000000,1.8974,1.8974,1.8226,1.8226,1187,0
WAS,D,20010629,000000,1.8226,1.9059,1.8226,1.8974,5510,0
WAS,D,20010702,000000,1.8642,1.8642,1.8642,1.8642,1453,0
WAS,D,20010704,000000,1.8226,1.8974,1.8226,1.8974,249,0
WAS,D,20010705,000000,2.014,2.0639,2.014,2.0223,2323,0
WAS,D,20010710,000000,2.0223,2.0223,1.9806,1.9806,3991,0
WAS,D,20010711,000000,2.0223,2.0223,2.0223,2.0223,846,0
WAS,D,20010713,000000,1.8558,1.8558,1.8558,1.8558,2817,0
WAS,D,20010716,000000,2.0555,2.1139,2.0555,2.1139,575,0
WAS,D,20010717,000000,2.1056,2.1472,2.1056,2.1472,739,0
WAS,D,20010718,000000,2.1472,2.1472,2.1472,2.1472,1,0
WAS,D,20010719,000000,2.1472,2.1472,1.9806,2.1472,28,0
WAS,D,20010723,000000,2.0223,2.0223,2.0223,2.0223,3870,0
WAS,D,20010724,000000,2.0805,2.0805,2.0805,2.0805,1,0
WAS,D,20010725,000000,2.0723,2.0723,2.0639,2.0639,6288,0
WAS,D,20010726,000000,2.0723,2.0723,2.0723,2.0723,41,0
WAS,D,20010727,000000,1.9806,1.9806,1.9806,1.9806,7232,0
WAS,D,20010730,000000,1.9641,1.9641,1.9641,1.9641,1258,0
WAS,D,20010731,000000,1.8974,1.9724,1.8558,1.9724,9944,0
WAS,D,20010802,000000,1.8725,1.8725,1.806,1.806,3938,0
WAS,D,20010803,000000,1.8974,1.8974,1.8974,1.8974,38,0
WAS,D,20010807,000000,1.6976,1.8226,1.6976,1.8226,2423,0
WAS,D,20010809,000000,1.656,1.656,1.656,1.656,11492,0
WAS,D,20010810,000000,1.7393,1.8226,1.7393,1.8226,2116,0
WAS,D,20010813,000000,1.8558,1.8558,1.4148,1.6394,30667,0
WAS,D,20010814,000000,1.5063,1.523,1.4813,1.523,10283,0
WAS,D,20010816,000000,1.523,1.523,1.4065,1.5147,9092,0
WAS,D,20010817,000000,1.5895,1.5895,1.5063,1.5063,1528,0
WAS,D,20010820,000000,1.5063,1.5063,1.5063,1.5063,6158,0
WAS,D,20010821,000000,1.573,1.573,1.4896,1.4896,5266,0
WAS,D,20010822,000000,1.4481,1.5311,1.4481,1.5311,5885,0
WAS,D,20010823,000000,1.573,1.573,1.5311,1.5311,2394,0
WAS,D,20010827,000000,1.573,1.5813,1.4896,1.5813,1329,0
